6.1.1	Prajapati was this (universe).
22.13.20	The one with three potsherds is for Vishnu.
22.13.21	One does not go to both by that.
22.13.22	One offers the Agni-Vishnu oblation on eleven potsherds.
22.13.23	Agni is the lowest of the gods.
22.13.24	Vishnu is the highest.
22.13.25	Just as one would take up the two ends of a rope, so here one takes up the two ends and pours the oblation in the middle.
22.13.26-31	The cake should be for one who desires Brahmic glory. The cake is the head of the sacrifice. The cake means Brahmic glory. One becomes Brahmic glory. The cake should be in ghee for one who desires offspring or cattle. Ghee and rice are a pair.
22.13.32	The cow's ghee, the buffalo's rice.
22.13.33	He places the pair at the mouth of the sacrifice for procreation.
22.13.34	For this is the form from which the oblation-cake is made.
22.13.35	For the initiated one goes to this world as if moving.
22.13.36	For he initiates himself for this world.
22.13.37	When it is an oblation-cake, it is for prosperity.
22.13.38	He anoints.
22.13.39	He anoint.
22.13.40	He bathes.
22.13.41	He puts on a garment.
22.13.42	These are the body parts of a man.
22.13.43	Having become all body parts, he approaches the consecration.
22.13.44	A man is defective, impure within.
22.13.45	When he eats, it is for the sake of purity and for the sake of being without defects.
22.13.46	In this way, in the other world, as one is being consecrated.
22.13.47	One should perform the vow thus: "May he not torment me."
22.13.48	Now, if one who is consecrated for a sacrifice is about to perform a vow, he should eat thus.
22.13.49	He shaves his hair and beard.
22.13.50	He cuts his nails.
22.13.51	He cleans his teeth.
22.13.52	This is the dead man's impurity.
22.13.53	Having removed the impurity, he approaches the purity.
22.13.54	He bathes.
22.13.55	The Angirasas, having deposited the consecration in the water, went to the heavenly world.
22.13.56	He who bathes in it, obtains that very consecration.
22.13.57	One should be affectionate to the one who is struck by the noose.
22.13.58	For it is by placing him in the noose that one goes.
22.13.59	If one bathes with as much water as there is, one obtains that very consecration with that.
22.13.60	One should not bathe in flowing water.
22.13.61	If one were to bathe in flowing water, one would attain the glory of the warrior.
22.13.62	One should not bathe in a well.
22.13.63	If one bathes in a well, one would attain misfortune and fame.
22.13.64	One should bathe in a standing (pool).
22.13.65	These are the initiated ones of the waters, the ones with animals, which are standing.
22.13.66	They are hairy and continuous.
22.13.67	Animals are hairy.
22.13.68	One makes the sacrificer attain fame.
22.13.69	One must bathe at a sacred place.
22.13.70	One becomes a sacred place among equals.
23.1.1	The consecrated one is the oblation.
23.1.2	One does not attain the oblation without ghee.
23.1.3	When he anoints, he anoints it for the sake of being fit for oblation.
23.1.4	Ghee is of the gods.
23.1.5	Butter is of men.
23.1.6	Butter-milk is of Gandharvas.
23.1.7	Butter is self-melted of the sun.
23.1.8	This is neither divine nor human, namely butter.
23.1.9	He who is consecrated is neither among the gods nor among men.
23.1.10	He has fallen from this world.
23.1.11	He has not attained the other world.
23.1.12	When he anoints himself with ghee, it is for prosperity.
23.1.13	He puts on a garment.
23.1.14	It is the sheath of Agni.
23.1.15	It is a turban of the ancestors.
23.1.16	It is an opening of the plants.
23.1.17	It is wind's wind-cloth.
23.1.18-25	The threads and the warp of all the gods. The stars are the lights. The garment belongs to all the gods. The one who is consecrated belongs to all the gods. He indeed prospers with all the deities. He anoints himself. Indra, while slaying Vritra, was attacked by the demons. He hid them in the mountain of ointment.
23.1.26	The Rakshas follow him who is consecrated.
23.1.27	For this reason,
23.1.28	He anoints himself, to hide from the Rakshas.
23.1.29	Indra killed Vritra.
23.1.30	His eye fell down.
23.1.31	It entered the Trikakubha (the three-cornered altar).
23.1.32	When he anoints, it is for the recovery of that eye.
23.1.33	He anoints twice on the right side and once on the left.
23.1.34	The sacrifice is threefold.
23.1.35	One performs the sacrifice from the mouth itself.
23.1.36	One applies the paste three times to the right and twice to the left.
23.1.37	The sacrifice is applied.
23.1.38	One indeed obtains the sacrifice.
23.1.39	One applies it first to the right.
23.1.40	Because humans apply it first to the left, for turning away.
23.1.41	One applies with the Yajus.
23.1.42	For men anoint themselves with the Yajus, for the purpose of separation.
23.1.43	He anoints the posterior part.
23.1.44	He does not anoint the anterior part.
23.1.45	For men anoint themselves from the posterior to the anterior part, for the purpose separation.
23.1.46	He smears with a grass-blade.
23.1.47	For men smear themselves with Salla grass, for the purpose, of separation.
23.1.48	It becomes with cotton.
23.1.49	Cotton is friendly.
23.1.50	The fallen leaves are Varuna's.
23.1.51	The initiated one is friendly.
23.1.52	for prosperity.
23.1.53	The eye is like a deficiency, like a hole.
23.1.54	When one anoints, one fills it in, for the sake of being without holes.
23.1.55	One purifies.
23.1.56	Indra indeed killed Vritra.
23.1.57	He killed him in the waters.
23.1.58	Of those, those that were fit for sacrifice, worthy of sacrifice, they escaped.
23.1.59	They became plants.
23.1.60	The darbha grass is that splendor.
23.1.61	Therefore, they are pure.
23.1.62	Therefore, they purify water with darbha grass.
23.1.63	When one purifies with darbha grass and darbha grass tufts,
23.1.64	one purifies him with the brilliance of water and plants.
23.1.65	One purifies with two (darbha tufts),
23.1.66	two are truth and untruth.
23.1.67	One putifies his untruth with truth.
23.1.68	Two are the breath and the out-breath.
23.1.69	One putifies with three (darbha tuft),
23.1.70	The gods are three times three.
23.1.71	And there are three breaths: prāṇa, vyāna, and apāna.
23.1.72	He places them in the sacrificer.
23.1.73	He purifies with five (verses).
23.1.74	Man is fivefold.
23.1.75	He putifies as much as his self is.
23.1.76	He putifies with seven (verses).
23.1.77	There are seven metres.
23.1.78	He putrfies him with the metres.
23.1.79	He purities with nine (verses).
23.1.80	Nine breaths.
23.1.81	He purifies him with the breaths.
23.1.82	He (the sacrificer) purifies with twenty-one (breaths).
23.1.83	Man is twenty-one, ten fingers, ten toes, and the self is the twenty-first.
23.1.84	He pusifies him as much as his self is.
23.1.85	May Citpati purify you.
23.1.86	Citpati is indeed Brahman.
23.1.87	He putifies him with Brahman.
23.1.88	"May Vakpati purify you."
23.1.89	He is the purifier.
23.1.90	"May the god Savitar purify you."
23.1.91	It is with the deities that he purifies him, impelled by Savitar.
23.1.92	"With the stainless purifier."
23.1.93	He purifies him with the stainless purifier.
23.1.94	"With rays of the sun."
23.1.95	He pusifies him with the body of the sun.
23.1.96	"He says, 'Purify this, O purifier of the sacred thread.'
23.1.97	The sacrifice is the lord of the sacred thread.
23.1.98	He purifies it for the sacrifice.
23.1.99	He says, 'I am able to purify for whomsoever I am able to purify.'
23.1.100	He says, in effect, 'I am capable of performing the sacrifice.'
23.1.101	He purifieth the body.
23.1.102	The breath is in the body.
23.1.103	When the breath becomes horizontal, then one dies.
23.1.104	If one were to purify a beast, one would make his breath a beast. He would die.
23.1.105	He makes his breath follow his own.
23.1.106	He purifies outside.
23.1.107	Having purified him in the human world, he sends him to the pure divine world.
23.2.1	The embryo is the consecrated one, the womb is the consecrated one's measure, the membrane is the consecrated one’s garment, the placenta is the black antelope skin.
23.2.2	From this very womb Indra was born.
23.2.3	Having made the covering, he approaches.
23.2.4	Therefore, one should not let the sun rise or set on an initiated person except at the distance of an initiated person.
23.2.5	One is born from one's own womb.
23.2.6	"To Akriti, to Pratiti, to Agni, Svāhā!"
23.2.7	The sacrifice is indeed performed with a purpose.
23.2.8	He offers it at the very place where the sacrifice is performed.
23.2.9	"He offers it with the formula, "To Medha, to Manas, to Agni, svāhā."
23.2.10	One indeed approaches with Medha and Manas.
23.2.11	"He says, "To the sacrificers, svāhā," thus he offers the sacrifice."
23.2.12	"He offers with the formula, "To Initiation, to Tapas, to Agni, Svāhā."
23.2.13	Indeed, one attains the sacrifice through Initiation and Tapas.
23.2.14	He indeed wins the sacrifice.
23.2.15	"To Sarasvati, to Pusan, to Agni, to Svāhā."
23.2.16	Sarasvati is speech.
23.2.17	Pusan is cattle.
23.2.18	The sacrifice is offered to cattle through speech.
23.2.19	He offers the sacrifice to cattle through speech itself.
23.2.20	"The goddesses, the great, the all-nourishing waters."
23.2.21	The waters are the sacrifice.
23.2.22	The sacrifice in heaven, in the atmosphere, on earth.
23.2.23	Brahma is Brihaspati.
23.2.24	Here, here indeed is the sacrifice.
23.2.25	Wherever there is a sacrifice, there he offers it to Brahma.
23.2.26	He offers these five oblations.
23.2.27	The sacrifice is fivefold.
23.2.28	He indeed wins the sacrifice.
23.2.29	These are the requisites of the sacrifice, namely, these mantras.
23.2.30	If he were not to offer these, his sacrifice would be without requisites.
23.2.31	Whatever he offers with these (oblations), he gathers as much as the sacrifice.
23.2.32	One who is not initiated, offers with one oblation.
23.2.33	Those whose these are not offered, their food is eaten by others.
23.2.34	When he offers with these, it is for initiation and for the second status.
23.2.35	He offers with "To Agni svāhā, to Agni svāhā."
23.2.36	Agni is all the deities.
23.2.37	All the deities are indeed included in this.
23.2.38	One offers five oblations.
23.2.39	The sixth is the Audgrabhan.
23.2.40	There are six seasons.
23.2.41	One indeed stands firm in the seasons.
23.2.42	When the sacrifice was created, the Yajus slipped away, the Sama slipped away.
23.2.43	It was indeed the Rig that held it together. There are nine Sāmans, twelve Yajuses,
