1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
5.19.16	"O Maruts, play, O Maruts, be impetuous!" (thus) the Maruts. "In the mouth of Rasas, he has grown." (thus) the one who has grown. On the eighth day, the form of the eighth day.
5.19.17	"We offer Soma to Jātavedas." (thus) Jātavedasy.
5.19.18	"O Agni, you are very kind." (thus) to Jātaveda. The one who is very kind. On the eighth (day), the form of the eight (days).
5.19.19	Those are the Gāyatrī verses. The third pressing is Gāyatrī. This is the three-day (rite). This is the three day (rite).
5.20.1	What has the same result is the form of the ninth day.
5.20.2	For the third day is the same as the ninth.
5.20.3	What is like a horse, what is limited, what is repeated, what is danced again, what is like a union, what is like an overturned, what is threefold, what is like the end, what is called the deity in the supreme state, what is the world that has arisen.
5.20.4	What is like purity, what is like truth, what is like cessation, what is like gone, what is like abode,
5.20.5	What was done, what is the form of the third day, these are the forms of the ninth day.
5.20.6	"One goes to the most excellent one with great praise" - this is the Ajya for the ninth day. One goes to the ninth day. This is the form of ninth day.
5.20.7	This is the Tristubh metre. The morning pressing is in Tristubh metre, this is the three-day (rite).
5.20.8	The pure ones, with the hero, have spread out. They, with the mind of truth, thinking, have gone to heaven, to the earth, to the sky. The all-knowing Asvins have gone to us. This Soma is being pressed for you, O Indra. The Brahmanas, the Angiras, are coming. The divine Sarasvati is being invoked. She is coming to us from the lofty mountain of heaven. O Sarasvati, do thou lead us to prosperity. The ninth day has the form of the ninth day.
5.20.9	That is the Tristubh. The morning pressing is in Tristubh. This is the three-day (rite).
5.20.10	"He comes to you, O Indra, for great gifts, the three Soma-offerings. Come now, O Indra, to this (rite). The Brahmanaspati Agni leads. You, O Soma, with the rites, swell the waters. The giver of good gifts (brings) the chariot." With the third day the nine days are connected. The ninth day is the form of the ninth day.
5.20.11	"Indra drinks the Soma, to whom belongs the Svāhā." The Svāhā-call is the end; the ninth day is the end. The ninth day is the form of the ninth day.
5.20.12	"The song is the Sama, the heavenly, like the Veda." The verse "Archama, indeed, the increased, like heaven" is the end; heaven is the end. On the ninth day is heaven. The ninth day has the form of the heaven.
5.20.13	The verse "Stand, O Hari, when the chariot is being yoked" is the last verse. The ninth day is the last. On the ninth day, the form of the ninth day is recited.
5.20.14	The verse "These have praised thee, O most generous one" is the last. The ninth day being the last, on the ninth day, it is the form of the nineth day.
5.20.15	That is the Tristubh (metre). With that (verse) he supports the Savana in the established place. He does not fall away from his abode.
5.20.16	"Obeisance to the wise, to the father, to the one who is to be praised." This is a verse with the same meaning as the previous one. It is the form of the ninth day.
5.20.17	The Jāgata metre is carried in the middle of the day of this three-day sacrifice. That metre is carried in which the Nidhana is placed. Therefore he places the Nidhana in the Jāgati verses.
5.20.18	The verses of the Tristubh and Jāgati metres are placed in pairs. Animals are in pairs. The Chandomas are animals. For the securing of animals.
5.20.19	Five verses are recited. The Paṅkti has five feet. The sacrifice is Paṅkti. The animals are Paṅkti. Animals are the Chandomas. For the securing of animals.
5.20.20	You are the one we invoke. You are the one who comes. The Bṛhatpṛṣṭha is recited on the ninth day.
5.20.21	Or, "O Indra, thou art the protector of the sacrificer, the protector of the sacrifice," he turns back to the source of the Rathantara, for this is the Rathantara day. "O Indra, the three-fold refuge," is the Saman-verse. The ninth day has three verses. "The swift one, the divine-chariot," is the Tarksya verse, the unfallen.
5.21.1	The verses, "O Indra, thou hast gone to the ancient songs" are the form of the ninth day.
5.21.2	The verses, "When thou, O Brahman, didst go to the places of the chariots" are the form, having the meaning of "going to the end", of the ninth day.
5.21.3	"May the truthful one go to Maghavan, the powerful one." This is the verse for the ninth day. The ninth day is the form of the ninth day.
5.21.4	"This is the supreme power, the supreme one." This is a verse for the end. The end is the supreme, the ninth day. It is the form of ninth day.
5.21.5	That is the Tristubh (metre). With that he supports the pressing which is in the established place. He does not fall away from his abode.
5.21.6	"I am the lord of wealth, the ancient one." This is the Sūkta. "I conquer the riches always." The end is victory. The ninth day is the end. On the ninth day he assumes the form of the ninth day.
5.21.7	The Jagati is the middle of the day of this three-day sacrifice. It is that metre which carries the Niviḍa, therefore he places the Niviḍas in the Jagatīs.
5.21.8	The verses of the Tristubh and Jagati metres are sung in pairs. Animals are in pairs, and the verses are in pairs. The verses are in pairs for the purpose of securing animals. Five verses are sung in each section. The Pankti has five feet. The sacrifice is in five sections. Animals are in five sections. The verses are for the purpose of obtaining animals. They are divided into two groups of five. Ten verses are completed. The Viraj has ten sections. Food is Viraj. Animals are food. The verses are animals. The verses are to secure animals.
5.21.9	We choose the Savitar's (blessing). Today, O god Savitar, is the verse of the Vaishvadev (rite). The two verses of the Rathaantara (rite) are the form of the ninth day.
5.21.10	The fault has come. The Savitar (rite) is the end. The ninth day is the end.
5.21.11	The great divine power of you two, O Heaven and Earth, is pure, as praised. The ninth day is pure. The ninth day has the form of the ninth day.
5.21.12	Indra may give us food. May he bestow on us riches. The ninth day belongs to the Ārbudas. The ninth day should be drunk three times. The ninth day consists of three. The ninth day resembles the ninth day.
5.21.13	The two verses beginning with "Bbhru" and ending with "Yuve" are sung by one who has two feet. Man has two feet, animals have four feet. Animals are the metres. For the purpose of securing animals. When he sings the two verses, he establishes the sacrificer in two foundations, in the four-footed animals.
5.21.14	Those which are thirty, three, and three, are the Vaiśvadevam (hymns). The Trivank (hymns) are the form of the ninth day.
5.21.15	Those are the Gāyatrī verses. This is the third pressing. This is the three-day (rite).
5.21.16	"Vaisvānara na ūtay" is the first verse of the Agni-Marut (hymn). "May he come to us from afar" is the last verse. The last is the form of the last day.
5.21.17	The Maruts are the ones who have gone to the end, hence the Maruts are those who have gone to an end. Having gone to the end of the ninth day, it is the form of the ninth day.
5.21.18	We offer Soma to Jātavedas. Jātavedasy is not to be omitted.
5.21.19	One should recite the speech to Agni. Jātaveda is the same as the ninth day. Having gone to an end, it is the ninth day.
5.21.20	"May it (the sacrifice) be a protection to us against the enemies." Thus he praises. In this nine-night sacrifice, whatever is done for protection, it is for peace. When he praises thus, "May it be a protection to all of us against the enemies," he thus releases them from all sins.
5.21.21	Those are the Gāyatrī verses. The third pressing is Gāyatrī. This is the three-day (rite).
5.22.1	They undertake the six-day (rite) of the Prsthya (Samhitā). The six-day (Samhitā) is like the face. The tongue, palate and teeth are in between the face. So are the Chandomas. The tenth day is that by which one speaks and by which one knows what is sweet and what is not sweet.
