1.1.1.1	For you, O Agni, for the well-being.
3.2.1.1	"He releases the golden (thread), saying, 'The golden one shines far and wide.'
3.2.1.2	Gold is immortal.
3.2.1.3	Death is Agni.
3.2.1.4	The noose is 
3.2.1.5	He makes death disappear with immortality.
3.2.1.6	Now these are the obstacles.
3.2.1.7	The gods and the Asuras were competing.
3.2.1.8	The gods saw these obstacles.
3.2.1.9	With them they obstructed the Asuras from these worlds.
3.2.1.10	That is why they are called obstacles.
3.2.1.11	The sacrificer, by means of these unobstructed (bricks), obstructs his enemy from these worlds.
3.2.1.12	He becomes unobstructed in twenty-one (ways) for the sake of stability.
3.2.1.13	He places the unobstructed one above.
3.2.1.14	He places unobstructed one below for the sake of obstructing the enemy.
3.2.1.15	Night and Dawn are of one mind, of different forms.
3.2.1.16	He places the fire with the day and night.
3.2.1.17	They make him grow, the one child, in the right way.
3.2.1.18	For this they make him grow, one child, in a right way.
3.2.1.19	The light shines within the heaven and earth.
3.2.1.20	For this light shines within them.
3.2.1.21	The gods, holding Agni, give wealth.
3.2.1.22	The gods are the vital airs, giving wealth.
3.2.1.23	He takes up Agni with his own life.
3.2.1.24	"He releases all forms, the wise one."
3.2.1.25	For Agni has all forms.
3.2.1.26	"He has brought forth good for the two-footed and four-footed." He says this because of the offspring.
3.2.1.27	"Savitar has pierced the sky, the most excellent one."
3.2.1.28	He carries Agni because of being born by Savitar.
3.2.1.29	"The dawn has followed the course of Viraj."
3.2.1.30	Therefore Agni is placed at the rising of the dawn.
3.2.1.31	You are the bird Garuda.
3.2.1.32	The three-fold is your head.
3.2.1.33	The Gayatri is your eye.
3.2.1.34	This is the collection of Agni.
3.2.1.35	He collects Agni.
3.2.1.36	Therefore he collects.
3.2.1.37	Therefore the animal is born with all its limbs.
3.2.1.38	Agni is indeed an animal.
3.2.1.39	"He says, 'Go to heaven, O lord of heaven,' for the attainment of the heavenly world."
3.2.1.40	Now these are the steps.
3.2.1.41	The gods and the Asuras were in competition.
3.2.1.42	The gods saw these steps.
3.2.1.43	With them they drove away the Asuras from these worlds.
3.2.1.44	They conquered them without being conquered.
3.2.1.45	In this way, the sacrificer drives away his enemy from these worlds.
3.2.1.46	He conquers what is unconquerable.
3.2.1.47	The sling is six cubits long.
3.2.1.48	There are six seasons.
3.2.1.49	He encloses Agni with the seasons.
3.2.1.50	He carries it above the navel.
3.2.1.51	For the gods are above the navel.
3.2.1.52	The gods, indeed, bear the gods in themselves.
3.2.1.53	If one were to wear it below the navel, one would burn the womb.
3.2.1.54	And it would be a killer.
3.2.1.55	One goes forth.
3.2.1.56	Therefore, the domestic animals go forth.
3.2.1.57	And when it returns again,
3.2.1.58	Therefore, they return again.
3.2.1.59	This is the energy that goes out with the animals. It goes out together.
3.2.1.60	"Come back again, O energy!"
3.2.1.61	He thus again wins the animals.
3.2.1.62	They become prosperous.
3.2.1.63	He returns with four (verses).
3.2.1.64	Animals have four feet.
3.2.1.65	He thus wins animals.
3.2.1.66	He thus turns around.
3.2.1.67	Thus the sacrifice is completed.
3.2.1.68	And also this is in accordance with the sun's covering.
3.2.1.69	"He says, "I have brought thee near, I have become within."
3.2.1.70	For now he is within.
3.2.1.71	"Release us from the highest noose of Varuna."
3.2.1.72	He releases the noose of Varunā for the sake of non-injury to himself.
3.2.1.73	"He stands high above the lights, the bright ones." He thus makes him prosper by means of light.
3.2.1.74	"He is the swan, the pure, the good, the one who sits in the sky." He thus settles him.
3.2.1.75	He thus establishes him in the seven Hotr-priests.
3.2.1.76	And indeed, he prospers through these seven the sevenfold Agni.
3.2.1.77	He becomes a food-giver from the seventh man.
3.2.1.78	The semen is Agni.
3.2.1.79	The semen is indeed deposited in the atmosphere.
3.2.1.80	If one were to place it below, the embryos of animals would be unstable and would fall.
3.2.1.81	And if one were to place above,
3.2.1.82	he would make it to be in the atmosphere, for the stability of the embryos.
3.2.1.83	This one who is being piled up is indeed the one who is generating the fires.
3.2.1.84	Therefore this one is to be placed on a seat.
3.2.1.85	"You are the support of your mother."
3.2.1.86	This is the womb of Agni.
3.2.1.87	He places him in his own womb.
3.2.1.88	He approaches with three (verses).
3.2.1.89	Agni is threefold.
3.2.2.1	Now this is the Vatspara (hymn).
3.2.2.2	By this hymn Vatsaprin Bhālandana attained the dear abode of Agni.
3.2.2.3	He thus attains Agni's own dear abode.
3.2.2.4	He becomes dear to him in the future.
3.2.2.5	The sages spoke about the dearness of the calf.
3.2.2.6	He saw this hymn.
3.2.2.7	He conquered the slander with it.
3.2.2.8	He went to reconciliation with it.
3.2.2.9	With this he conquers slander.
3.2.2.10	He goes to the Apciti.
3.2.2.11	He approaches with twelve (verses).
3.2.2.12	Twelve months are a year.
3.2.2.13	Having obtained the year, he secures it.
3.2.2.14	They are in Triṣṭubh metre, for the securing of power.
3.2.2.15	He approaches on another day after having gone on another day.
3.2.2.16	He supports the prosperity and welfare of creatures.
3.2.2.17	Therefore the Yāyāvaras are the other castes, and the Kṣemyas are the other castes.
3.2.2.18	Now when he rises after having gone forth,
3.2.2.19	therefore the Yāyāvara goes to the Kṣemya.
3.2.2.20	Therefore the food of the Yāyāvaka became the Kṣemyo.
3.2.2.21	If one is to perform on a certain day, one should combine both on that day.
3.2.2.22	One should go forth and also stand up.
3.2.2.23	The sacrificer, indeed, takes away the food and prosperity of his enemy.
3.2.2.24	"He says, "The All-gods have raised you up."
3.2.2.25	Because all the gods are the men here.
3.2.2.26	"He (the sacrificer) says, "O Agni, do thou fill with thoughts."
3.2.2.27	With that thought for which Agni is installed, he fills him with that thought.
3.2.2.28	"O Agni, go with light," (thus) having made him prosperous with light, he sends him forth.
3.2.2.29	If the axle should be shaken, one should recite, "Agni cried, like the thundering sky."
3.2.2.30	This (axle) is indeed the lord of the sacrificer's progeny and cattle, shaking them.
3.2.2.31	It is indeed his crying.
3.2.2.32	Then he prays for blessings, having appeased them.
3.2.2.33	One should place the fire-wood with the Gayatri verse, "May the fire be pleased."
3.2.2.34	For a Brahmin, because the Brahmin is Gayatri.
3.2.2.35	With the Tristubh verse, for a Kshatriya.
3.2.2.36	For a Kshatriya, because the Kshatriya is Tristubh.
3.2.2.37	With two Gayatri verses, for a Vaishya.
3.2.2.38	For the two Gayatri verses are the Jagati.
3.2.2.39	Or else he makes this food a share for Brahman.
3.2.2.40	If the ashes were to be filled up, he should put it in water.
3.2.2.41	Water is the womb of Agni.
3.2.2.42	He puts it back in its own womb.
3.2.2.43	One should make it into dung for one who desires cattle.
3.2.2.44	Dung is cattle.
3.2.2.45	One becomes possessed of cattle.
3.2.2.46	One should mix it with bricks.
3.2.2.47-51	Therefore all his bricks are Agni-related. He is indeed falling away from the energy of cattle. "Come back to energy again." Thus he again wins the energy of cattle.
3.2.2.52	He approaches with two (verses).
3.2.2.53	The sacrificer has two feet; for stability.
3.2.3.1	He says, 'Gone, departed, gone away.'
3.2.3.2	This world is connected with Yama.
3.2.3.3	Yama has taken over the lordship of this world.
3.2.3.4	If one were to build a fire-altar without having gone to the assembly of Yama, the fire-altar would be connected with Yama and would not lead to heaven.
3.2.3.5	What Yama said at the beginning, the Fathers have made this world the end. This is our world. From Yama he sought this divine sacrifice.
3.2.3.6	When he remembers the divine sacrifice, he builds the fire. Yama is his deity. His fire becomes heavenly.
3.2.3.7	They strike up.
3.2.3.8	Whatever is impure and unfit for sacrifice, they remove.
3.2.3.9	They remove it to the extent of a fathom.
3.2.3.10	That is the extent of a man's strength.
3.2.3.11	It is piled up to the extent of strength.
3.2.3.12	And that is the extent of the greatness of a man.
3.2.3.13	For the attainment of greatness.
3.2.3.14	He sprinkles.
3.2.3.15	Whatever he did wrong in removing it, he makes it right.
3.2.3.16	He pacifies it.
3.2.3.17	Now, indeed, water is the womb of Agni.
3.2.3.18	It is deposited in its own womb.
3.2.3.19	"Agni's ashes, Agni's excrement."
3.2.3.20	He scatters sand.
3.2.3.21	Indeed, sand is the ashes of Agni Vaisvānara.
3.2.3.22	It is placed in its own ashes.
3.2.3.23	Sand is the womb.
3.2.3.24	Semen is sand.
3.2.3.25-32	When he puts down the sand and sows the seeds, he places the seed in the womb. Therefore seed is placed in the womb. Therefore seed is generated from the womb. Prajapati created the creatures. He created them from the womb itself. The seeds are the generation. Here Agni is indeed generated in the generation. These two were indeed together.
3.2.3.33	They said to each other, "Let us have a pleasant abode together."
3.2.3.34	The waters are her sacrificial, her purifying.
3.2.3.35	They are those (waters).
3.2.3.36	The morning dew is her sacrificial, her purifiying.
3.2.3.37	They are these (waters).
3.2.3.38	When the waters and the morning dew become one, then he obtains that which is sacrificial and purifying of them.
3.2.3.39	And he places him in his own pleasant abode.
3.2.3.40	The Sāman is the dawn.
3.2.3.41	Both kinds of animals, those that are domesticated and those that are wild, recognize these (animals).
3.2.3.42	Both kinds of cattle recognize him.
3.2.3.43	He places four in the east.
3.2.3.44	There are four metres.
3.2.3.45	The gods went to heaven by means of the metres.
3.2.3.46	They conquered the directions.
3.2.3.47	They were weakened.
3.2.3.48	They have established them by these (verses).
3.2.3.49	In that these (bricks) are deposited, (it is) for the stability of the directions.
3.2.3.50	The bricks are indeed the cattle.
3.2.3.51	The cattle stand near the Garhapatya.
3.2.3.52	He deposits two bricks in a row in front and two in a row behind.
3.2.3.53	He deposits the cattle on both sides for him. For the protection of the cattle.
3.2.3.54	He deposits eight.
3.2.3.55	The Gayatri has eight syllables.
3.2.3.56	Agni is Gayatri.
3.2.3.57	He builds him as big as Agni.
3.2.3.58	It should be made of twenty-one (bricks). For stability.
3.2.3.59	For the twenty-one is stability.
3.2.3.60	And the Garhapatya is indeed of twenty-one kinds.
3.2.3.61	It should have three layers.
3.2.3.62	For these three are the worlds.
3.2.3.63	He attains these worlds.
3.2.3.64	The five-layered (fire-altar) should be made.
3.2.3.65	The sacrifice is fivefold.
3.2.3.66	He obtains the sacrifice as much as it is.
3.2.3.67	He lays down with four (bricks).
3.2.3.68	There are four metres.
3.2.3.69	He lays them down with metres.
3.2.3.70	And indeed, the metres are Brahman.
3.2.3.71	He lays it down with Brahman.
3.2.3.72	The Agni which is being built is indeed the Kshatra (of the fires).
3.2.3.73	The Ukhya (Agni) is the Kshatra.
3.2.3.74	The Brahman is the Yajus.
3.2.3.75	When he lays down with the Yajus, he lays down the Kshatra with the Brahman.
3.2.3.76	Therefore the Kshatra is laid down with the Brahman and is separated from it.
3.2.3.77	These two become tigers.
3.2.3.78	They are powerful, not peaceful, and are about to harm the sacrificer.
3.2.3.79	He says, "May you be of one mind, of one intention, of one thought, of one purpose." He pacifies.
3.2.3.80	He is pacified and placed down for the non-injury of the sacrificer.
3.2.3.81	The power of the earth is raised by the seasons.
3.2.3.82	It is released again by the seasons.
3.2.3.83	Prajapati, the creator of all, said, "Let it be released." Prajapati himself, the creator of everything, releases it.
3.2.4.1	Now these are the offerings to Nirriti.
3.2.4.2	Three are cooked in husks.
3.2.4.3	This is the Nirriti form of food, namely, husks.
3.2.4.4	They are black.
3.2.4.5	This is Nirriti's form.
3.2.4.6	They take this direction.
3.2.4.7	This is the direction of Nirriti.
3.2.4.8	She places them in the direction of Nirrti, turned away from her own work.
3.2.4.9	This is the place of Nirriti on the earth.
3.2.4.10	He indeed releases Nirriti from the place of Nirrti.
3.2.4.11	He releases his breath with the first (verse), his out-breath with the second, and his through-breath with the third.
3.2.4.12	And indeed the man has three syllables.
3.2.4.13	As much as the man is, he is freed from the sin of Nirriti.
3.2.4.14	Nirriti is the observer of deeds.
3.2.4.15	Having appeased her with her own share, then one builds the fire with Savitri's impulse.
3.2.4.16	"What the goddess Nirriti bound you with..."
3.2.4.17	Placing the net on the bricks,
3.2.4.18	Release the noose of Nirriti for the sake of non-injury to oneself.
3.2.4.19	The bright light that is beyond the great expanse of this world,
3.2.4.20	May that assembly of Agni Vaiśvānara protect us from enemies.
3.2.4.21	Sprinkling water with "Svāhā," one moves around for the sake of not being affected by Nirriti.
3.2.4.22	Having said "For prosperity, I bow," one turns back.
3.2.4.23	Having become prosperity, he turns for the non-injury of himself.
3.2.4.24	Not expecting, they come to Nirriti for non-injury.
3.2.4.25	They sweep the outer cow-pen.
3.2.4.26	They appease Nirriti in the outer cow- pen.
3.2.4.27	One who places the Nirriti-bricks is deprived of his power and strength.
3.2.4.28	The dwelling place, the meeting place of the Vasus.
3.2.4.29-35	He attends on the Garhapatya with the Indra-verse. He thus makes himself prosperous by means of Indra. He attends on it with a Tristubh verse. The Tristubh is strength and vigour. He thus stands firm in strength and vigour. The Garhapatya is spread first for stability. The gods, having established themselves on the Garha-patya, went forward and conquered the heavenly world.
