#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
7.3.2.1.10	agnir eṣa yad anaḍvān agnirūpāṇām upāptyai
7.3.2.1.11	prācīnagnīve
7.3.2.1.12	taddhi devatrā
7.3.2.2.1	tad agreṇa gārhapatyam antarvedy uttaraloma prācīnagrīvam upastṛṇāti
7.3.2.2.2	tad etāṃ citiṃ samavaśamayanti
7.3.2.2.3	atha prokṣati
7.3.2.2.4	tad yat prokṣati śuddham evaitan medhyaṃ karoti
7.3.2.2.5	ājyena
7.3.2.2.6	taddhi śuddhaṃ medhyam
7.3.2.2.7	atho anabhyārohāya
7.3.2.2.8	na hi kiṃ canānyaddhavir ājyena prokṣanti
7.3.2.2.9	tūṣṇīm
7.3.2.2.10	aniruktaṃ vai tad yat tūṣṇīm
7.3.2.2.11	sarvaṃ vā aniruktam
7.3.2.2.12	sarveṇaivaitacchuddhaṃ medhyaṃ karoti
7.3.2.2.13	atho anabhyārohāya
7.3.2.2.14	na hi kiṃ canānyaddhavis tūṣṇīm prokṣanti
7.3.2.3.1	yad v eva prokṣati havir vā etat
7.3.2.3.2	tad etad abhighārayati
7.3.2.3.3	yad vai havir abhyaktaṃ yad abhighāritaṃ taj juṣṭaṃ tan medhyam
7.3.2.3.4	ājyena
7.3.2.3.5	ājyena hi havir abhighārayanti
7.3.2.3.6	tūṣṇīm
7.3.2.3.7	tūṣṇīṃ hi havir abhighārayanti
7.3.2.3.8	darbhaiḥ
7.3.2.3.9	te hi śuddhā medhyā
7.3.2.3.10	agraiḥ
7.3.2.3.11	agraṃ hi devānām
7.3.2.4.1	tad āhur yat prathamām eva citim prokṣati katham asyaiṣa sarvo 'gniḥ prokṣito bhavati kathaṃ carmaṇi praṇītaḥ katham aśvapraṇīta iti
7.3.2.4.2	yad evātra sarvāsāṃ citīnām iṣṭakāḥ prokṣaty evam u hāsyaiṣa sarvo 'gniḥ prokṣito bhavaty evaṃ carmaṇi praṇīta evam aśvapraṇītaḥ
7.3.2.4.3	udyacchanty etāṃ citim
7.3.2.5.1	athāhāgnibhyaḥ prahriyamāṇebhyo 'nubrūhīti
7.3.2.5.2	etad vai devān upapraiṣyata etaṃ yajñaṃ taṃsyamānān rakṣāṃsi nāṣṭrā ajighāṃsan na yakṣyadhve na yajñaṃ taṃsyadhva iti
7.3.2.5.3	tebhya etān agnīn etā iṣṭakā vajrān kṣurapavīn kṛtvā prāharan
7.3.2.5.4	tair enān astṛṇvata
7.3.2.5.5	tānt stṛtvābhaye 'nāṣṭra etaṃ yajñam atanvata
7.3.2.6.1	tad vā etat kriyate yad devā akurvann idaṃ nu tāni rakṣāṃsi devair evopahatāni
7.3.2.6.2	yat tv etat karoti yad devā akurvaṃs tat karavāṇīti
7.3.2.6.3	atho yad eva rakṣo yaḥ pāpmā tebhya etān agnīn etā iṣṭakā vajrān kṣurapavīn kṛtvā praharati
7.3.2.6.4	tair enānt stṛṇute
7.3.2.6.5	tānt stṛtvābhaye 'nāṣṭra etaṃ yajñaṃ tanute
7.3.2.7.1	tad yad agnibhya iti
7.3.2.7.2	bahavo hy ete 'gnayo yad etāś citayaḥ
7.3.2.7.3	atha yat prahriyamāṇebhya iti
7.3.2.7.4	pra hi harati
7.3.2.8.1	taddhaike 'nvāhuḥ purīṣyāso agnayaḥ prāvaṇabhiḥ sajoṣasa iti
7.3.2.8.2	prāyaṇarūpam
7.3.2.8.3	na tathā kuryāt
7.3.2.8.4	āgneyīr eva gāyatrīḥ kāmavatīr anubrūyāt
7.3.2.8.5	ā te vatso mano yamat tubhyaṃ tā aṅgiras tam āgniḥ priyeṣu dhāmasv iti
7.3.2.9.1	āgneyīr anvāhāgnirūpāṇām upāptyai kāmavatīḥ kāmānām upāptyai gāyatrīḥ
7.3.2.9.2	gāyatro 'gniḥ
7.3.2.9.3	yāvān agnir yāvaty asya mātrā tāvataivainam etad reto bhūtaṃ siñcati
7.3.2.9.4	tisraḥ
7.3.2.9.5	trivṛd agniḥ
7.3.2.9.6	yāvān agnir yāvaty asya mātrā tāvataivainam etad reto bhūtaṃ siñcati
7.3.2.9.7	tāḥ sapta sampadyante saha trir anūktābhyām
7.3.2.9.8	saptacitiko 'gniḥ
7.3.2.9.9	saptartavaḥ saṃvatsaraḥ
7.3.2.9.10	saṃvatsaro 'gniḥ
7.3.2.9.11	yāvān agnir yāvaty asya mātrā tāvat tad bhavati
7.3.2.9.12	upāṃśv anvāha
7.3.2.9.13	reto vā atra yajñaḥ
7.3.2.9.14	upāṃśu vai retaḥ sicyate
7.3.2.9.15	paścād anubruvann anveti
7.3.2.9.16	chandobhir evaitad yajñaṃ paścād abhirakṣann eti
7.3.2.10.1	athāśvaṃ śuklam purastān nayanti
7.3.2.10.2	etad vai devā abibhayur yad vai na iha rakṣāṃsi nāṣṭrā na hanyur iti
7.3.2.10.3	ta etaṃ vajramapaśyann amum evādityam
7.3.2.10.4	asau vā āditya eṣo 'śvaḥ
7.3.2.10.5	ta etena vajreṇa purastād rakṣāṃsi nāṣṭrā apahatyābhaye 'nāṣṭre svasti samāśnuvata
7.3.2.10.6	tathaivaitad yajamāna etena vajreṇa purastād rakṣāṃsi nāṣṭrā apahatyābhaye 'nāṣṭre svasti samaśnute
7.3.2.10.7	āgacchanty agnim
7.3.2.10.8	dakṣiṇataḥ pucchasya citim upanidadhati
7.3.2.10.9	uttarato 'śvam ākramayanti
7.3.2.11.1	tam uttarārdhenāgner antareṇa pariśritaḥ prāñcaṃ nayanti
7.3.2.11.2	tat prācyai diśaḥ pāpmānam apahanti
7.3.2.11.3	taṃ dakṣiṇā
7.3.2.11.4	tad dakṣiṇāyai diśaḥ pāpmānam apahanti
7.3.2.11.5	tam pratyañcam
7.3.2.11.6	tat pratīcyai diśaḥ pāpmānam apahanti
7.3.2.11.7	tam udañcam
7.3.2.11.8	tad udīcyai diśaḥ pāpmānam apahanti
7.3.2.11.9	sarvābhya evaitad digbhyo rakṣāṃsi nāṣṭrā apahatyāthainam udañcam prāñcam prasṛjati
7.3.2.11.10	tasyokto bandhuḥ
7.3.2.12.1	tam pratyañcaṃ yantam etāṃ citim avaghrāpayati
7.3.2.12.2	asau vā āditya eṣo 'śvaḥ
7.3.2.12.3	imā u sarvāḥ prajā yā imā iṣṭakāḥ
7.3.2.12.4	tad yad avaghrāpayaty asāv eva tad āditya imāḥ prajā abhijighrati
7.3.2.12.5	tasmād u haitat sarvo 'smīti manyate prajāpatervīryeṇa
7.3.2.12.6	tad yat pratyañcaṃ yantam avaghrāpayati pratyaṅ hy evaiṣa yann imāḥ sarvāḥ prajā abhijighrati
7.3.2.13.1	yad v evāvaghrāpayati
7.3.2.13.2	asau vā āditya eṣo 'śvaḥ
7.3.2.13.3	ima u lokā etāḥ svayamātṛṇṇāḥ
7.3.2.13.4	tad yad avaghrāpayaty asāv eva tad āditya imāṃl lokānt sūtre samāvayate
7.3.2.13.5	tad yat tat sūtram upari tasya bandhuḥ
7.3.2.14.1	yad v evāghrāpayati
7.3.2.14.2	agnir devebhya udakrāmat
7.3.2.14.3	so 'paḥ prāviśat
7.3.2.14.4	te devāḥ prajāpatim abruvaṃs tvam imam anviccha
7.3.2.14.5	sa tubhyaṃ svāya pitra āvirbhaviṣyatīti
7.3.2.14.6	tam aśvaḥ śuklo bhūtvānvaicchat
7.3.2.14.7	tam adbhya upodāsṛptam puṣkaraparṇe viveda
7.3.2.14.8	tam abhyavekṣāṃcakre
7.3.2.14.9	sa hainam uduvoṣa
7.3.2.14.10	tasmād aśvaḥ śukla uduṣṭamukha iva
7.3.2.14.11	atho ha durakṣo bhāvukaḥ
7.3.2.14.12	tam u vā ṛtveva hiṃsitveva mene
7.3.2.14.13	taṃ hovāca varaṃ te dadāmīti
7.3.2.15.1	sa hovāca yas tvānena rūpeṇānvicchād vindād eva tvā sa iti
7.3.2.15.2	sa yo hainam etena rūpeṇānvicchati vindati hainam
7.3.2.15.3	vittvā haivainaṃ cinute
7.3.2.16.1	sa śuklaḥ syāt
7.3.2.16.2	taddhy etasya rūpaṃ ya eṣa tapati
7.3.2.16.3	yadi śuklaṃ na vinded apy aśuklaḥ syāt
7.3.2.16.4	aśvas tv eva syāt
7.3.2.16.5	yady aśvaṃ na vinded apy anaḍvān eva syāt
7.3.2.16.6	āgneyo vā anaḍvān
7.3.2.16.7	agnir u sarveṣām pāpmanām apahantā
7.3.2.17.1	athāto 'dhirohaṇasyaiva
7.3.2.17.2	taṃ haike purastāt pratyañcam adhirohanti paścād vā prāñcam
7.3.2.17.3	na tathā kuryāt
7.3.2.17.4	paśur eṣa yad agniḥ
7.3.2.17.5	yo vai paśuṃ purastāt pratyañcam adhirohati viṣāṇābhyāṃ taṃ hanti
7.3.2.17.6	atha yaḥ paścāt prāñcam padbhyāṃ tam
7.3.2.17.7	ātmanevainam ārohet
7.3.2.17.8	yaṃ vā ātmanā paśum ārohanti sa pārayati sa na hinasti
7.3.2.17.9	uttarato yaṃ hi kaṃ ca paśum ārohanti
7.3.2.17.10	uttarata evainam ārohanti
7.3.2.17.11	āruhyāgnim auttaravedikaṃ karma kṛtvātmann agniṃ gṛhṇīte
7.3.2.17.12	ātmann agniṃ gṛhītvā satyaṃ sāma gāyati
7.3.2.17.13	puṣkaraparṇam upadadhāti
7.3.2.17.14	tasyātaḥ
7.3.2.18.1	athaitaṃ sāye bhūte 'śvam pariṇayanti
7.3.2.18.2	etad vai devā abibhayur yad vai na imam iha rakṣāṃsi nāṣṭrā na hanyur iti
7.3.2.18.3	tasmā etaṃ vajram abhigoptāram akurvann amum evādityam
7.3.2.18.4	asau vā āditya eṣo 'śvaḥ
7.3.2.18.5	tathaivāsmā ayam etaṃ vajram abhigoptāraṃ karoti
7.3.2.19.1	taṃ vā upāstamayam ādityasya pariṇayati
7.3.2.19.2	eṣa vā asya pratyakṣaṃ divā goptā bhavati
7.3.2.19.3	rātrisācayāny u vai rakṣāṃsi
7.3.2.19.4	rātryā evāsmā etaṃ vajram abhigoptāraṃ karoti
7.3.2.19.5	sarvataḥ pariṇayati
7.3.2.19.6	sarvata evāsmā etaṃ vajram abhigoptāraṃ karoti
7.3.2.19.7	triṣkṛtvaḥ pariṇayati
7.3.2.19.8	trivṛtam evāsmā etaṃ vajram abhigoptāraṃ karoti
7.3.2.19.9	athainam udañcam prāñcam prasṛjati
7.3.2.19.10	tasyokto bandhuḥ
7.3.2.19.11	atha sa punar vipalyayate
7.3.2.19.12	tasyopari bandhuḥ
7.4.1.1.1	ātmann agniṃ gṛhṇīte ceṣyan
7.4.1.1.2	ātmano vā etam adhijanayati
7.4.1.1.3	yādṛśād va jāyate tādṛṅṅ eva bhavati
7.4.1.1.4	sa yad ātmann agṛhītvāgniṃ cinuyān manuṣyād eva manuṣyaṃ janayen martyān martyam anapahatapāpmano 'napahatapāpmānam
7.4.1.1.5	atha yad ātmann agniṃ gṛhītvā cinoti tad agner evādhy agniṃ janayaty amṛtād amṛtam apahatapāpmano 'pahatapāpmānam
7.4.1.2.1	sa gṛhṇāti mayi gṛhṇāmy agre agnim iti
7.4.1.2.2	tad ātmann evāgre 'gniṃ gṛhṇāti
7.4.1.2.3	rāyaspoṣāya suprajāstvāya suvīryāyeti
7.4.1.2.4	tad u sarvā āśiṣa ātman gṛhṇīte
7.4.1.2.5	mām u devatāḥ sacantām iti
7.4.1.2.6	tad u sarvān devān ātman gṛhṇīte
7.4.1.2.7	tad yat kiṃ cātmano 'dhi janayiṣyan bhavati tat sarvam ātman gṛhṇīte
7.4.1.2.8	sa vai tiṣṭhann ātmann agniṃ gṛhītvānūpaviśya cinoti
7.4.1.2.9	paśur eṣa yad agniḥ
7.4.1.2.10	tasmāt paśus tiṣṭhan garbhaṃ dhitvānūpaviśya vijāyate
7.4.1.3.1	atha satyaṃ sāma gāyati
7.4.1.3.2	etad vai devā abruvant satyam asya mukhaṃ karavāma
7.4.1.3.3	te satyam bhaviṣyāmaḥ
7.4.1.3.4	satyaṃ no 'nuvartsyati
7.4.1.3.5	satyo naḥ sa kāmo bhaviṣyati yatkāmā etat kariṣyāmaha iti
7.4.1.4.1	ta etat satyaṃ sāma purastād agāyan
7.4.1.4.2	tad asya satyam mukham akurvan
7.4.1.4.3	te satyam abhavan
7.4.1.4.4	satyam enān anvavartata
7.4.1.4.5	satya eṣāṃ sa kāmo 'bhavad yatkāmā etad akurvata
7.4.1.5.1	tathaivaitad yajamāno yat satyaṃ sāma purastād gāyati tad asya satyam mukhaṃ karoti
7.4.1.5.2	sa satyam bhavati
7.4.1.5.3	satyam enam anuvartate satyo 'sya sa kāmo bhavati yatkāma etat kurute
7.4.1.6.1	tad yat tat satyam āpa eva tat
7.4.1.6.2	āpo hi vai satyam
7.4.1.6.3	tasmād yenāpo yanti tat satyasya rūpam ity āhuḥ
7.4.1.6.4	apa eva tasya sarvasyāgram akurvan
7.4.1.6.5	tasmād yadaivāpo yanty athedaṃ sarvaṃ jāyate yad idaṃ kiṃ ca
7.4.1.7.1	atha puṣkaraparṇam upadadhāti
7.4.1.7.2	yonir vai puṣkaraparṇaṃ
7.4.1.7.3	yonim evaitad upadadhāti
7.4.1.8.1	yad v eva puṣkaraparṇam upadadhāti
7.4.1.8.2	āpo vai puṣkaram
7.4.1.8.3	tāsām iyam parṇam
7.4.1.8.4	yathā ha vā idam puṣkaraparṇam apsv adhyāhitam evam iyam apsv adhyāhitā
7.4.1.8.5	seyaṃ yonir agneḥ
7.4.1.8.6	iyaṃ hy agniḥ
7.4.1.8.7	asyai hi sarvo 'gniś cīyate
7.4.1.8.8	imām evaitad upadadhāti
7.4.1.8.9	tām anantarhitāṃ satyād upadadhāti
7.4.1.8.10	imāṃ tat satye pratiṣṭhāpayati
7.4.1.8.11	tasmād iyaṃ satye pratiṣṭhitā
7.4.1.8.12	tasmād v iyam eva satyam
7.4.1.8.13	iyaṃ hy evaiṣāṃ lokānām addhātamām
7.4.1.9.1	apām pṛṣṭham asi yonir agner iti
7.4.1.9.2	apāṃ hīyam pṛṣṭham
7.4.1.9.3	yonir hīyam agneḥ
7.4.1.9.4	samudram abhitaḥ pinvamānam iti
7.4.1.9.5	samudro hīmām abhitaḥ pinvate
7.4.1.9.6	vardhamāno mahāṃ ā ca puṣkara iti
7.4.1.9.7	vardhamāno mahīyasva puṣkara ity etat
7.4.1.9.8	divo mātrayā varimṇā prathasvety anuvimārṣṭi
7.4.1.9.9	asau vā āditya eṣo 'gniḥ
7.4.1.9.10	no haitam anyo divo varimā yantum arhati
7.4.1.9.11	dyaur bhūtvainaṃ yacchety evaitad āha
7.4.1.9.12	svarājopaddhāti
7.4.1.9.13	svārājyaṃ hy apām
7.4.1.9.14	sādayitvā sūdadohasādhivadati
7.4.1.9.15	tasyokto bandhuḥ
7.4.1.10.1	atha rukmam upadadhāti
7.4.1.10.2	asau vā āditya eṣa rukmaḥ
7.4.1.10.3	eṣa hīmāḥ sarvāḥ prajā atirocate
7.4.1.10.4	roco ha vai taṃ rukma ity ācakṣate parokṣam
7.4.1.10.5	parokṣakāmā hi devāḥ
7.4.1.10.6	amum evaitad ādityam upadadhāti
7.4.1.10.7	sa hiraṇmayo bhavati parimaṇḍala ekaviṃśatinirbādhaḥ
7.4.1.10.8	tasyokto bandhuḥ
7.4.1.10.9	adhastānnirbādham upadadhāti
7.4.1.10.10	raśmayo vā etasya nirbādhāḥ
7.4.1.10.11	avastād u vā etasya raśmayaḥ
7.4.1.11.1	tam puṣkaraparṇa upadadhāti
7.4.1.11.2	yonir vai puṣkaraparṇam
7.4.1.11.3	yonāv evainam etat pratiṣṭhāpayati
7.4.1.12.1	yad v eva puṣkaraparṇa upadadhāti
7.4.1.12.2	pratiṣṭhā vai puṣkaraparṇam
7.4.1.12.3	iyaṃ vai puṣkaraparṇam
7.4.1.12.4	iyam u vai pratiṣṭhā
7.4.1.12.5	yo vā asyām apratiṣṭhito 'pi dūre sann apratiṣṭhita eva
7.4.1.12.6	sa raśmibhir vā eṣo 'syām pratiṣṭhitaḥ
7.4.1.12.7	asyām evainam etat pratiṣṭhāyām pratiṣṭhāpayati
7.4.1.13.1	yad v eva puṣkaraparṇa upadadhāti
7.4.1.13.2	indro vṛtraṃ hatvā nāstṛṣīti manyamāno 'paḥ prāviśat
7.4.1.13.3	tā abravīd bibhemi vai puram me kuruteti
7.4.1.13.4	sa yo 'pāṃ rasa āsīt tam ūrdhvaṃ samudauhan
7.4.1.13.5	tām asmai puram akurvan
7.4.1.13.6	tad yad asmai puram akurvaṃs tasmāt pūṣkaram
7.4.1.13.7	pūṣkaraṃ ha vai tat puṣkaram ity ācakṣate parokṣam
7.4.1.13.8	parokṣakāmā hi devāḥ
7.4.1.13.9	tad yat puṣkaraparṇa upadadhāti yam evāsyaitam āpo rasaṃ samudauhan yām asmai puram akurvaṃs tasminn evainam etat pratiṣṭhāpayati
7.4.1.14.1	brahma jajñānam prathamam purastād iti
7.4.1.14.2	asau vā ādityo brahma
7.4.1.14.3	ahar ahaḥ purastāj jāyate
7.4.1.14.4	vi sīmataḥ suruco vena āvar iti
7.4.1.14.5	madhyaṃ vai sīmā
7.4.1.14.6	ime lokāḥ surucaḥ
7.4.1.14.7	asāv ādityo venaḥ
7.4.1.14.8	yad vai prajijaniṣamāṇo 'venat tasmād venaḥ
7.4.1.14.9	tān eṣa sīmato madhyato vivṛṇvann udeti
7.4.1.14.10	sa budhnyā upamā asya viṣṭhā iti
7.4.1.14.11	diśo vā asya budhnyā upamā viṣṭhāḥ
7.4.1.14.12	tā hy eṣa upavitiṣṭhate
7.4.1.14.13	sataś ca yonim asataś ca vivar iti
7.4.1.14.14	ime vai lokāḥ sataś ca yonir asataś ca
7.4.1.14.15	yac ca hy asti yac ca na tad ebhya eva lokebhyo jāyate
7.4.1.14.16	triṣṭubhopadadhāti
7.4.1.14.17	traiṣṭubho hy eṣa
7.4.1.14.18	sādayitvā sūdadohasādhivadati
7.4.1.14.19	tasyokto bandhuḥ
7.4.1.15.1	atha puruṣam upadadhāti
7.4.1.15.2	sa prajāpatiḥ
7.4.1.15.3	so 'gniḥ
7.4.1.15.4	sa yajamānaḥ
7.4.1.15.5	sa hiraṇmayo bhavati
7.4.1.15.6	jyotir vai hiraṇyam
7.4.1.15.7	jyotir agnim
7.4.1.15.8	amṛtaṃ hiraṇyam
7.4.1.15.9	amṛtam agniḥ
7.4.1.15.10	puruṣo bhavati
7.4.1.15.11	puruṣo hi prajāpatiḥ
7.4.1.16.1	yad v eva puruṣam upadadhāti
7.4.1.16.2	prajāpater visrastād ramyā tanūr madhyata udakrāmat
7.4.1.16.3	tasyām enam utkāntāyāṃ devā ajahuḥ
7.4.1.16.4	taṃ yatra devāḥ samaskurvaṃs tad asminn etāṃ ramyāṃ tanūm madhyato 'dadhuḥ
7.4.1.16.5	tasyām asya devā aramanta
7.4.1.16.6	tad yad asyaitasyāṃ ramyāyāṃ tanvāṃ devā aramanta tasmāddhiramyam
7.4.1.16.7	hiramyaṃ ha vai taddhiraṇyam ity ācakṣate parokṣam
7.4.1.16.8	parokṣakāmā hi devāḥ
7.4.1.16.9	tathaivāsminn ayam etāṃ ramyāṃ tanūm madhyato dadhāti
7.4.1.16.10	tasyām asya devā ramante
7.4.1.16.11	prāṇo vā asya sā ramyā tanūḥ
7.4.1.16.12	prāṇam evāsminn etam madhyato dadhāti
7.4.1.17.1	taṃ rukma upadadhāti
7.4.1.17.2	asau vā āditya eṣa rukbhaḥ
7.4.1.17.3	atha ya eṣa etasmin maṇḍale puruṣaḥ sa eṣa tam evaitad upadadhāti
7.4.1.18.1	uttānam upadadhāti
7.4.1.18.2	etad vai devā abruvan yadi vā imāv arvāñcā upadhāsyāmaḥ sarvam evedam pradhakṣyataḥ
7.4.1.18.3	yady u parāñcau parāñcāv eva tapsyataḥ
7.4.1.18.4	yady u samyañcāv antaraivaitāv etaj jyotir bhaviṣyatyathaḥ
7.4.1.18.5	anyonyaṃ hiṃsiṣyata iti
7.4.1.18.6	te 'rvāñcam anyam upādadhuḥ parāñcam anyam
7.4.1.18.7	sa eṣa raśmibhir arvāṅ tapati rukmaḥ prāṇair eṣa ūrdhvaḥ puruṣaḥ
7.4.1.18.8	prāñcam upadadhāti
7.4.1.18.9	prāṅ hy eṣo 'gniś cīyate
7.4.1.19.1	hiraṇyagarbhaḥ samavartatāgra iti
7.4.1.19.2	hiraṇyagarbho hy eṣa samavartatāgre
7.4.1.19.3	bhūtasya jātaḥ patir eka āsīd iti
7.4.1.19.4	eṣa hy asya sarvasya bhūtasya jātaḥ patir eka āsīt
7.4.1.19.5	sa dādhāra pṛthivīṃ dyām utemām iti
7.4.1.19.6	eṣa vai divaṃ ca pṛthivīṃ ca dādhāra
7.4.1.19.7	kasmai devāya haviṣa vidhemeti
7.4.1.19.8	prajāpatir vai kaḥ
7.4.1.19.9	tasmai haviṣā vidhemety etat
7.4.1.20.1	drapsaś caskanda pṛthivīm anu dyām iti
7.4.1.20.2	asau vā ādityo drapsaḥ
7.4.1.20.3	sa divaṃ ca pṛthivīṃ ca skandatīty amūm itīmām
7.4.1.20.4	imaṃ ca yonim anu yaś ca pūrva iti
7.4.1.20.5	imaṃ ca lokam amuṃ cety etat
7.4.1.20.6	atho yac cedam etarhi cīyate yac cādaḥ pūrvam acīyateti
7.4.1.20.7	samānaṃ yonim anu saṃcarantam iti
7.4.1.20.8	samānaṃ hy eṣa etaṃ yonim anu saṃcarati
7.4.1.20.9	drapsaṃ juhomy anu sapta hotrā iti
7.4.1.20.10	asau vā ādityo drapsaḥ
7.4.1.20.11	diśaḥ sapta hotrāḥ
7.4.1.20.12	amuṃ tad ādityaṃ dikṣu pratiṣṭhāpayati
7.4.1.21.1	dvābhyām upadadhāti
7.4.1.21.2	dvipād yajamānaḥ
7.4.1.21.3	yajamāno 'gniḥ
7.4.1.21.4	yāvān agnir yāvaty asya mātrā tāvataivainam etad upadadhāti
7.4.1.21.5	triṣṭubbhyām
7.4.1.21.6	traiṣṭubho hy eṣa
7.4.1.21.7	sādayitvā sūdadohasādhivadati
7.4.1.21.8	tasyokto bandhuḥ
7.4.1.22.1	atha sāma gāyati
7.4.1.22.2	etad vai devā etam puruṣam upadhāya tam etādṛśam evāpaśyan yathaitacchuṣkaṃ phalakam
7.4.1.23.1	te 'bruvann upa taj jānīta yathāsmin puruṣe vīryaṃ dadhāmeti
7.4.1.23.2	te 'bruvaṃś cetayadhvam iti
7.4.1.23.3	citim icchateti vāva tad abruvan
7.4.1.23.4	tad icchata yathāsmin puruṣe vīryaṃ dadhāmeti
7.4.1.24.1	te cetayamānā etat sāmāpaśyan
7.4.1.24.2	tad agāyan
7.4.1.24.3	tad asmin vīryam adadhuḥ
7.4.1.24.4	tathaivāsminn ayam etad dadhāti
7.4.1.24.5	puruṣe gāyati
7.4.1.24.6	puruṣe tad vīryaṃ dadhāti
7.4.1.24.7	citre gāyati
7.4.1.24.8	sarvāṇi hi citrāṇy agniḥ
7.4.1.24.9	tam upadhāya na purastāt parīyān nen māyam agnir hinasad iti
7.4.1.25.1	atha sarpanāmair upatiṣṭhate
7.4.1.25.2	ime vai lokāḥ sarpāḥ
7.4.1.25.3	te hānena sarveṇa sarpanti yad idaṃ kiṃ ca
7.4.1.25.4	sarveṣām u haiṣa devānām ātmā yad agniḥ
7.4.1.25.5	te devā etam ātmānam upadhāyābibhayur yad vai na ime lokā anenātmanā na sarpeyur iti
7.4.1.26.1	ta etāni sarpanāmāny apaśyan
7.4.1.26.2	tair upātiṣṭhanta
7.4.1.26.3	tair asmā imāṃl lokān asthāpayan
7.4.1.26.4	tair anamayan
7.4.1.26.5	yad anamayaṃs tasmāt sarpanāmāni
7.4.1.26.6	tathaivaitad yajamāno yat sarpanāmair upatiṣṭhata imān evāsmā etal lokānt sthāpayatīmāṃl lokān namayati
7.4.1.26.7	tatho hāsyaita etenātmanā na sarpanti
7.4.1.27.1	yad v eva sarpanāmair upatiṣṭhate
7.4.1.27.2	ime vai lokāḥ sarpāḥ
7.4.1.27.3	yaddhi kiṃ ca sarpaty eṣv eva tal lokeṣu sarpati
7.4.1.27.4	tad yat sarpanāmair upatiṣṭhate yaivaiṣu lokeṣu nāṣṭrā yo vyadvaro yā śimidā tad evaitat sarvaṃ śamayati
7.4.1.28.1	namo 'stu sarpebhyo ye ke ca pṛthivīm anu ye antarikṣe ye divi tebhyaḥ sarpebhyo nama iti
7.4.1.28.2	ya evaiṣu triṣu lokeṣu sarpās tebhya etan namaskaroti
7.4.1.29.1	yā iṣavo yātudhānānām iti
7.4.1.29.2	yātudhānapreṣitā haike daśanti
7.4.1.29.3	ye vā vanaspatīṃr anu ye vāvaṭeṣu śerate tebhyaḥ sarpebhyo nama iti
7.4.1.29.4	ye caiva vanaspatiṣu sarpā ye cāvaṭeṣu śerate tebhya etan namaskaroti
7.4.1.30.1	ye vāmī rocane divo ye vā sūryasya raśmiṣu yeṣām apsu sadaskṛtaṃ tebhyaḥ sarpebhyo nama iti
7.4.1.30.2	yatra yatraite tad evaibhya etan namaskaroti
7.4.1.30.3	namo nama iti
7.4.1.30.4	yajño vai namaḥ
7.4.1.30.5	yajñenaivainān etan namaskāreṇa namasyati
7.4.1.30.6	tasmād u ha nāyajñiyaṃ brūyān namas ta iti
7.4.1.30.7	yathā hainam brūyād yajñas ta iti tādṛk tat
7.4.1.31.1	tribhir upatiṣṭhate
7.4.1.31.2	traya ime lokāḥ
7.4.1.31.3	atho trivṛd agniḥ
7.4.1.31.4	yāvān agnir yāvaty asya mātrā tāvataivāsmā etad imāṃl lokānt sthāpayati
7.4.1.31.5	atho tāvataivaitad idam sarvaṃ śamayati
7.4.1.31.6	tiṣṭhann upatiṣṭhate
7.4.1.31.7	tiṣṭhantīva vā ime lokāḥ
7.4.1.31.8	atho tiṣṭhan vai vīryavattaraḥ
7.4.1.32.1	athainam upaviśyābhijuhoty ājyena pañcagṛhītena
7.4.1.32.2	tasyokto bandhuḥ
7.4.1.32.3	sarvataḥ parisarpam
7.4.1.32.4	sarvābhya evainam etad digbhyo 'nnena prīṇāti
7.4.1.33.1	yad v evainam abhijuhoti
7.4.1.33.2	etad vai devā etam ātmānam upadhāyābibhayur yad vai na imam iha rakṣāṃsi nāṣṭrā na hanyur iti
7.4.1.33.3	ta etān rākṣoghnān pratisarān apaśyan kṛṇuṣva pājaḥ prasitiṃ na pṛthvīm iti
7.4.1.33.4	rākṣoghnā vai pratisarāḥ
7.4.1.33.5	ta etaiḥ pratisaraiḥ sarvābhyo digbhyo rakṣāṃsi nāṣṭrā apahatyābhaye 'nāṣṭra etam ātmānaṃ samaskurvata
7.4.1.33.6	tathaivaitad yajamāna etaiḥ pratisaraiḥ sarvābhyo digbhyo rakṣāṃsi nāṣṭrā apahatyābhaye 'nāṣṭra etam ātmānaṃ saṃskurute
7.4.1.34.1	ājyena juhoti
7.4.1.34.2	vajro vā ājyam
7.4.1.34.3	vajreṇaivaitad rakṣāṃsi nāṣṭrā apahanti
7.4.1.34.4	pañcagṛhītena
7.4.1.34.5	pañcacitiko 'gniḥ
7.4.1.34.6	pañca 'rtavaḥ saṃvatsaraḥ
7.4.1.34.7	saṃvatsaro 'gniḥ
7.4.1.34.8	yāvān agnir yāvaty asya mātrā tāvataivaitad rakṣāṃsi nāṣṭrā apahanti
7.4.1.34.9	āgneyībhiḥ
