#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
25.4.40	yad evāsyā amedhyam ayajñiyaṃ tad apahanti
25.4.41	api mūlam anukhaned āviddhasya niṣkṛtyai
25.4.42	adho dūraṃ khanet
25.4.43	adho vā asyā vīryaṃ vīryasyābhitṛttyai
25.4.44	tasmāt sukṛṣṭe vrīhiyavāḥ pacyante
25.4.45	tad āhur uttarārdhe vā asyā vīryam
25.4.46	tad imāḥ prajā upajīvanti
25.4.47	tasmān nātikheyeti
25.4.48	ā pratiṣṭhāyāḥ khaned yajamānasya pratiṣṭhityai
25.4.49	dakṣiṇata udvanāṃ kuryāt
25.4.50	devayajanasya rūpam
25.4.51	rakṣasām apahatyai
25.4.52	purīṣavatīm
25.4.53	paśavo vai purīṣam
25.4.54	paśūn evāvarunddhe
25.5.1	﻿sphyena vediṃ parigṛhṇāti
25.5.2	vajro vai sphyaḥ
25.5.3	etāvatī pṛthivī yāvatī vediḥ
25.5.4	vajreṇaiva pṛthivyā bhrātṛvyaṃ nirbhajya cchandobhir ātmane parigṛhṇāti
25.5.5	vasavas tvā parigṛhṇantu gāyatreṇa cchandaseti dakṣiṇataḥ
25.5.6	tejo vai brahma gāyatrī
25.5.7	tejasaivaināṃ dakṣiṇataḥ parigṛhṇāti
25.5.8	rudrās tvā parigṛhṇantu triṣṭubhena cchandaseti paścāt
25.5.9	ojo vai vīryaṃ triṣṭup
25.5.10	ojasaivaināṃ paścāt parigṛhṇāti
25.5.11	ādityās tvā parigṛhṇantu jāgatena cchandaseti uttarāt
25.5.12	jāgatā vai paśavaḥ
25.5.13	uttarādāyatanāḥ paśavaḥ
25.5.14	paśubhya evaitad āyatanaṃ karoti paśūnāṃ dhṛtyai
25.5.15	atho tejasā cobhayataḥ paśūn parigṛhṇāti
25.5.16	purā krūrasya visṛpo virapśinn iti
25.5.17	yad vā asyās tejo yajñiyaṃ tad adaś candramasi
25.5.18	tad evāvarunddhe
25.5.19	idhmābarhiṣī prokṣati
25.5.20	śuṣkāṇī vā etāny amedhyāny āraṇyād āhṛtāny āpo medhyā yajñiyāḥ
25.5.21	yad adbhiḥ prokṣati medhye evaine yajñiye karoti
25.5.22	vediṃ prokṣati
25.5.23	medhyām evaināṃ yajñiyāṃ karoti
25.5.24	atho yad evāsyā udghnantaḥ krūraṃ kurvanti tac chamayati
25.5.25	barhis stṛṇāti
25.5.26	prajā vai barhiḥ
25.5.27	pṛthivī vediḥ
25.5.28	prajā eva pṛthivyāṃ pratiṣṭhāpayati
25.5.29	sarvāṃ vedim anustṛṇāti
25.5.30	tasmāt pṛthivīṃ sarvām anv oṣadhayaḥ
25.5.31	bahulaṃ stṛṇīyāt
25.5.32	akṣodhuko yajamāno bhavaty anagnaṃbhāvuko 'dhvaryuḥ
25.5.33	barhiṣi prastaraṃ sādayati
25.5.34	yajamāno vai prastaraḥ
25.5.35	prajā barhiḥ
25.5.36	yajamānam eva prajāsv adhisādayati
25.5.37	uttaraṃ sādayati
25.5.38	uttaro hi yajamāno 'yajamānāt
25.5.39	vyāvṛttaṃ sādayati
25.5.40	vyāvṛtto hi yajamāno 'yajamānena
25.5.41	aktvā prastaraṃ praharati
25.5.42	yajamāno vai prastaraḥ
25.5.43	havirbhūtam evainaṃ svargaṃ lokaṃ gamayati
25.5.44	nātyagraṃ praharet
25.5.45	yad atyagraṃ prahared vṛkṇakeśīr janayas syur abhyāsariṇīr naṃśukāḥ
25.5.46	agram agra ādīpayati
25.5.47	agreṇaivāgraṃ samardhayati
25.5.48	ṛjuṃ praharet svargakāmasya
25.5.49	ṛjum evainaṃ svargaṃ lokaṃ gamayati
25.5.50	yaṃ dviṣyāt tasya hūrchayet
25.5.51	svargād evainaṃ lokāddhūrchayati
25.5.52	nyañcaṃ prahared vṛṣṭikāmasya
25.5.53	yā vā ita āhutir udayate sāmuto vṛṣṭiṃ cyāvayati
25.5.54	svayaivāhutyā divo vṛṣṭiṃ ninayati
25.5.55	ūrdhvaṃ prahared yadi kāmayeta pumān asya putro jāyeteti
25.5.56	ūrdhva eva hi pumān
25.5.57	prathayitvā prahared yadi kāmayeta strī jāyeteti
25.5.58	evam eva hi strī prathiteva
25.5.59	yajamāno vai prastaraḥ
25.5.60	eti vā etad asmāl lokād yat prastaraṃ praharati
25.5.61	yat tṛṇam upagṛhṇāty asminn evainaṃ loke yacchati
25.5.62	anupraharati
25.5.63	yad evāsyāvamṛśantaḥ krūraṃ kurvanti yad vicchindantas tac chamayati
25.5.64	agā3n agnī3d iti
25.5.65	agann iti
25.5.66	agan svargaṃ lokam ity evaitad āha
25.5.67	śrāvaya śrauṣad iti
25.5.68	svargam evainaṃ lokaṃ gataṃ śrāvayati
25.6.1	﻿devāś ca vā asurāś ca saṃyattā āsan
25.6.2	tān yad asyās tejo yajñiyam āsīt tat siṃhīrūpam iva mahiṣīrūpam iva bhūtvāntarātiṣṭhat
25.6.3	te 'vidur yatarān vā iyam upāvartsyati ta idaṃ bhaviṣyantīti
25.6.4	tāṃ devā upāmantrayanta
25.6.5	sābravīd vāryaṃ vṛṇai mām eva pūrvām agner āhutir aśnavātā atha mayā yūyaṃ sarvān kāmān vyaśnavātheti
25.6.6	sā devān upāvartata
25.6.7	tato devā abhavan
25.6.8	parāsurā abhavan
25.6.9	yasyaivaṃ viduṣa uttaravedir nyupyate yaś caivaṃ vidvān nivapati bhavaty ātmanā parāsya bhrātṛvyo bhavati
25.6.10	daśa paścāt tiraścī padāni bhavanti
25.6.11	daśobhayataḥ prācī
25.6.12	aparimitā purastāt
25.6.13	virājā saṃmitā
25.6.14	yad vā asurāṇāṃ vittam āsīt tad devā vedyāvindanta
25.6.15	tad vedyā veditvam
25.6.16	yad vedyaṃ tad uttaravedyā
25.6.17	tad uttaravedyā uttaraveditvam
25.6.18	yasyaivaṃ viduṣo vediś ca kriyata uttaravediś ca nyupyate vittaṃ caiva vedyaṃ ca bhrātṛvyasya vindate
25.6.19	prajāpater vai nāsikāśīryata
25.6.20	sottaravedir abhavat
25.6.21	yajñaḥ prajāpatiḥ
25.6.22	yad uttaravediṃ nivapati prajāpater eva nāsikāṃ mukhataḥ pratidadhāti
25.6.23	catvāri vā etasyā nāmāni nāsikā kaśāris siṃhy uttaravediḥ
25.6.24	taptāyany asīti
25.6.25	taptā hy enānait
25.6.26	vittāyany asīti
25.6.27	vittā hy enānait
25.6.28	avatān mā nāthitam iti
25.6.29	nāthitān hy enān āvat
25.6.30	avatād vyathitam iti
25.6.31	vyathitān hy enān āvat
25.6.32	agne aṅgiro yo 'syāṃ pṛthivyām asi yo dvitīyasyāṃ yas tṛtīyasyām iti
25.6.33	yad evāsyaiṣu lokeṣu śliṣṭaṃ yan nyaktaṃ tad avarunddhe
25.6.34	vided agnir nabho nāmeti
25.6.35	yad vā agner vāmaṃ vasu tan nabhaḥ
25.6.36	tenemāṃ pṛthivīṃ prāviśaj jānudaghnam adhaḥ
25.6.37	tasmāj jānudaghnaṃ kheyaṃ tasyaiva vāmasya vasor anuvittyai
25.6.38	siṃhy asi mahiṣy asīti
25.6.39	siṃhīrūpam iva hi tan mahiṣīrūpam iva bhūtvāntarātiṣṭhat
25.6.40	devebhyaḥ prathasveti prathayaty evainām
25.6.41	devebhyaḥ kalpasveti kalpayaty evainām
25.6.42	devebhyaś śundhasveti śundhaty evainān
25.6.43	devebhyaś śumbhasveti śumbhaty evainām
25.6.44	vibhrāḍ bṛhat pibatu somyaṃ madhv iti antān kalpayati
25.6.45	devapātraṃ vā uttaravediḥ
25.6.46	devapātreṇaiva devatās tarpayati
25.6.47	atho devatābhya eva devapātraṃ nivedayati
25.6.48	yatīn vai sālāvṛkeyā ādan
25.6.49	ta ādīyamānās saṃmṛśyamānā uttaravediṃ samudakrāman
25.6.50	tān nābhyadhṛṣṇuvan
25.6.51	teṣām eko 'smayata
25.6.52	tata enān abhyadhṛṣṇuvan
25.6.53	teṣām ekaikam āvarham ādan
25.6.54	tasmān na moghahāsinā bhavyam
25.6.55	yan nissārayati
25.6.56	yad evāsyā abhimṛtam amedhyaṃ tan nissārayati
25.6.57	prokṣati
25.6.58	etāvatī vā iyaṃ pṛthivy āsīd yāvaty uttaravediḥ
25.6.59	tāṃ samantaṃ rakṣāṃsi saṃprākampanta
25.6.60	tāni devā vinudyaitābhir devatābhis samantaṃ parinyadadhuḥ
25.6.61	yat prokṣati
25.6.62	etaddevatyā vā imā diśaḥ
25.6.63	rakṣāṃsy eva vinudyaitābhir devatābhis samantam ātmānaṃ parinidadhāti gopīthāya
25.6.64	etad vā etāṃ pūrvām agner āhutir aśnute yad vyāghārayati
25.6.65	athādo 'bravīn mām eva pūrvām agner āhutir aśnavātā atha mayā yūyaṃ sarvān kāmān vyaśnavātheti
25.6.66	atha vā eṣāṃ tarhy asurās sapatnā āsan
25.6.67	te 'kāmayanta sapatnān sahemahīti
25.6.68	siṃhy asi sapatnasāhī svāheti saptnāṃs tenāsahanta
25.6.69	te 'kāmayanta paśūn vindemahīti
25.6.70	siṃhy asi rāyaspoṣavanis svāheti paśūṃs tenāvindanta
25.6.71	te 'kāmayanta prajāṃ vindemahīti
25.6.72	siṃhy asi suprajāvanis svāheti prajāṃ tenāvindanta
25.6.73	te 'kāmayantādityās syāmeti
25.6.74	siṃhy asy ādityavanis svāhety ādityās tenābhavan
25.6.75	tasmād imā ādityāḥ prajāḥ
25.6.76	te 'kāmayanta yajñiyās syāmeti
25.6.77	siṃhy asy āvaha devān devāyate yajamānāya svāheti yajñiyās tenābhavan
25.6.78	te 'kāmayanta svargaṃ lokam iyāmeti
25.6.79	bhūtebhyas tveti
25.6.80	devā vai bhūtāḥ
25.6.81	svargam eva tena lokam āyan
25.6.82	yasyaivaṃ viduṣa uttaravedir vyāghāryate yaś caivaṃ vidvān vyāghārayati sarvān evaitayā kāmān vyaśnoti
25.6.83	ime vai lokā adhṛtā āsan
25.6.84	te saṃprākampanta
25.6.85	tān devā etair yajurbhir vyaṣṭabhnuvan
25.6.86	yad etaiḥ paridhīn paridadhāty eṣāṃ lokānāṃ vidhṛtyai
25.6.87	agnir vai devebhyo 'pākrāmat
25.6.88	sa yāṃ prathamāṃ prāvasat tāṃ paśuṣv avasad vṛṣṇer antarāśṛṅgam
25.6.89	tasmād ūrṇāstukā bhavati
25.6.90	yāṃ dvitīyāṃ tāṃ vanaspatiṣu pītudārau
25.6.91	tasmāt pītudārur bhavati
25.6.92	yāṃ tṛtīyāṃ tām oṣadhiṣu sugandhitejane
25.6.93	tasmāt sugandhitejano bhavati
25.6.94	yad ete saṃbhārā bhavanti
25.6.95	yad evāsyātra śliṣṭaṃ yan nyaktaṃ tad etais saṃbharati
25.6.96	sa punar upāvartamānaś śarīram adhūnuta
25.6.97	tasya yan māṃsam āsīt tad gulgulv abhavad yad asthi sa pītudārur yāni lokāni sa sugandhitejanaḥ
25.6.98	yad ete saṃbhārā bhavanti
25.6.99	yad evāsyātra śliṣṭaṃ yan nyaktaṃ tad etais saṃbharaty agnes sarvatvāya
25.6.100	agneḥ kulāyam asy agneḥ purīṣam asīti
25.6.101	kulāyam iva hy etat purīṣam iva
25.6.102	yajñaḥ pratyaṣṭhād iti yajñasya pratiṣṭhityai
25.7.1	﻿catvāro vai devānāṃ hotāra āsan bhūpatir bhuvanapatir bhūtānāṃ patir bhūtaḥ
25.7.2	teṣāṃ trayo hotreṇa prāmīyanta
25.7.3	atho yad bhūta udaśiṣyata sa pramayād abibhet
25.7.4	sa nyalayata
25.7.5	sa samudraṃ prāviśat
25.7.6	sa yat samudre bhasmākuruta sa eṣa kardamaḥ
25.7.7	taṃ matsyaḥ prābravīt tam aśapad abhigantā tvā hatād iti
25.7.8	tasmān matsyam abhigantā hanti
25.7.9	śapto hi sa
25.7.10	tata uddrutya naḍaṃ prāviśat
25.7.11	tasmān naḍo dagdhaḥ krūra iva varvaraḥ
25.7.12	tam aśvaś śveto 'vamṛśann anvavindat
25.7.13	taṃ pratyauṣat
25.7.14	tasmāt sa pratyuṣṭamukhaḥ
25.7.15	so 'krandat
25.7.16	sā yā vāg āsīt sa suślokaś śakunir abhavat
25.7.17	tasmād yaṃ sa naṣṭaiṣam abhyavakrandati vindaty evā
25.7.18	taṃ devā anuvidyānayann idaṃ no hotā bhaviṣyasīti
25.7.19	sa pramayād abibhet
25.7.20	taṃ bhrātaraḥ pramītā abruvan vayaṃ ta ito varma bhaviṣyāmo deveṣu no bhāgadheyam iccheti
25.7.21	te 'bruvan yat kiṃ ca havirbhūtaṃ bahiṣparidhi skandāt tad eṣāṃ bhāgadheyam iti
25.7.22	ete vāva te paridhayaḥ
25.7.23	yadi havirbhūtaṃ bahiṣparidhi skanded bhūpataye svāhā bhuvanapataye svāhā bhūtānāṃ pataye svāhety anumantrayeta
25.7.24	ete vai devās skannabhāgāḥ
25.7.25	ya eva devās skannabhāgās tān enad gamayati
25.7.26	yajño vā eteṣāṃ madhyamo yajamāno dakṣiṇārdhyo bhrātṛvya uttarārdhyaḥ
25.7.27	sthaviṣṭhaṃ madhyamaṃ kuryād varṣiṣṭhaṃ dakṣiṇārdhyaṃ kradhiṣṭham uttarārdhyam
25.7.28	sthaviṣṭhaṃ prathamaṃ paridadhāti
25.7.29	prathamo hi yajñaḥ
25.7.30	varṣiṣṭhaṃ dakṣiṇārdhyam
25.7.31	yathā yajamāno dakṣiṇato yajñam upasīdaty evaṃ tat
25.7.32	paścevottarārdhyam
25.7.33	paśceva hi bhrātṛvyaḥ
25.7.34	yajñenaivaitad yajamānaṃ pratarām karoti
25.7.35	yajñena bhrātṛvyam apanudate
25.7.36	aktvā dakṣiṇārdhye praharati
25.7.37	mukhata eva yajamānaṃ prīṇāti
25.7.38	atho havirbhūtam evainaṃ svargaṃ lokaṃ gamayati
25.7.39	upavapaty uttarārdhyam
25.7.40	bhrātṛvyam eva tad upavapati
25.7.41	atha ha smāhāryalaḥ kāhoḍiḥ kim u sa yajeta yo yajñasya skannena na vasīyān iva syād iti
25.7.42	yatra skandet tad apo ninīya
25.7.43	bhūpataye svāheti prāk prādeśena mimīta bhuvanapataye svāheti dakṣiṇā bhūtānāṃ pataye svāheti pratyak
25.7.44	janaṃ vā etad yajñasyaiti yat skandati
25.7.45	iyaṃ vāva janaḥ
25.7.46	yo vā imām eti na sa punar āgacchanti
25.7.47	janam evaitasya yajñasya yāṃ kāmayata āśiṣaṃ tām avarunddhe
25.7.48	diśo mimīte
25.7.49	diśo vai yajñasya skannasyāśīr gacchati
25.7.50	digbhya eva yajñasyāśiṣam avarunddhe
25.7.51	prādeśena mimīte
25.7.52	etāvad vai puruṣe vīryaṃ yāvad asya prāṇā abhi
25.7.53	yāvad evāsmin vīryaṃ tenainat saṃbharati
25.7.54	apo ninayati
25.7.55	mriyate vā etad yajñasya yat skandati
25.7.56	adbhis tāntam abhiṣiñcanti
25.7.57	āpas sarvā devatāḥ
25.7.58	devatā evainat praveśayati
25.7.59	yadi prātassavane skandet
25.7.60	devāñ janam agan yajñaḥ
25.7.61	tasya yajñasya meṣṭasya vītasya draviṇehāgamyā ity anumantrayeta
25.7.62	yadi madhyandine 'pa oṣadhīr janam agan yajñas tasya meṣṭasya vītasya draviṇehāgamyā ity anumantrayeta
25.7.63	yadi tṛtīyasavane pitṝñ janam agan yajñas tasya meṣṭasya vītasya draviṇehāgamyā ity anumantrayeta
25.7.64	yadi naktaṃ dyāvāpṛthivī janam agan yajñas tasya meṣṭasya vītasya draviṇehāgamyā ity anumantrayeta
25.7.65	yadi tirohnyeṣu gandharvāñ janam agan yajñas tasya meṣṭasya vītasya draviṇehāgamyā ity anumantrayeta
25.7.66	etā vai devatā yajñasya skannasyāśīr gacchati
25.7.67	etā eva devatā yathādevataṃ pratyupasṛtya yāṃ kāmayate yajñasyāśiṣaṃ tām avarunddhe
25.7.68	yasyaivaṃ viduṣo yajñasya skannam anumantrayante yaś caivaṃ vidvān anumantrayate vasīyān bhavati
25.8.1	﻿havirdhāne praṇenekti
25.8.2	medhye evaine yajñiye karoti
25.8.3	granthīn vicṛtanti
25.8.4	devagranthīn eva granthiṣyanto manuṣyagranthīn vicṛtanti
25.8.5	havir vai havirdhāne
25.8.6	stīrṇe barhiṣi havir āsādayanti
25.8.7	tasmāt stīrṇe barhiṣi havirdhāne pravartayanti
25.8.8	patny upānakti
25.8.9	patnyā evaiṣa yajñasyānvārambhaḥ
25.8.10	atho mithunam eva yajñamukhe dadhāti prajananāya
25.8.11	triḥ prācīnam upānakti
25.8.12	asaṃkhyātaṃ hi tiraścīnaṃ manuṣyā upāñjanti vyāvṛttyai
25.8.13	yajuṣopānakti
25.8.14	ayajuṣā hi manuṣyā upāñjanti vyāvṛttyai
25.8.15	dakṣiṇata upānakti
25.8.16	dakṣiṇato hy ete udīcī manuṣyalokam upāvartete
25.8.17	mānuṣam evainayor uttaraṃ karoti
25.8.18	yad uttarād upāñjyān nānyataraṃ cana lokam upāvarteyātām
25.8.19	svargāya vā ete lokāya pravartete yaddhavirdhāne
25.8.20	yuñjate mana iti sāvitryā juhoti
25.8.21	savitṛprasūte evaine svargaṃ lokaṃ gamayati
25.8.22	havir vai havirdhāne
25.8.23	na havir anabhighṛtaṃ medham aśnute
25.8.24	yad abhyanakty abhy evaine ghārayati medhyatvāya
25.8.25	śuṣko vā eṣa nirṛtigṛhīto yad akṣo nabhyābhyām ubhayato baddha upadhibhyāṃ saṃdaṣṭaḥ
25.8.26	yad upānakti medhyam evainaṃ yajñiyaṃ karoti
25.8.27	ghoṣo vai nāmāsura āsīt
25.8.28	sa vanaspatīn prāviśat
25.8.29	taṃ devā gṛhītvobhayato 'badhnan
25.8.30	yat kṣveded asuryā vāg yajñam avavaded rakṣāṃsi yajñam anvavetya hanyuḥ
25.8.31	anugṛhṇanto yanti rakṣasām ananvavāyāya
25.8.32	vartmanā vai yajñaṃ rakṣāṃsy anvavetya jighāṃsanti
25.8.33	vaiṣṇavyā vartmañ juhoti
25.8.34	viṣṇur vai yajñaḥ
25.8.35	viṣṇunaiva yajñād rakṣāṃsy apahanti
25.8.36	vyṛddhā vā eṣāhutir yām anagnau juhoti
25.8.37	yaddhiraṇyam upāsya juhoty agnimaty eva juhoti samṛddhyai
25.8.38	svargaṃ vā ete lokaṃ preto yaddhavirdhāne
25.8.39	gāyatryā dakṣiṇasya vartmañ juhoti
25.8.40	asyām evaine ākramayati
25.8.41	triṣṭubhottarasya
25.8.42	antarikṣa evaine ākramayati
25.8.43	āhavanīyaṃ gamayati
25.8.44	svargam evaine lokaṃ gamayati
25.8.45	svargo hi loka āhavanīyaḥ
25.8.46	trīn purastāt prakramān ucchiṃṣati
25.8.47	traya ime lokāḥ
25.8.48	imān evāsmai lokān ucchiṃṣati
25.8.49	divo vā viṣṇa uta vā pṛthivyā iti dakṣiṇasya havirdhānasya methīm upaminoti
25.8.50	viṣṇur vai yajñaḥ
25.8.51	mukhata eva yajñasyāśiṣam avarunddhe
25.8.52	tāṃ paruṣiparuṣy āśāsāna eti
25.8.53	viṣṇor nu kaṃ vīryāṇi pravocam ity uttarasya
25.8.54	vaiṣṇavaṃ vai havirdhānam
25.8.55	svayaivainad devatayā samardhayati
25.8.56	viṣṇoḥ pṛṣṭham asīti cchadir upariṣṭād adhinidadhāti
25.8.57	idam eva tena karoti yad idam uttarārdhaṃ śīrṣṇaḥ
25.8.58	viṣṇo rarāṭam asīti purastāt
25.8.59	rarāṭam eva tena karoti
25.8.60	viṣṇoś śnaptre stha ity abhitaḥ
25.8.61	śnaptre eva tena karoti
25.8.62	tiryañcaṃ purastād vaṃśaṃ viṣīvyanti
25.8.63	tasmāt tiraścī puruṣasya bhruvau
25.8.64	viṣṇos syūr asi viṣṇor dhruvo 'sīti
25.8.65	vaiṣṇavaṃ vai havirdhānam
25.8.66	svayaiva devatayā sīvyati
25.8.67	svayā devatayā granthiṃ grathnāti
25.8.68	yaṃ prathamaṃ granthiṃ grathnīyāt taṃ prathamaṃ vicṛted ātmano gopīthāya
25.8.69	yad anyaṃ pūrvaṃ vicṛted amehenādhvaryuḥ pramīyeta
25.8.70	upariṣṭāc chamyās saṃnahyanti paścād upaminvanti
25.8.71	adhastāddhi manuṣyā yuñjanti purastād upaminvanti vyāvṛttyai
25.8.72	śiro vā etad yajñasya yaddhavirdhānam
25.8.73	purastād varṣīyo bhavati paścāt kradhīyaḥ
25.8.74	tasmāt purastāt puruṣasya śiro varṣīyaḥ paścāt kradhīyaḥ
25.8.75	vaiṣṇavam asi viṣṇave tveti saṃmitam abhimantrayate
25.8.76	vaiṣṇavaṃ vai havirdhānam
25.8.77	svayaivainad devatayā samardhayati
25.8.78	pra tad viṣṇus stavate vīryeṇeti trīn prakramān yajamānaṃ prāñcaṃ prakramayati
25.8.79	viṣṇum evainaṃ bhūtam imāṃl lokān gamayati
25.9.1	﻿śiro vā etad yajñasya yaddhavirdhānaṃ prāṇā uparavāḥ
25.9.2	dakṣiṇasya havirdhānasyādhastāt parilikhati
25.9.3	etad vā etayoḥ pūrvam
25.9.4	mukhata eva yajñasya prāṇān pratidadhāti
25.9.5	tasmān mukhataḥ prāṇāḥ
25.9.6	caturaḥ parilikhati
25.9.7	catvāro hi prāṇāḥ
25.9.8	prādeśaṃprādeśaṃ viparilikhati
25.9.9	etāvadetāvaddhīme 'bhi prāṇā asaṃbhindantaḥ khananti prāṇānām asaṃbhedāya
25.9.10	yat saṃbhindyāt prāṇān saṃbhindyāt pramīyeta
25.9.11	tān para ekadhā saṃtṛndanti
25.9.12	tasmāt prāṇāḥ para ekadhā saṃtṛṇṇāḥ
25.9.13	devasya tvā savituḥ prasava ity abhrim ādatte
25.9.14	savitṛprasūta evaināṃ devatābhir ādatte
25.9.15	idam ahaṃ rakṣaso grīvā apikṛntāmīti
25.9.16	bhrātṛvyo vai rakṣaḥ
25.9.17	bhrātṛvyasyaiva grīvā apikṛntati
25.9.18	idam ahaṃ yo nas samāno yo 'samāno 'rātīyati tasya grīvā apikṛntāmīti
25.9.19	prāṇā vā uparavāḥ
25.9.20	prāṇebhya eva bhrātṛvyam antareti
25.9.21	tājak pradhanvati
25.9.22	bṛhann asi bṛhadgrāvā bṛhatīm indrāya vācaṃ vadeti
25.9.23	bṛhatīṃ hy eṣa indrāya vācaṃ vadati
25.9.24	rakṣohaṇaṃ valagahanaṃ vaiṣṇavīm iti rakṣasām apahatyai
25.9.25	yad vaiṣṇavīm iti
25.9.26	yajño vai viṣṇuḥ
25.9.27	svayaivaināṃ devatayā samardhayati
25.9.28	devāś ca vā asurāś ca vyabhyacaranta
25.9.29	te 'surā devānāṃ prāṇeṣu valagān nyakhanan
25.9.30	tān bāhumātre 'nvavindan
25.9.31	tasmād bāhumātrāḥ kheyāḥ prāṇānām anuvittyai
25.9.32	idam ahaṃ tān valagān udvapāmi yān nas samāno yān asamāno nicakhāneti
25.9.33	yad evāsyātra śaptaṃ yad abhicaritaṃ tad anuvidyodvapati
25.9.34	tasmād ete bhiṣajyāḥ
25.9.35	tasmād āmayāvinam anumarśayanti
25.9.36	samrāḍ asi svarāḍ asīti sāmrājyam evaitair upaiti
25.9.37	gāyatreṇa cchandasāvabāḍho yaṃ dviṣmas traiṣṭubhena jāgateneti
25.9.38	etāvanti vai chandāṃsi
25.9.39	chandobhir eva bhrātṛvyam avabādhate
25.9.40	kim atra bhadraṃ tan nau sahety āśiṣam evāśāste
25.9.41	nirasto valago 'vabāḍho durasyur iti yathāyajuḥ
25.9.42	rakṣoghno valagaghnaḥ prokṣāmi vaiṣṇavān iti rakṣasām apahatyai
25.9.43	yad vaiṣṇavān iti
25.9.44	yajño vai viṣṇuḥ
25.9.45	svayaivainān devatayā samardhayati
25.9.46	rakṣoghno valagaghno 'vasiñcāmi vaiṣṇavān iti rakṣasām apahatyai
25.9.47	atho yad evaiṣāṃ khanantaḥ krūraṃ kurvanti tac chamayati
25.9.48	yad vaiṣṇavān iti
25.9.49	yajño vai viṣṇuḥ
25.9.50	svayaivainān devatayā samardhayati
25.9.51	rakṣoghno valagaghno 'vastṛṇāmi vaiṣṇavān iti rakṣasām apahatyai
25.9.52	yad vaiṣṇavān iti
25.9.53	yajño vai viṣṇuḥ
25.9.54	svayaivainān devatayā samardhayati
25.9.55	avasiñcaty ava ca stṛṇāti
25.9.56	tasmāt prāṇā antarato lomaśā udanvantaḥ
25.9.57	rakṣohaṇau valagahanau prokṣāmi vaiṣṇavī iti rakṣasām apahatyai
25.9.58	yad vaiṣṇavī iti
25.9.59	yajño vai viṣṇuḥ
25.9.60	svayaivaine devatayā samardhayati
25.9.61	ṛkṣe vā ete taṣṭe amedhye
25.9.62	āpo medhyā yajñiyāḥ
25.9.63	yad adbhiḥ prokṣati medhye evaine yajñiye karoti
25.9.64	hanū vā ete yajñasya yad adhiṣavaṇe
25.9.65	avitṛṇṇe bhavataḥ
25.9.66	tasmāddhanū avitṛṇṇe
25.9.67	purastād aṃhīyasī paścād varīyasī
25.9.68	evam eva hi hanū
25.9.69	dvyaṅgulam antarādhiṣavaṇe bhavati
25.9.70	tasmād iyam antarā hanū rāsnākeva
25.9.71	rakṣohaṇau valagahanā upadadhāmi vaiṣṇavī iti rakṣasām apahatyai
25.9.72	yad vaiṣṇavī iti
25.9.73	yajño vai viṣṇuḥ
25.9.74	svayaivaine devatayā samardhayati
25.9.75	rakṣohaṇau valagahanau paryūhāmi vaiṣṇavī iti rakṣasām apahatyai
25.9.76	yad vaiṣṇavī iti
25.9.77	yajño vai viṣṇuḥ
25.9.78	svayaivaine devatayā samardhayati
25.9.79	paryūhati
25.9.80	tasmāddhanū anagne amuṣite barsvair oṣṭhābhyāṃ sṛkkābhyāṃ śmaśrubhiḥ
25.9.81	śiro vā etad yajñasya yaddhavirdhānaṃ prāṇā uparavā hanū adhiṣavaṇe dantā grāvāṇo jihvādhiṣavaṇam carma mūrdhā droṇakalaśaḥ
