1.1.1	Now we shall explain the Agnihotra.
11.2.7	He performs the rite according to the earlier Veda.
11.2.8	If the time is for two days, then the space measured out for the later Veda is spread out to the south.
11.2.9	When the Adhvaryu makes the Uttaravedi, then the Pratiprasthātṛ, having brought the soil from the Cātvāla, makes the Uttaravedī quadrangular, two fingers high, to the south of the Kharo, with its front towards the Anvāhāryapacana. He makes a second Kharo.
11.2.10	When the Adhvaryu carries the fire, then the Pratiprasthātṛ, having brought the embers from the Anvāhārya-pācana, places them on the eastern mound.
11.2.11	Here the hands are not washed.
11.2.12	The three vessels of Vikaṅka, the golden pot, the pot with a hundred holes, the golden pot with a stream of wool, and the hawk-leafed vessels, are placed on the other axle.
11.2.13	At the time of the consecration of the animal, he purifies the Soma by means of a woolen filter, reciting the verse, "May it be purified by the filter, may it be purified by thee, may it be pure, may it be well purified."
11.3.1	"Soma is purified by the filter" is recited by the Soma-vamins. "Soma is purified by Soma" is recited by those who are purifying the Soma.
11.3.2	The pure liquor is poured on the head of the Brahman. The animals are brought near the sacrificial post.
11.3.3	The sacrificial post and the Soma juice are equal.
11.3.4	One offers a black goat to Asvins, a ram to Sarasvati, a bull or a ram to Indra.
11.3.5	One offers an animal to Brhaspati as the fourth, and one to Soma-vamins.
11.3.6	Having placed the Paśuka vessels, he sprinkles the Urdhvapātra vessels.
11.3.7	When the Vapas are offered, the bull, the cow and the heifer are given as Dakṣiṇā.
11.3.8	Having sprinkled in the Cātvāla, with the Urdhva-pātra vessels, having recited the Puroruc verse "Kuvid ange" and having taken the Suragrahas on the other Khara.
11.3.9	The two verses of invocation and response are addressed to the three deities, namely, the two Aśvins and Indra.
11.3.10	The Adhvaryu takes up the Aśvin cup with the formula, "Thou art taken with a support. I take thee, the unpierced one, the agreeable one, for the Aśvins."
11.3.11	The Pratiprasthātṛ takes up the Sārasvata cup with the formula, "Thou art taken up with a support; thee with the unpierced for the unpierced Sarasvatī."
11.3.12	The sacrificer takes up the Vāindra cup with the formula "Thou art taken with a support; thou with the unpierce for the unpierce Indra Sutrāmaṇ."
11.4.1	In the month of Asvina, he offers barley-cakes with the hair of lions, in the month of Saradvara, barley-cakes with hair of tigers, and in the month of Caitra, barley-cakes and hair of wolves.
11.4.2	Or the Adhvaryu should mentally meditate on lions, the Pratiprasthâtri on tigers, and the sacrificer on wolves.
11.4.3	Having wiped the Grahas with the Syena-leaf, the Adhvaryu places them in their respective places with the formula, "This is thy birth-place; for thee belonging to the Asvins." The Pratiprasthātṛ places them with the formula, “This is thy birth place; for thee belongingto Sarasvati." The sacrificer places them with the verse, "This is thine birth-place;for thee belonging to Indra Sutradamana."
11.4.4	Some say that one takes up the Payograhas and not the Suragrahas.
11.4.5	Having offered the sacrificial cakes, he offers the Indra-cake on eleven potsherds, the Savitr-cake on twelve potsherds, and the Varuna-cake on ten potsherds.
11.4.6	Having approached them, they proceed with those Grahas.
11.4.7	The Adhvaryu instructs, "Recite the Savana for the Soma of the Asvins, Sarasvati, Indra, and Sutradamana."
11.4.8	Having called out, and having been called back, he sends the Soma-drains, which have been started, to the Asvins, Sarasvati, Indra, Sutradaman, and Soma, by saying, "Send." The Maitrāvaruṇa sends the Hotṛ.
11.4.9	At the Vasat-utterance, they offer.
11.4.10	He makes the offering with the formula, "O Agni, do thou offer Soma."
11.4.11	The sacrificer recites the two verses, "O Agni, the oblation is in your mouth, in which are the horses."
11.5.1	He should buy a Brahman as the eater of the leftovers of the Brahman sacrificer.
11.5.2	If he does not find a Brahman, he should offer it into a termite mound. This is the Brahmanical instruction.
11.5.3	The two of you have different divine gifts, the place of sacrifice is limited. Whatever is left here, drink it as a remnant, with two verses.
11.5.4	One should offer the entire oblation with the two verses, "I have heard two declarations of the Pitrs."
11.5.5	In the southern fire, in a pot held by a sling, having spread out the filter with the ten edges pointing towards the east, he says, "Whatever my mind has gone astray." He holds a golden earring, three or two Niskas, or a hundred-man coin, not less, and says, "The fathers who are like Soma are satisfied." He puts the remaining Soma juice together.
11.5.6	The Adhvaryu, with the three verses addressed to the Pitrs and Soma, beginning with "Thou art the one who is to be sought," stands in front of the flowing (Soma). The Hotr, with the three subsequent verses, stands to the south. The Brahman, with the three following verses, stands to his rear.
11.5.7	The Adhvaryu places the hundred-strewn oblations in the southern fire with the formula, "O Agni, thou art the carrier of oblations."
11.5.8	The Rajanya and the Vaishya should drink the remaining Soma themselves.
11.6.1	Having performed with the sacrificial paps, one performs with the animals.
11.6.2	One performs with the sacrificial pap of Indra-Savitr-Varuna.
11.6.3	The Svishtakrit offering is common to the animal-sacrifices and the cakes.
11.6.4	Having placed the heart-splinters, they go to the Avabhrtha-rite with the vessels of the month.
11.6.5	The month is distributed according to the method of Rijiṣa.
11.6.6	"He inserts the Āṣāḍha vessel in the Avabhrtha rite with the verse, "O Varuna, thy Gayatri metre." He inserts the Sarasvata vessel with the verse, "O Varuna, Thy Tristubh metre." He places the Indra vessel with the verse "O Varun, thy Jagati metre." He puts the Satatrinna vessel with the verse "O Varuna thy Anushtubh metre." The heart-needle is put with the verse "O Varuna, thou art the Pankti metre.
11.6.7	They go back silently.
11.6.8	The Sautrāmaṇī is concluded.
11.7.1	The dimensions of the four ladles, such as the Juhu, are twenty-four fingers, or the length of the arm.
11.7.2	The base should be made with the base, the tip with the tip, the skin with the side and the upper hole. The length of the staff should be twelve fingers, the base should be eight fingers, the tip should be six fingers, above that twelve fingers, in that three fingers thick, six fingers wide, the tip should resemble the lip of an elephant, or the hole should be low, the tip should reach the end, and a canal should be made for pouring ghee.
11.7.3	The staff of Dhruva is four fingers thick and two fingers deep in the middle. This is the special feature.
11.7.4	The two ladles for the Darsha-Pūrnamāsa and Agnihotra sacrifices are of the shape of a ladle. The handle is of the shape of two fingers, twenty-one angulas in length. The base is as before. The top is three angulas above the handle, round, two angulas thick, like a nose, with two holes.
11.7.5	The width, thickness and depth of these holes are one angula each.
11.7.6-9	The length of the stick is to be one cubit. The length of the stick should be two cubits. The length and thickness of the stick should each be two inches. The base should be like the mouth of a swan, and the tip should be sharp like a blade of grass.
11.8.1	The handle of the ladle should be of the same length as the handle of the ladle, and the tip of the stick should be of the length of four fingers.
11.8.2	The stick should be twenty fingers long, with a tip of four fingers, resembling the bud of a lotus. The handle should be of the size of the arm.
11.8.3	Thus, the remaining part of the handle should be made of the length of the stick.
11.8.4	The ladle is to be made eight fingers long and four fingers wide, with a depth of six fingers in the middle, and three fingers deep, square in shape, filled with water up to half a prastha, or round in shape. The milking pot is to be filled with a prastha of milk.
