1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
10.5.10	With the ladle, he offers the fifth oblation, reciting: "The great goddesses, the waters, are auspicious to all."
10.5.11	Having filled the ladle with four spoonfuls, he offers a full oblation with twelve spoonfuls, with the verse, "All the gods are the leaders of the sacrifice."
10.5.12	Some say that one should offer after making a hole in the ground.
10.5.13	Having spread the black antelope skin, the right front foot is placed on it.
10.5.14	Having made two parallel lines joined with meat.
10.5.15	The sacrificer touches the white and black lines on the skin of black antelope spread out on the altar with its neck towards the east and with the hair upwards, with the verse, "The Rg and the Sama are established in the art."
10.5.16	Having ascended the altar up to the knees, he recites the verse, "This is the wisdom of the one learning the Sūtras," twice.
10.6.1	Having ascended, he recites this verse, "I have ascended this good boat."
10.6.2	"He anoints the shoulder, saying, 'Thou art the protection of Vishnu; thou art the protection of the sacrificer; protect me.'
10.6.3	He covers the head with the turban, saying, 'Protect me from the shining of the stars.'
10.6.4	He anoints the head as well as the body.
10.6.5	He places the pot and the bundle of grass on the wife's head.
10.6.6	They call it a net and a bundle."
10.6.7	It is known that the Krsna-cows are the source of life.
10.6.8	Then he makes her wear a garment of Kshauma cloth, with the hem towards the east.
10.6.9	They say that the face should be turned upwards.
10.6.10	The sacrificer is tied with a rope made of Muñja grass, with a girdle of three strands, at the middle of the earth, with the formula, "This is the energy of Angiras."
10.6.11	Having made a knot on the north side of the navel, he ties it on the south side of the navel.
10.6.12	He ties the wife with a yoke, saying, "I bind you together as in the Darsha-Pūrnamāsa."
10.6.13	Then he gives him a three-valved or five-valved black horn, turning to the right, saying, "You are the womb of Indra, do not harm me."
10.6.14-17	With this very mantra, he binds it. With that, he digs up a clod of earth from the Veda, saying, "For your crops, for your abundant crops." "For your abundant crops," he scratches his head. When he scratches his head, "For your teeth, for your abundant teeth," he scratches his teeth. "For your teeth, to be abundant," he scratches his gums. "For your abundant teeth," "For your joints, for your abundant joints," he scratches his joints. "For your joints, to be abundant." "For your abundant joints," "For the knot in your throat, for your abundant throat," he scratches his throat. "For your throat, to be abundant. For your abundant throat," "For what is bound in your heart," he scratches his heart. "For what is bound," "For all your limbs," he scratches his limbs. "For all your limbs."
10.6.18	Then he gives him the sacrificial staff of Udumbara wood, measuring up to his mouth, with the verse, "Thou art the tree, the heavenly, the bright, the giver of light. Thou art the giver of light to the sacrificer."
10.6.19	Some say that it should be of any tree that bears fruit and is fit for sacrifice.
10.6.20	He receives it with the verse, “The divine tree is well-established today.
10.7.1	He recites the formula, "Thou art the gift of the vow, thou art the gift of vow, thou art a great gift, thou art the great gift. Thou art the gift of heaven, thou art the giver of heaven, thou protectest me from the enemy, from the enemy of this sacrifice."
10.7.2	Then he lowers the fingers, reciting, "Svāhā to the sacrifice in the mind," twice; "Svāhā, to heaven and earth," twice; "Svahā, to the sky," twice.
10.7.3	He makes a fist, reciting, "Svahā to the sacrifice in wind."
10.7.4	Then he makes him recite the Sambhāraya-formulas, beginning with "Agni with the formulas."
10.7.5	Then he restrains speech until the rising of the stars.
10.7.6	If he releases speech before the stars, he should recite the formulas of Vishnu, Agni-Vishnu, Sarasvati, and Brihaspati, and then again restrain speech.
10.7.7	If he should let loose his speech in the form of a curse, he should say, "Thou art the guardian of vows, O Agni."
10.7.8	Then he informs him, "This Brahman, the son of so-and-so, the grandson of so-andso, the great-grandson of so-and so, the son of the son of soand so, the grandson of the grandson of soand so," three times in a low voice and three times aloud.
10.7.9	Whoever is initiated, he should be addressed as a brahmin.
10.7.10	One is initiated in the afternoon.
10.7.11	If one wishes that he may be ascetic, then one should initiate him in the morning.
10.7.12	Having risen, he releases the black antelope skin.
10.7.13	He observes this vow: He does not eat meat, does not approach a woman, and does not sleep above it, out of disgust for untruth.
10.7.14	He speaks in a human voice, to the wise, to the learned.
10.7.15	"The word "learned" is used to address a brahmin, while "wise" is used to refer to a kṣatriya or vaiśya."
10.7.16	A brahmin, kṣatriya, or vaiśya should speak to each other.
10.7.17	They should then address him.
10.7.18	If a conversation with a Śūdra were to be appropriate, he should say to one of them, "Examine this."
10.8.1	One should not give away the Soma before buying it.
10.8.2	One should not use a black-horned goad before giving away the Dakṣiṇās.
10.8.3	One scratches with a black-horn goad.
10.8.4	One smiles while holding it.
10.8.5	Seeing impurity, he recites: "The mind is untied, the eye is poor, the sun is the best of lights, may I not be deprived of initiation."
10.8.6	Increasing, he recites, "May the strength increase, may the energy increase, may the strength increase, do not let my initiation and austerity be destroyed."
10.8.7	One should not go away from an initiated person who is not measured.
10.8.8	He should not sleep anywhere else except in a place where the sun has risen and not yet set.
10.8.9	One should sleep facing the southern direction of the Ahavaniya fire.
10.8.10	One should not sleep on one's back or face down, nor should one turn away from the fire.
10.8.11	One is said to smile and come out according to the season.
10.8.12	They speak according to the time.
10.8.13	He should not spit, nor chew betel, nor think during the day, nor urinate.
10.8.14	If he does, he should do so in the shade.
10.8.15	He releases water, saying, "I release the offspring, I release the distress, svāhā." They enter the earth.
10.8.16	He does not cook, does not give, does not offer any oblations except for the Soma rites.
10.8.17	He should torment himself until the black color of his eyes disappears.
10.8.18	One should not cut off the black antelope skin. Thus one is freed from punishment.
10.9.1	If one were to be elsewhere than the black antelope skin, one should recite this mantra: "May the gods go to the eye ointment. May the blessing of the sacrifice not be lost."
10.9.2	One should not utter his name, nor proclaim his sin, nor address him directly. One should address him only when initiated.
10.9.3	He should not eat the food of the Agniṣṭoma sacrifice.
10.9.4	If the Agniṣṭomayajña is over, or if the omentum has been offered, or if the king has been bought, then one may eat.
10.9.5	One may also undertake the consecration after having set aside the sacrificial materials for the purpose of the sacrifice.
10.9.6	Then others may eat.
10.9.7	These vows are observed from the day of consecration onwards.
10.9.8	Then these are the uses of substances: scratching with a black antelope horn, sitting on a black antelope skin, and holding a staff.
10.9.9	The wife who is observing the milk vow becomes a celibate.
10.9.10	She releases four fingers, saying, "May you be desired."
10.9.11	Having milked, seeing the constellation, she releases the speech, saying, "I am observing the vow."
10.9.12	He keeps awake during this night.
10.9.13	Barley-gruel is the vow for a king, milk-rice for a Vaiśya, and milk for a Brāhmaṇa.
10.9.14	These are the vows for consecration.
10.9.15	But at the Upavasatha (ceremony) there is the division of the breasts for all.
10.10.1	The husband cooks the vow-food for the sacrificer on the Garhapatya fire, and the wife cooks it on the Dakṣiṇāgni.
10.10.2	The expiation for the Agnihotra that has been spilled is the vow.
10.10.3	Now some indeed perform the vow with milk alone.
10.10.4	One should not do it like that. One should perform the vow after cooking barley-gruel in milk.
10.10.5	If it is small, one should cook after milking another (cow) and perform the vow.
10.10.6	If milk is not available, one should perform the vow by cooking in water.
