1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
12.7.35	It concludes in a straight line.
12.7.36	They move for the midday pressing.
12.7.37	The pressing is well known.
12.7.38	The Grahas are taken well known.
12.7.39	(The rites) are similar to those at the Dakṣiṇā offerings.
12.7.40	One who is going to offer the Dakṣiṇa offerings asks for a vessel of clarified butter with a ladle, a spoon and a garment.
12.7.41-44	The rope is stretched out at the end of this dwelling. Taking this, he says, "Come, O sacrificer." Having gone around along the north of the sacrificial post and having gone around along the northern side of the Sadas, he stands in front of the hall. The Pratiprasthātṛ hands over these implements.
12.7.45	This chariot is placed at the end of the right buttock. The chariot-horse is placed.
12.7.46	He takes it up with the formula, "Thou art Indra's thunderbolt, the slayer of Vrtra. With thee he shall slay Vritra."
12.7.47	Then they lead it towards the interior of the altar, holding it firmly, silently.
12.7.48	Then he plunges the horses into water silently.
12.7.49	Then he yokes the right yoke-halter with the formula, "I yoke thee in the sway of Mitra-Varuna, the rulers, in the sway of sacrifice."
12.7.50	Then the back is wiped silently.
12.7.51	In the same way he yokes the left yoke-halter.
12.7.52	In the similar way he yokes its back-halter on the left side.
12.7.53	In the manner of the two, the back is wiped.
12.7.54	All this is yoked together in accordance with this (Sutra).
12.7.55	They make the elephants more than the prescribed number.
12.7.56	They put on the loads of clothes.
12.7.57	They weave the ten kinds of clothes without ropes.
12.7.58	The group of Dakshina comes in.
12.7.59	Then he offers on the Garhapatya with two Saura verses.
12.7.60	He offers on the Agnidhra with the verse "O Agni, may you lead us to wealth."
12.7.61	The gifts are given to the south.
12.7.62	Whatever he gives, he gives gold.
12.7.63	Then clothes, then yoked oxen, horses, elephants, men, at least.
12.7.64	These chariots are not given.
12.7.65	They do not run in a race for another.
12.7.66	He gives his own chariot to the Adhvaryu with his mind.
12.7.67	The Brahman directs the four-footed field with his mind.
12.7.68	Having directed with his mind, he moves with three Marutvatīya oblations.
12.7.69	The Nārāśaṃsa oblations are offered, the oblations of the southern Havirdhāna are nourished, and the lower and lower oblations are offered to Mahendra.
12.8.1	Then he requests the Vaitana vessel, the Drona vessel, and sixteen Vayavya oblations.
12.8.2-3	Now, before this (Agni), the sixteen-fold waters are collected from the directions, and are deposited on the southern Havirdhāna, from the eastern axle to the western support.
12.8.4	He offers to the flowing goddesses, the goddesses who have been established, the goddesses who are sweet, who have been taken, who are full of strength, who are for the Rajasuya, who have been prepared, by whom Mitra and Varuna consecrated, by whom Indra was led beyond the enemies.
12.8.5	"O Goddesses, give the kingdom, give the kingdom. Svāhā!"
12.8.6	"He takes it with the Palasa-twig, saying, 'Thou art the lord of the people; thou givest the kingdom to him who is the lord of the kingdom, to him who is of such and such a name, to the son of such and such, to the grandson of such and such.'
12.8.7	'Thou art the lord over the waters,' (he says) to those whose names are 'lord of the waters,' or to those whose names end in 'sāmudra.'
12.8.8	'Thou hast the form of a bull,' (he says to) those whose names end with 'ūrma.'
12.8.9	'Thou dost have the form of a warrior,' (he says), to those whose names have the form of 'palvala.'
12.8.10	'Thou standest on the pasture-ground,' (he says,) to those whose names contain the word 'kūpa.'
12.8.11	"The Maruts are the strength of the wind." This is the name of the Niviṣṭyā.
12.8.12	"The Sun is the brilliance." This is the Atidiśyā.
12.8.13	"Sun is the skin." This is the Ātapavati Vārṣyā.
12.8.14	"Slow." This is the Hrādunya.
12.8.15	"Wishes." This is the Prisvā.
12.8.16	"Shakvari." This is the Gorulbyā.
12.8.17	"Holder of the universe." This is the milk.
12.8.18	"Holder (of) the people." This is the curd.
12.8.19	"The lustre of Agni is here," (thus) one offers clarified butter.
12.8.20	"The juice of the waters and plants is here," (thuis) one offers honey.
12.8.21	Then he offers to Sarasvati: "The divine waters, full of honey, have taken up the strength, for the Rajasuya sacrifice, by which Mitra and Varuna were anointed, by which Indra was led beyond the enemies.
12.8.22	"O thou who givest the kingdom, give the kingdom! Svāhā!"
12.8.23	He takes it with a leaf-vessel, saying, "O thou who gavest the kingdom, thou hast given the kingdom to so-and-so, the son of so-and- so, the grandson of so-and so."
12.8.24	Then he pours it into the Vaitas and the Dronakalasa, saying, "The divine waters, flowing with sweetness, flow with sweetness, giving great lustre to the Kshatriya."
12.8.25	Then he places them between the Hotr's and the Brahmaṇācchaṃsin's Dhishṇyas, with the verse, "May they be seated, not to be assailed, bestowing strength, great lustre, and the Ksatriya-hood."
12.8.26	Here those things which are useful are taken to the resting place by the Adhvaryu.
12.8.27	Those things which are useless are thrown away.
12.8.28	The Vasatīvari waters are poured down for the Dashapāyina sacrifice.
12.9.1	Here he stands and asks for a bundle of Darbha grass, a hundred gold coins, four vessels of different kinds of wood, a Tarpya vessel, a turban, a hundred bundles of Darbha grass. He also asks for curd, Udumbara fruit, grass, a bow and arrows.
12.9.2	He ties a hundred-man-weight of gold in a darbha-grass-cord, saying, "Thou art the friend of speech, born of penance."
12.9.3	Then he places it in a bronze vessel or a pot, saying, "You are the giver of Soma."
12.9.4	With gold he purifies. "With the bright, I purify you with the bright. With the bright, with the bright, with immortality, with immortality, svāhā." "For the royal consecration, for the consecrated."
12.9.5	He takes them with the Palasa-leaves, the shining ones, the bestowers of strength, the uninjured, the well-dressed, the wearer of the garments, Varuna has made his abode among the waters, the child among the mothers.
12.9.6	He gives it to the Brāhmaṇa seated in front, taking it with this (formula). Having taken it with this (formule), he gives it to the king seated on the right, with the Udumbara (wood).
12.9.7	Having taken it with this, he gives it to a Vaishya seated behind, with the Ashvattha (wood).
12.9.8	Taking it with this, (he gives it) to a Shudra seated in front, with the Naiyagrodha (wood).
12.9.9	Then having taken the Praraka (the sacrificial post) and having placed it, he places it in a known place.
12.9.10	Then he makes the sacrificer wear the Tarpya garment, saying, "Thou art the womb of the Kshatra."
12.9.11	He puts on the Tarpya garment with the words, "Thou art of the nature of the Kshatras."
12.9.12	He covers the head with the garment, reaching down to the navel.
12.9.13	Then he purifies him with a hundred darbha-grass-blades, with the constant purification.
12.9.14	Then he cleanses him, saying, "Curd, Udumbara, and grass."
12.9.15	Then he brings him forward with the verses, "Agni, the householder, is purified," with seven verses in the Anucchada metre.
12.9.16	Then, standing in the place of sacrifice, he says to him, "This is your king, O sacrificers." Those whose chief he is.
12.9.17	"Soma is our king, O Brahmanas," say the others.
12.9.18	Then he gives him a bow, saying, "You are Indra's thunderbolt, the slayer of Vritra. With you he will slay Vritra." The arrows are for overcoming enemies.
12.9.19	The other one receives it with the words, "Do you torment my enemies." He says, "Protect me from the front, protect me from the sides, protect me from above, protect me from below, protect me from all directions, protect me from evil spirits."
12.9.20	Then he raises his arms with the Tristubh verses, "The golden-colored dawn shines forth."
12.9.21	Then he instructs him with the mind itself, "Proceed along the directions, and raise the mind upwards."
12.9.22	Then he makes him recite:
12.10.1	"Stand by the sacrificial grass, stand by the Ugra, stand by the Viraj, stand by the northern direction, stand by the upward direction."
12.10.2	Then standing here itself, he requests the Marut-offering with twenty-one potsherds and the Amikṣa-offering to the Visve Devī.
12.10.3	The Anuvāka of that (Sāman) which is in the forest, is used for the middle potsherds. The other potsherds are used with the Rajasūya and Gaṇa Sāmans.
12.10.4	He recites with them, "Recite for the Maruts, sacrifice to the Maruts." "Recite for all the gods, sacrifice to all the gods."
12.10.5	Having placed the two oblations for Aniṣṭa and Śviṣṭakṛt, he places them in the known (place).
12.10.6	Then he asks for a tiger skin, gold and silver ornaments, boar-skin shoes, lead and red copper.
12.10.7	The eunuch sits to the right.
12.10.8	Then before the consecration, he offers six oblations to Agni, Svāhā, Soma, Svāhā.
12.10.9	Then on the place for the sacrificer he spreads the skin of a tiger with the neck towards the east and with the hair upwards, saying, "Thou art the lustre of Soma; may my lustre be like thine."
12.10.10	Having seated the sacrificer facing the east, he adorns him with golden and silver ornaments.
12.10.11	"Thou art the immortal, O Death, protect me." He places silver below, saying, "Protect me from lightning." He places gold above, saying, "Protected by a hundred."
12.10.12	Then he strikes the impotent man sitting on the right side with lead, saying, "The serpents are biting."
12.10.13	He throws down the red iron with his left foot, saying, "Namuci's head is thrown down."
12.10.14	Here they take up the consecrations.
12.10.15	He looks at them.
12.11.1	"Soma, the king, Varuna, the gods, and those who are righteous, they have spoken the speech, they have spoken life, they have spoken sight, they have spoken hearing."
12.11.2	Then, taking the Brahma vessel, he consecrates with it.
12.11.3	The Adhvaryu alone mutters the Yajus. The others sprinkle. "He sprinkles thee with the lustre of Soma, with the brilliance of Agni, with the splendour of Surya, with the power of Indra, with the strength of Mitra-Varuna, with the energy of the Maruts, with the power and might of the Kshatriyas, with the power, might and energy of the Kshatriya-lords. Do thou protect the heaven. This is thy heaven."
