1.1.1	Now, therefore, the authority.
14.1.20	The tying of the sacrificial post with seventeen cloths, or the untying at the time of the distribution of the sacrificial post.
14.1.21	On the next day, at the Savanīya offerings.
14.1.22	The cup of barley is carved out completely.
14.1.23	At the Sutyā and other rites, the sacrificer and his wife are bound with golden garlands.
14.1.24	Because of the word 'suta' (in the name of the rite).
14.1.25	Because there is no distinction in all cases.
14.1.26	At the time of entering the house with a single wealth, he makes the wine enter through the mouth of the donkey.
14.1.27	Having taken the vessels with the Samdhi-mantra, he purifies them with the Valaka-mantra.
14.1.28	Having taken the Atigrahya oblations at the morning pressing, the Sodashin and the five Indra oblations,
14.2.1	"The Dhruvasad" - thus separately.
14.2.2	The Homa is like the Atigrahya.
14.2.3	Seventeen oblations are left.
14.2.4	The Saura oblations are not offered.
14.2.5	The Grahanas are exchanged.
14.2.6-10	The Adhvaryu and the Nestr hold the dice above and below respectively, saying, "We are united." "We are separated," say those who take them. Having taken the Soma-cup in a golden vessel, he places it in the middle of the Khara. The Ukthya and others.
14.2.11	Having prepared the animals for sacrifice, he should offer the black-spotted cow to the Maruts.
14.2.12	In its absence, a non-black-spotted cow.
14.2.13	The seventeen sheep with black wool, and the goats.
14.2.14	In the absence of their qualities, even a part of all of them.
14.2.15	Some say the best is speech.
14.2.16	The offering of the cow should be done at the end of the Mahendra sacrifice.
14.2.17	And with two kinds of Avadanas, cooked separately.
14.2.18	He offers the Avadanas to the deities in the east, to the Svistakrit deities.
14.2.19	He gives the northern ones to the Visas.
14.2.20	At the end of the Vamadevya Grahas, to the Prajapati ones.
14.2.21	Before the arrangement of the ladles, with the oblations.
14.2.22	According to the proper order, for both.
14.2.23	And for the Vasha.
14.2.24	The cooking together.
14.2.25	And the giving to the Visas.
14.2.26-31	With the Madhyandiniyas, a cake on eight potsherds to Brhaspati, consisting of nine measures of flour, and seventeen cows. The number of cows is determined by the general rule. Not by the word yajati. He gives seventeen cows, seventeen garments, and seventeen pairs of shoes. Seventeen cows, seventeen garments and seventeen pairs of earrings. Seventeen elephants, seventeen horses, seventeen chariots, seventeen men, seventeen women, seventeen pots, seventeen vessels, seventeen pots, and seventeen vessels. Seventeen pots, seventeen vessels,
14.2.32	Because of the filling of the seventeenfold group with each birth.
14.2.33	Or because of the giving of seventeenfold, seventeenfold, seventeen, as stated in the Veda.
14.3.1	The thunderbolt of Indra is at the end of the Marutvatiya hymn, so it is taken to the chariot.
14.3.2	He turns around the sacrificial post to the south, saying "For strength," thus taking possession of the dwelling.
14.3.3	He sprinkles the horses as they are being led away, saying, "The bathed ones have gone into the water."
14.3.4	Or, "The divine waters."
14.3.5	Or, both together.
14.3.6	He yokes the right one, saying, "Wind."
14.3.7	The left one, saying, "Wind-queller."
14.3.8	The right one, saying "The speed that is in him."
14.3.9	The fourth one, not yoked, follows along, all the yoked ones.
14.3.10	He makes them smell the Barhaspatya (grasses) with the formula, "O horses."
14.3.11	He yokes the four-yoked ones silently, the others outside the altar.
14.3.12	The Brahman ascends the wheel of the chariot on a mound of the size of the navel, standing on a post.
14.3.13	The wheel and drum of the Ksatriya are of Indra.
14.3.14	He places seventeen drums in a line behind the Āgnīdhra.
14.3.15	They strike one drum with the verse, "O Brihaspati, O Vāja" and the others silently.
14.3.16	The Kṣatriya shoots arrows at the seventeen drums from the ford towards the north.
14.3.17	He places the Udumbara branch at the end.
14.3.18	The sacrificer ascends with the Yajus formula, "I am of the god."
14.3.19	The Adhvaryu and the student or the pupil silently recite.
14.3.20	One among the others, either a royal or a vaishya, recites for the acceptance of the sun.
14.3.21	They proceed quickly in the race.
14.3.22	He recites, "O horses."
14.4.1	The Brahman chants the Sama three times.
14.4.2	Conches are sounded.
14.4.3	He offers with this verse, "This is his."
14.4.4	He recites the mantra.
14.4.5	With the three verses beginning with "Uttara."
14.4.6	"He who drinks conquers."
14.4.7	Having circumambulated the tree clockwise, they go.
14.4.8	When they have arrived, the Brahman descends, saying, "I am of the god."
14.4.9	He takes down the tree with this mantra.
14.4.10	Silently, the others.
14.4.11	Having alighted, he offers the Naivara-grains, standing in the sacred place, with the verse, "May I obtain the strength."
14.4.12	He makes the sacrificer smell the Yajus-connected (grains) with the verse, "May I obtain the non-stalling (strength)."
14.4.13	Having yoked the fourth (horse), he gives it to the Adhvaryu.
14.4.14	All (horses) are sixteen.
14.4.15	The Adhvaryu and the sacrificer offer the Madhugraha for the Saura-graha to the one seated on the northern part of the altar.
14.4.16	And he who does not like it, having taken the Soma from the west, and having taken the hall from the east, and having given one, says, "I am buying this with this."
14.4.17	He gives a vessel of honey to Brahma.
14.4.18	He does as he pleases with it.
14.5.1	He offers twelve oblations with the ladle, saying, "To the Apas, svāhā." He recites the mantra for each one.
14.5.2	And six more oblations.
14.5.3-8	The bridegroom-to-be puts on a garment of hemp or of cotton, which is worn between the garment of the sacrificer and the garment of the initiated. The sacrificial post is erected to the north or to the south of the house. The bridegroom-to- be invites his wife to ascend (the post) saying, "Come, O wife, let us ascend." She replies, "Let us ascend." "Of Prajapati," says he as he ascends.
14.5.9	He offers barley with the formula, "May we obtain heaven."
14.5.10	He raises the sacrificial post with the formula, “O immortal ones.”
14.5.11	He looks at the directions with the formula,
14.5.12	"May we obtain." They place seventeen leaves of Ficus religiosa in a pot of ashes for him.
14.5.13	He receives them.
14.5.14	He looks at earth with the formula, 
14.5.15	He descends on the golden skin of a black antelope.
14.5.16	On the ground.
14.5.17	He spreads the skin of a black anteloper on the northern altar, on the side of the Udumbara post, and says, "This is yours."
14.5.18	He makes him sit on it, saying, "You are the driver."
14.5.19	He moves with a bundle of reeds.
14.5.20	Having sprinkled water in the Udumbara vessel towards the east of the Svishtakrit, he pours ghee and seventeen kinds of food.
14.5.21	As long as the memory is not forgotten.
14.5.22	The non-eating is due to the expiration of that.
14.5.23	One offers with the ladle, saying "This is the strength" for each verse.
14.5.24	One sprinkles the sacrificer with the remaining (water), saying "For the deity you are."
14.5.25	"For Sarasvati, for the place of Sarasvati, for all the gods."
14.5.26	Or "For Sarasvati you are."
14.5.27	"This is the king." Thus he says three times loudly, taking the name.
14.5.28	Having made the Anuvaka twelve times with the one-syllabled Agni, he performs the Nivar-Svishtakrit-Idam.
14.5.29	And also the Mahendra and others.
14.5.30	Having descended, he goes to the Stotra, being sent.
14.5.31	The Mahendra is above the Ujitibhas.
14.5.32	The Stotra ends with the Sodasi, with the bowls.
14.5.33	He pours out the Soma in seventeen cups, two by two.
14.5.34	One for the Nestr.
14.5.35	At the end of the Upavasatha ceremony he gives the Yūpa-veṣṭana to the Adhvaryu.
14.5.36	The golden garlands according to the use.
15.1.1	The king's Rajasuya.
15.1.2	The Vājapeya without Iṣṭi.
15.1.3	The Iṣṭi-Soma-animals are of different procedure due to the difference of time.
15.1.4	The Pavitra is of four consecrations.
15.1.5	With a thousand as the fee.
15.1.6	The initiation is on the new moon day of the month of Māgha.
15.1.7	At the end, the full oblation is offered, and the fee is given to those who desire it.
15.1.8	From tomorrow onwards, the oblations increase by five each day.
15.1.9	The oblation of eight potfuls is for Anumati.
15.1.10	Having placed the oblation for the Sviṣṭakṛt in the ladle behind the Samyu, taking the torch of the southern fire, going to the south, he offers in the fire kindled by himself in the southern direction with the verse, "This is thy share, O Nirṛti."
15.1.11	Having come without looking back, he performs the pouring of the Anumati oblation.
15.1.12	A garment should be given.
15.1.13	Gold should be given in the Agni-Viṣṇu sacrifice.
15.1.14	The cow is again let loose for the Agniṣomīya.
15.1.15	The bull and the he-goat are for the Indra-Agni.
15.1.16	The cow is for the Āgrayana.
15.1.17	The Cāturmāsya rite is performed in Phālguna.
15.1.18	Having come to the dark half from the full moon, one goes to the bright half from the new moon.
15.1.19	The Śunāsīrīya is performed in place of the Pavitra initiation.
15.1.20	Having arranged the five-fold fire in the directions of the Ahavaniya, he offers in the middle with the ladle, saying "to the Agni-faced ones" for each verse.
15.1.21	"Those gods who are in the north" for each verse
15.1.22	A chariot yoked with three horses is the Dakṣiṇā.
15.1.23	The same for one who is sick.
15.1.24	Indra-turyam
15.1.25	Agneyaḥ
15.1.26	The oblation of barley is for Varuna.
15.1.27	Also elsewhere.
15.1.28	The oblation of Gaveduka is for Rudra.
15.1.29	The oblations of curd and honey are for Indra.
15.1.30	The same is the Dakshina.
15.2.1	The oblution of Apamarga.
15.2.2	Having made Apamarga grains in a Palasha ladle or in a Vaikankata ladle,
15.2.3	The directions and the fires are like Tryambaka.
15.2.4	Or the eastern direction.
15.2.5	The offering of the Ultmukas is with the words "O Agni, be victorious."
15.2.6-11	He offers with the formula, "For the deity thee." He places the spoon with the formula, “For the Rakshas thee.” He goes to that direction in which he is going to offer. Having gone, he says, “We have slain the Rakshas.” He goes to that direction towards which he is going. One who is being attacked should go to that direction towards whom he is being attacked. One who attacks should tell the name in the offering, placing of the spoon and going. In the case of three kinds of union.
15.2.12	The Agni-Visņu, the Indra-Visņu, and the Visņu are the offerings to the south.
15.2.13	In the absence of any specific mention, a cow is to be given everywhere.
