1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
12.11.10	Some say, "One should offer to the one who is embraced by the garment, the arms, and the chest." The truth is that which is offered to the one who has been struck by the Devamasha. "He is struck by the Devamasha. Phaḍ!"
12.11.11	The two Soma-cups called Ādābhya and Jāgṛvī are the two Soma-cups which are poured down in the pouring down of the Upāṁśu-cups. Two by two the cups are poured down in Maha-Abhiṣava.
12.12.1	The two cups called Ādābhyā and Upāṁśupāvan are poured down. All the Adhvaryus pour down the Maha-Abhiṣav in the directions.
12.12.2	The Adhvaryu is in front, the Pratiprasthātṛ to the right, the Nestr to the rear, the Unnetr to the left, the Adhvaryu to the rear, and the Nestr to front, so say some.
12.12.3	Having placed the king on the Uparaja vessel and having poured the Anśus into the Hotr vessel, they sprinkle silently with the other Gravas, except the Upāṃśusavana.
12.12.4	Thus having sprinkled the second and third time, they sprinkle.
12.12.5	The Adhvaryu sprinkles the Soma that has been sprinkled with a handful.
12.12.6	The Unnetr, having taken it out with the Antareša ladle, pours it into the Ādhavanīya on the north.
12.12.7	This is indeed the path of the Soma and water.
12.12.8	This is the first round.
12.12.9	Thus the second and third rounds are also prescribed.
12.12.10	The Triparaya.
12.12.11	Having collected the king, having placed the stones on the ground, having turned them towards the east, having pressed the barley, they pour it into the mouths of the animals, and give them grass, it is known.
12.12.12	The Udgātṛs, having placed the Dronakalaśa, spread the Udicīnadasa Pavitra on it.
12.12.13	"O Brahmanaspati, thy purifying (cup) is spread out. Thou, the Lord, searchest through all thy limbs. The one whose body is not heated does not attain it. The heated ones, flowing, hope for it." The sacrificer recites this verse over the spread out (cup).
12.13.1	Having made the navel of the purifying (cup), the sacrificer causes the stream to flow into it with the Hotr's cup.
12.13.2	The Hotṛ-cup is brought from the Udumbara-cup.
12.13.3	It is understood that the stream of Soma should flow continuously, as it is desired that the Soma should be abundant.
12.13.4	One should cut off the stream for the one whom he hates.
12.13.5	He takes the Antaryāma cup at the end of the stream and all the cups from Dhruva.
12.13.6	The two Brahmanas, Upamsu and Antaryama, are the same, except that the latter is accompanied by the Abhicharaṇa.
12.13.7	The Upāmaṅgṛhīta is taken thus: "I take thee, O Antaryama, for the Hotr." Having taken it, he passes beyond the Hotr on the north, and stands on the north of the Hotr, and having gone round the northern end of the altar, offers in the northern half.
12.13.8	Some prescribe the opposite directions.
12.13.9-10	Having poured the entire contents of the Āgrayana vessel into the receptacle, he places the vessel, not empty, in the receptacle, with the formula, "This is thy place; for the downward movement." With the formula, "For the upward movement," he touches the Upāṁśusavana with the two vessels, facing south, without touching the stone.
12.13.11	If the sun has not risen, one should offer the Upāṁshu offering; if it has risen, the Antaryāma offering.
12.13.12	If one is in a hurry, one should offer Upāṁshu if the sun has not yet risen, and Antaryāma if it has risen.
12.13.13	Some say: Both should be offered when the sun has not arisen.
12.14.1	If the Soma-sacrifice is to be performed with the Rathantara-sāman, one should take up the Indra-Vayu-cup first; if with the Brihat-sāman the Sukra-cup first; and if with the Jagat-sāman then the Aghamarana-cup first.
12.14.2	If it is to be performed according to both the Sāmans, then as one pleases.
12.14.3	One should take up the cup of Indra-Vayu first.
12.14.4	One who desires that his progeny may be in the same order as before should take the cups beginning with Indra-Vayu. The cups are taken in the order of one's desire.
12.14.5	Those which were mentioned before the Aggrayaṇa are taken.
12.14.6	If one takes the cup of Indra-Vayu before the one desired, one should not place it.
12.14.7	The placing of the Indra-Vayu cup is done after the placing of the desired cup.
12.14.8	One takes the Indra-Vāyu cup.
12.14.9	"O Vayu, do thou be adorned with pure gifts." Having recited this, he takes up the Soma with the formula, "Thou art taken up with a view to being offered to Vayu." Having taken it up, he recites, "These are pressed for Indra and Vayu." Having recited this he takes up the soma with the formula, “Thou art taken up for being offered to Indra and Vayu.” Having taken it up and having wiped it with the Pavitras, he places it with the formula, "This is thy birth-place; for Indra and Vāyu who are in unison with thee."
12.14.10	Having wiped all the planets with the tenfold purity, he places them in their respective places, saying, "This is your birthplace."
12.14.11	Or, for this purpose, a second purity may be used in ten ways.
12.14.12	This is for you, O Mitra-Varuna. Having taken the Mitra-Varuna cup, we, with the desire to drink, shall drink with the Soma juice, the cows with the grass. That milch cow, O Mitra- Varuna, you two, the protectors of all, give us, not trembling. Having sprinkled with the milk of the Śṛtaśīta (cow), he places it with the verse, "This is your place, for the truthful ones."
12.14.13	This is Venas's (the son of Manu) invocation. Taking the semen, he places it with the words, "This is your womb, protect the heroism."
12.14.14	"For your enemy" is for the one who is hated.
12.14.15	Taking the pressing stone, he says, "Do ye press that which is to be pressed." The mind of those who offer at the invocations, the pressing stones, running with the help of Śacī, the strong one, the one who is to be praised, has brought the ladle to the place. With the cakes he presses himself and the other Grahas, not being destroyed.
12.14.16	"This is your birthplace. Protect the creatures." He places it.
12.15.1	"For your enemy, for your hatred."
12.15.2	If he should wish, "I would make him who is in the village to be outside the village, and him who is outside the village to be in the village," then he should say, "I am making so-and-so, the son of so-and- so, the member of so-and so, to be in the sky." Having made the offering, he should say, "I am placing so-and-son, the son ofso-and-so. the member of so and so, on the earth." He should place the churning stick on it.
12.15.3	The gods who are in heaven, he takes up the Aggrayaṇa vessel with two streams, either from above or from the front, with the Upāṁśu formula.
12.15.4	The Soma which is in the Aggrayaṇā vessel, he takes it into another vessel and makes that the second stream.
12.15.5-6	The verse of thirty-three syllables is to be recited by one who is afflicted or by one who is practising against an enemy. "He who knows the afflicted, the dog, the great path of the mountain, the ancient, the place of union, he leads the foremost of the unerring ones, the shining, the first, the knowing, the going, the sound, the first." This is to be recited against an enemy.
12.15.7	Having taken the Āgrayaṇa, he releases speech after thrice reciting the formula.
12.15.8	Soma is flowing, Soma is flowing, flowing for the good, flowing for Brahmic glory, flowing for this Brahman, flowing for this Kshatra, flowing for this clan, flowing for the waters, flowing for the plants, flowing for the trees, flowing for heaven and earth, flowing for the pressing, flowing for the sacrificer, flowing for me, the eldest, flow for me as you flow for the gods. He recites three times slowly, loudly, and very loudly.
12.15.9	Having placed it with the formula, "This is thy womb for all the gods," he takes three Agniṣṭoma-grahyas - the one pertaining to Agni, the one pertaining to Indra and the one pertaining to Surya.
12.15.10	"O Agni, rising up, O healer, thou art the saviour." These are the formulas for taking and placing.
12.15.11	He takes up the Sthālīya cup with the formula, "Thou art taken with a support; for Indra thee, for the bountiful, for the giver." The taking up and placing are done with these formulas.
12.16.1	"The head of heaven, the desire of earth," with this formula he takes up the Dhruva cup full from the Sthālū.
12.16.2	He should take a small portion of the fire from the fire-pit of one whom he desires to be short-lived. He should take half of the fire from one whom he desires that he may live longer.
12.16.3	"He should place it in the receptacle of gold with the formula, "This is thy place; for thee, O Agni, for Vaisvānara." He should place it for one who desires life.
12.16.4	The prince protects it from being taken away.
12.16.5	If he wishes to make one who is not yet known to be known, or one who is known to be unknown, he should say, "I am driving out so-and-so, the son of so-and- so, from the clan of so-and so." He should drive him out from the firm ground. Then he should say, “I am placing so-and-son, the son ofso-and-so in the clan of so and so.” He should place him there again.
12.16.6	If one were to do so, one would disturb the life of the people. One should move it upwards with this mantra.
12.16.7	If one were to perform a curse, one should say, "I am diverting the life of so-and-so, the son of so-and so." One should divert the life of the one who is firm.
12.16.8	One should say, "You are firm, you are firm on the earth. I am diverting this one from his place." One should divert it.
12.16.9	Here the flow ceases.
12.16.10	Having pressed the sacred thread, he places it.
