1.1.1	We shall explain the (Vedic) sacrifice.
10.1.12	Or, at the proceeding day, as is handed down.
10.1.13	The agnīdhra sitting down behind his own dhiṣṇya (utters the summons): "A soma-feast for you both tomorrow, O Indra and Agni; that I announce to you, to all the Gods, to the soma-deserving soma-drinking brāhmaṇas. Brahman, restrain thy voice".
10.1.14-17	This manner of proceeding is constant up to the last day (equally) the closing with the patnīsaṃyājas, the not-pronouncing of the wishes and the mentioning of the names (of the sacrificer).
10.1.18	At the proceeding and the concluding days the (triṣṭich) addressed to Sarasvatī (is adhibited in the praüga-śastra).
10.1.19	Or the two (hymns) seen by Madhucchandas.
10.1.20	At combinations of somafeast days from two days on, the maitrāvaruṇa should recite the morning-litany, when the hotṛ recites the āśvina-śastra.
10.2.1	The first day of the ten-day-period is a nine-versed agni-stoma with the rathantara as (first) pṛṣṭhastotra.
10.2.2	The hymn for the ājya-śastra is, at a (twelve-day-period) with transposed metres, the one beginning: "Entering upon the worship", at a (twelve-day-period) with settled metres, the hymn beginning: "To the God Agui chant loudly".
10.2.3	The (hymn for the) praüga-śastra is that of Madhucchandas.
10.2.4	The (hymn for the) marutvatīya-śastra is: "May Indra come to help us".
10.2.5	The (hymn for the) niṣkevalya-śastra is: "Hither to us Indra from afar".
10.2.6	Of the extra-draught he paṛtakes with the (formulas): "O lustrous Agni, lustrous art thou among the Gods. May I be lustrous among men".
10.2.7	The difference (from the prakṛti) in the vaiśvadeva-śastra is that the hymns are here the ones beginning: "They yoke their mind" (savitra sūkta); "Here, have in mind" (ārbhava sūkta); "Like a skilled steed" (vaiśvadeva sūkta). He may omit the last two verses (of the last hymn).
10.2.8	Everywhere (at all the days of the ten-day-period) the concluding verse of the vaiśvadeva-śastra is the 'five-folks-verse'.
10.2.9	(The difference from the prakṛti) at the āgnimāruta-śastra (is that the hymn to the Maruts is here the one beginning) "Forward to the horde of the Maruts".
10.2.10-11	Seven days of the following are ukthyas, the fourth day ends on a ṣoḍaśin.
10.3.1	The second day is fifteen-versed stoma, with the bṛhat as (first) pṛṣṭha-(stotra).
10.3.2-3	The (hymn beginning): "Agni we choose as our messenger" is (the hymn for) the ājya-śastra at a (twelve-day-rite) with transposed metres; the hymn beginning: "For thou a princely glory" at a sacrifice with settled metres, every where without the last (verse).
10.3.4	The praüga-śastra is that of Gṛtsamada.
10.3.5	The triplets for the praüga-śastra are: (to Vāyu) the two (verses): "O Vāyu, which thousandfold chariots thou possessest", and the one: "The sharp soma-draughts are pressed, come hither". (For Indra-Vāyu): "Drink now of the clear milk-mixed Soma" and the two: "Both the sky-touching Gods". (To Mitra and Varuṇa, to the Aśvins, to Indra and to the All-Gods) the four triplets beginning: "This Soma, O Mitra and Varuṇa". (To Sarasvatī) "And this terrible Sarasvatī".
10.3.6	For the marutvatīya-śastra the beginning triplet and the antistrophe triplet are: "Lord of all men" and "Indra is the soma-drinker alone".
10.3.7	The pragātha addressed to Brāhmaṇaspati is: "Arise, O Brāhmaṇaspati".
10.3.8	The (hymn for the) marutvatīya-śastra is: "O Indra, lord of the Soma, drink this Soma".
10.3.9	The (hymn for the) niṣkevalya-(śastra) is: "Thy help".
10.3.10	He paṛtakes of the extra-draught with the formula: "O mighty Indra, mighty art thou among the Gods. May I be mighty amongst men".
10.3.11-12	The beginning-triplet of the vaiśvadeva-śastra is: "Every one of the God that leadeth" and its two last verses are: "For of this Savitṛ the glorious".
10.3.13	The antistrophe-triplet is: "We choose the lord of the good, who belongs to all Gods".
10.3.14	The points of difference (are that the hymn to Savitṛ here is): "That desirable greatness of Savitṛ"; (the hymn to Heaven and Earth): "For they two, Heaven and Earth"; (and the hymn to the All Gods): "The charioteer of the sacrifice".
10.3.15	(The points of difference) in the āgnimāruta-śastra (are that the hymn addressed to Vaiśvanara here is): "Of the swift, strong one"; (the hymn addressed to the Maruts): "To the strong host"; (and the hymn addressed to Jata vedas): "The immoṛtal born of strength".
10.4.1	The third day is of seventeen-versed stoma with the vairūpa (saman) as first pṛṣṭha-(stotra).
10.4.2-3	The (hymn of the) ājya-śastra is: "Yoke thy horses called by the Gods" in a (twelve-day-rite) with transposed metres; "Worship thou, O Agni, the Vasus" in a (rite with) settled metres, everywhere without the last verse.
10.4.4	The praüga-śastra is that of Atri, in uṣṇih verses.
10.4.5	The triplets for the praüga-śastra are: (to Vāyu) the single verse: "O Vāyu come to the feast" and the two: "Come, O beneficent Vāyu". (To Indra-Vāyu): the two "O Indra and Vāyu, of these soma-draughts" and the single (verse): "This Soma has been pressed for Vāyu and Indra". (To Mitra and Varuṇa): "We sacrifice to Mitra and Varuṇa". (To the Aśvins): "Come ye thither, O Aśvins". (To Indra): "Come to the Soma pressed with the stones". (To the All-Gods): "In unison with the All-Gods". (To Sarasvatī): "Dear to us among the dear".
10.4.6	For the marutvatīya-śastra the opening-triplet and the antistrophe-triplet are: "Him forsooth" and "May three soma-draughts for Indra".
10.4.7	The pragātha addressed to Brāhmaṇaspati is: "May Brāhmaṇaspati go forward".
10.4.8	The hymn for the marutvatīya-śastra is: "Having three friendships".
10.4.9	The pragāthas which form the stotra-verses and the antistrophe of the vairūpa chant are: "If thou hadst, O Indra, a hundred heavens" and: "When I, O Indra, over as may as thou".
10.4.10	The samapragātha is: "O Indra, threefold".
10.4.11	The (hymns for the niṣkevalya-śastra are): "I have become"; and "He who is born the first".
10.4.12	He paṛtakes of the extra-soma-draught with (the formula): "O glittering sun, thou art glittering among the Gods. May I be glittering among men".
10.4.13-14	The differences (from the prakṛti) in the vaiśvadeva-śastra (are that here) the antistrophe-triplet is: "Towards thee, O God Savitṛ"; the two triplets (for Savitṛ) are "Up that God with the golden"; (for Heaven and Earth): "Rich in butter, encompassing the worlds"; (for the Ṛbhus): "Born without steeds"; (for the All-Gods): "From afar".
10.4.15	The differences in the agnimiruta-śastra are (that here the hymn addressed to Agni Vaiśvānara is): "To Vaiśvānara who increases by the holy order"; (the hymn to the Maruts): "Rich in showers"; (the hymn to Jātavedas): "O Agni, the first Aṅgiras the seer".
10.5.1	The fourth day is of twenty one-versed stoma and with the vairāja saman as first pṛṣṭha-(stotra).
10.5.2	The (hymn for the) ājya-śastra is at a sacrifice with transposed metres: "We choose by our beautiful verses Agni as our hotṛ"; at a (sacrifice) with settled metres: "Agni, the man".
10.5.3	The praüga-(śastra) is in anuṣṭubh metre.
10.5.4	The triplets of the praüga śastra are the single (verse) "O Vāyu, the bright Soma has been offered to thee"; and the two "Enjoy the not yet enjoyed offerings" (for Vāyu); "O Indra and Vāyu, of these soma-draughts" (for Indra and Vāyu); "He who knows" (for Mitra and Varuṇa); "Come ye to us, O Aśvins, with all kinds of help" (for the Aśvins); "Thee the songs, O Indra" (for Indra); the single verse "Away that wicked foe" and the two "For ye are" (for the All-Gods); "She gave" (for Sarasvatī).
10.5.5	In (sacrifice) with settled metres (the triplet addressed to Sarasvatī is): "May the Goddess Sarasvatī aid us".
10.5.6	The introductory (triplet) for the marutvatīya-śastra is: "Thee we with sacrifice invoke".
10.5.7	The antistrophe-triplets and the brāhmaṇaspatya pragāthas of the first set of three days are also affixed (successively) at the second set of three days.
10.5.8	The marutvatīya-śastra (consists of the hymn): "Hear our call, O Indra"; of the triplet: "O Indra with the Maruts, here drink the Soma"; and of the triplet: "Here I invoke the crafty Indra".
10.5.9	The (six verses beginning): "Drink, O Indra the Soma, let it gladden thee" are the stotra-triplet and the antistrophe-triplet for the vairāja saman; the nyūṅkha is applied.
10.5.10	The nyūṅkha as connected with the anuṣṭubh (must be applied) at the second and seventh syllables of the middle verse-quarter twice the first (time), twice the last time.
10.5.11	(The anuṣṭubh-nyūṅkha is for instance): yam to3o3 susava haryo3o3 svādriḥ.
10.5.12	The nyūṅkha as connected with the vairāja consists therein that at the second syllable (of the middle verse-quarter) it must be applied twelve times: each time a long between three short ones.
10.5.13	(For instance): yam to ooo3, oooo3, oooo3, susava hāryaśvā-drih (twelve times o).
10.5.14	At the second and fourth syllables of the responsive call of the adhvaryu (the pratigara) a corresponding nyūṅkha connected with the anuṣṭubh (must be applied).
10.5.15	At the second syllable (only) the corresponding nyūṅkha connected with the vairāja is applied.
10.5.16	(An example of the first is): otho3 o3 modo3 o3 eveti.
