1.1.1	Now we shall explain the sacraments beginning with conception.
3.3.2	Then having strewn (the fire-place), he should offer the principal oblations five times, ending with the Varuna oblation, with the formula, "May Agni come here; may Agni protect me; may not heaven be without progeny in thy house; may it be accomplished by the gods."
3.5.6	When the constellation has risen, having approached the eastern or northern direction, saying, "May we not be deprived of progeny," and having seen the seven sages, the constellation Krittika, Arundhati, and the Pole Star, one should stand there and speak pleasantly with her.
3.5.7	Now the Agniya Sthalipaka offering.
3.3.3	Having placed the stone on the Darbha grass spread out for Agni, she touches it with the big toe of her right foot. The groom faces the opposite direction. The Sarāsvati mantra is used for the release. The Aghorechaksus mantra is used for taking the seat. Having sprinkled these grains, she offers them to the woman with a handful of grains.
3.3.4	She gets up with the words "For life."
3.3.5	Looking towards the west, looking at the face of the bride, Sarasvati, the taking of the hand, the eye of Aghore, the discharge, these grains, the filling of the grains, this woman, the offering, the salutation to Agni, some say.
3.5.8	Having touched the pot with the formula, "Thou art the pot of progeny," he pours the rice into the pot with the verse, "I pour down what is dear to Agni." Having poured down the rice into the vessel, he cooks the oblation for Vācaspati with the verse, “O Soma, do thou flow for Vācaspatis."
3.5.9	Having sprinkled and taken out towards the north, having strewn around, having placed the fire near, one should offer to Sviṣṭakṛt with the verse, "O Agni, do thou carry the oblation."
3.5.10	Having satisfied the Brāhmaṇa with the remaining portion of the oblation, and having given him a bull, one becomes free from debt. This is understood.
3.6.1	From now on, one should offer sacrifice on the Parvan days with a pot-cooked meal.
3.4.1	Having circumambulated the fire with the verse, "May all be yours," and having sat down with the verse, “May we cross over the enemies,” one should offer the sacrificial oblation of grains in this way three times.
3.4.2	Then, at the end of the root oblations, having offered the fire oblation ending with "the slayer of the husband," the wind ending with "the censured," the sun ending with "the terrible," the Gandharva ending with "the destroyer of fame," the moon ending with "the killer of the son," and the Vyāhṛtis.
3.4.3	Having performed the Praśāvāṇi rites with the four verses ending with "Praśāvāṇī", and having again spread the grass, one should offer the Svishtakṛt oblations and the oblations of the seven Rddhi-kindled verses, which are interrupted.
3.6.2	He should offer oblations to Surya and Prajapati with barley or rice in his hand, saying, "Svāhā to Agni" and "Svāhā" to Prajapati. He should offer oblation to Surya and Prajāpati in the morning and to Agni and Prajāpati at evening.
3.6.3	If the fire is transferred or followed by another fire, the wife should perform the Kṛcchra penance.
3.6.4	Having demolished the house of a learned Brāhmaṇa, one should take the fire and again establish the domestic fire.
3.4.4	Having spread the grass of Agni on the ground with the tip towards the north, he should step on one with the right foot, saying, "To Isha, to Vishnu" twice, "To Urja" thrice, "To Vrata" four times, "To the cattle" five times, "To prosperity" six times, "To Sapta" seven times. Having stepped on them in order, he should go and return, saying, "O friend!"
3.4.5	"This is my heart." He touches her heart.
3.4.6	Having sprinkled with consecratory formulas, and having recited the auspicious benediction, the bride and the groom should be praised with the following verses: "May Arundhati, Indra, Aditi, and Sri protect you. May the Manu, Prajapati, Purushottama, and Mahendra protect you." The four Stotras should be recited.
3.4.7	Thus is the taking of the hand.
3.4.8	Some say that it ends with the sight of the stars.
3.4.9	From this it is understood that the householder should continue to perform his duties.
3.5.1	Now the fourth day.
3.5.2	Having brought the fire used in the marriage ceremony, the bridegroom and the bride enter the house together, saying, "We enter together." The bridegroom instructs the bride to place her right foot first over the threshold, saying, "Do not step on the threshold." Having entered the house, he should place the fire in the eastern half.
3.5.3	On the skin of a black antelope or on a red hide of a cow, he spreads the skin of a cow, with the hair pointing towards the north, with its neck towards the east.
3.5.4	There he makes the bride sit facing the east or the north, and the bridegroom sits behind her, saying, "O cows, beget offspring."
3.5.5	They should be silent till they see the light.
3.5.6	When the constellation has risen, having approached the eastern or northern direction, saying, "May we not be deprived of progeny," and having seen the seven sages, the constellation Krittika, Arundhati, and the Pole Star, one should stand there and speak pleasantly with her.
3.5.7	Now the Agniya Sthalipaka offering.
3.5.8	Having touched the pot with the formula, "Thou art the pot of progeny," he pours the rice into the pot with the verse, "I pour down what is dear to Agni." Having poured down the rice into the vessel, he cooks the oblation for Vācaspati with the verse, “O Soma, do thou flow for Vācaspatis."
3.5.9	Having sprinkled and taken out towards the north, having strewn around, having placed the fire near, one should offer to Sviṣṭakṛt with the verse, "O Agni, do thou carry the oblation."
3.5.10	Having satisfied the Brāhmaṇa with the remaining portion of the oblation, and having given him a bull, one becomes free from debt. This is understood.
3.6.1	From now on, one should offer sacrifice on the Parvan days with a pot-cooked meal.
3.7.2	Having drawn the Maṇḍala, having sprinkled it, having worshipped it, having offered oblations, having offered the oblations, having worshipped the fire, having worshipped the Soma, having worshipped the Viṣṇu, having worshipped the Agni, having worshipped the Vāyu, having worshipped the Yama, having worshipped the Nirṛti, having worshipped the Varuna, having worshipped the Kubera, having worshipped the Indra, having worshipped the Iśāna, having worshipped the Brahmā, having worshipped the Prajāpati, having worshipped the Dhātā, having worshipped Viṣṇu in the middle of the north and south, having worshipped the Sun, having worshipped the Moon, having worshipped the Fire, having worshipped the Wind, having worshipped the Sky, having worshipped the Earth, having worshipped the Heaven, having worshipped the Water, having worshipped the Plants, having worshipped the Herbs, having worshipped the Trees, having worshipped the Mountains, having worshipped the Rivers, having worshipped the Oceans, having worshipped the Stars, having worshipped the Planets, having worshipped the Constellations, having worshipped the Sacrifices, having worshipped the Sages, having worshipped the Devas, having worshipped the Gandharvas, having worshipped all the Devas, Translation: Having drawn the Ma Mandala, having sprinkled it and worshipped it, having made oblations, having made oblation, having worshipped the sacrificial fire, having worshipped Soma, having worshipped Vișnu, having worshipped Agni, having worshipped Vayu, having worshipped Yama, having worshipped Nirriti, having worshipped Varuna, having worsipped Kubera, having worsippped Indra, having worshipped Isana, having worshipped Brahma, having worshipped Prajapati, having worshipped Dhata, having worshipped Vishnu in the middle of north and south, and having worshipped the Sun and Moon, having worshipped Agni and Vayu, having worsippet the sky and earth, having worshipped heaven and water, having worshipped plants and herbs, having worshipped trees and mountains, having worshipped rivers and oceans, having worshipped stars and planets, having worshipped constellations and sacrifices, having worshipped sages and Devas, having worsippes Gandharvas and all Devas,
