1.1.1	Now we shall declare the method.
10.2.12	Placing a grass on the yoke-holder on the right and the yoke-holder's grass on the left, one binds it together, saying, "May it be auspicious." Holding gold on the forehead, one mutters, "This is mine."
10.2.13	One sprinkles the yoke-holder with water.
9.5.17	The two best sacrifices, the Vaishvadeva and the Shuchi, which are not eaten by others, are to be performed daily by one who knows the supreme sacrifice. One who is not a Vedic scholar, whose hands are not washed, who does not know the mantras, or who is not learned should not offer oblations.
9.5.18	The gods are disgusted with impurity. They do not accept the oblations of one who lacks faith. One should offer with a Brahmin who knows Brahman. The oblations offered by women, Shudras, and those who go to heaven should not be accepted.
10.2.14	Having taken it, he places it from limb to limb to the north of the fire, saying, "From limb to limb."
10.2.15	"May it be auspicious," he says, placing a stone on a lump of dung.
10.2.16	Having made her stand on it, he says, "This is a woman."
10.2.17	She stands on the Dhruva (stone) and makes her husband enter the Pūlī (stone).
10.2.18	She cuts three times without cutting, the fourth time for desire.
10.2.19	"By which Agni," he makes her grasp the hand.
9.5.19	But those who know the Ajyabhāgas, the Yajñas, the Mantras, the sequence of the Mantras, and the knowledge of the deities, and the blessings, and the Karma, and the prohibition of women, they say that the offering of oblations is done.
9.6.1	The offering of oblations to them is done.
9.6.2	Having offered to Agni, Indra-Agni, Vastosapati, Prajapati, and Anumati.
10.2.20	"To Aryaman" - he makes Agni go around three times.
10.2.21	"Seven boundaries" - he draws seven lines towards the north of the fire, going eastwards.
10.2.22	He steps on those lines.
10.2.23	"For prosperity, for good fortune, for offspring, for good fortune" - he says this first.
9.6.3	Having gone out, he should offer oblations many times to Brahma, Kubera, the Vishvadevas, all the gods, the Vishvas, and all the beings, saying, "To Brahma, to Kubera, to the Vishvadevas."
9.6.4	Having sprinkled twice and circumambulating, he should enter inside, passing through the door.
9.6.5	At the two doors, to Death, to Dharma and Adharma.
10.2.24-26	For prosperity thee! For prosperity of wealth thee! For good fortune thee! For sovereignty thee! For prosperity thee! For life thee! For good omen thee! For progeny thee! For good luck thee! The seventh step is the friend. "He makes her ascend the bed, saying, "The auspicious one has fashioned the bed." When she is seated, a friend washes her feet.
9.6.6	To Udáyana, to Dhanvantari, to the ocean, to the medicinal plants and trees, to heaven and earth.
9.6.7	To the pillars and beams, to the directions and intermediate directions.
9.6.8	To the corners, to Vasuki, to Chitrasena, to Chitraratha, to Taksha and Upa-Taksha.
9.6.9	To all sides, to Agni, to the desire, to faith, to intelligence, to prosperity, to fame, to knowledge.
10.2.27	While being washed, he recites the verse, "May these feet be auspicious, well-adorned, may they bring us good fortune. Being washed, may they bring good fortune, good wife, offspring, cattle, and long life."
10.2.28	"I am loosening, I am releasing you" says while loosening the yoke.
10.2.29	The servants bind him on the other side.
9.6.10	"The ancient house of Agni, to the divine guests."
9.6.11	Having again taken it up, he should feed the Brahmanas.
9.6.12	This also is said in a verse: "One should not eat before the Brahmanas, food like poison. The Brahmana is the god of the gods, the desire for food. This is the nature of the god."
10.2.30-33	Those who conquer think that they are the stronger. "He sprinkles the entire fragrant powder with the verse, "Brihaspati...", and with the leaves of the kampeela tree. "He makes them rise up one by one with the verse, "Rise up, Bhaga...", and establishes them with the verse, "Stand firm...")
9.6.13	Having performed the Śānti-water rite at Āgrayana, having placed the rice according to the season,
9.6.14	having cooked the rice in water or in milk.
10.3.1	He makes him ascend the vehicle, saying, "This is the golden-strewn bed of Sukīṃśuka."
10.3.2	"This is the path of Brahma, the supreme," saying this, Brahma goes ahead.
10.3.3	"May they not know the path of the wicked," this has been said.
10.3.4	"This is what the ancients did," saying this, he stands at the crossroads with the right side facing the direction of the wife who has been married to another.
9.6.15	With the seasons, with the ordinances, with Agni, svāhā! With Indra and Agni, with Heaven and Earth, with all the gods, with the seasons, with ordinances, with Soma, svāhā. Either one oblation or separate oblations.
9.6.16	The Soma-offering of Shyamaka barley in autumn.
10.3.5	If he wishes for both, he recites this verse to Surya and the gods:
10.3.6	"They meet together on their own path, not deviating, both desiring good fortune, both Virājas, both Suparṇas." Having crossed, he goes beyond the Brahman.
10.3.7	"He who, even without, is praised," having sprinkled the vehicle, he makes it go.
9.6.17	Then the sacrificer takes up the Prastara.
9.6.18	"I take up thee, O Prajapati, for my prosperity, for my nourishment, for my glory, for my fame, for my renown, for my life, for my food, for my food-supply, for the nourishment of a thousand, for the nourishment beyond measure."
9.6.19	Then he eats, saying, "May the gods have chosen for us what is good and auspicious. By your grace we have attained you. O father, you have entered us with sweetness. Come to us, auspicious for our offspring and body."
10.3.8	She recites "Sa mandasane" at the sacred place.
10.3.9	He recites "Idam su me" at the great trees.
10.3.10	He recitates "Sumangaliri" towards the bride.
10.3.11	"Ya oṣadhaya" is recited at the places mentioned in the mantra.
10.3.12	"Ye pitara" is recited at cremation grounds.
10.3.13	"Pra budhyasva" is used to awaken a sleeping person.
10.3.14	"Sam-kāśayāmi" is recited while entering the house.
9.6.20	He makes the child eat with the verse, "Thou art the life, the truth I speak. Thou art the all-pervading, thou hast entered all. Remove from my body old age and disease. Be thou free from disease. May we not be afflicted by thee, O Indra."
9.6.21	The calf is the firstborn, the garment is the gift in autumn.
9.6.22	One should give the gift according to one's capacity.
10.3.15	Having sprinkled the vehicle with the verse, "May the wave rise up," he releases it.
10.3.16	The wife sprinkles the house with the verse, "Rise up."
10.3.17	With the verse, "May it be auspicious," she places a stone on a heap of cow dung to the right of the grass.
10.3.18	On top of that, four tips of Dūrvā grass are placed on clarified butter.
10.3.19	Having placed it there,
9.6.23	The limit of the power is not prescribed. The limit of the strength is not prescribed.
10.1.1	Now the marriage.
10.1.2	After the full moon of Kārttika, before the full moon of Vaiśākha.
10.1.3	Or as one wishes.
10.1.4	One should avoid the dark fortnight.
10.1.5	It is known that cows are killed in Maghā and are released in Phālguni, and it is auspicious.
10.1.6	One should place the earth with the truth, "The east and the west are raised by truth."
10.3.20	"May the auspicious one, the one who crosses over, not harm you, except Brahma." He recites each verse separately.
10.3.21	He offers it with a friendly full pot.
10.3.22	He turns the fire three times, saying, "The eye is not fierce."
10.3.23	When he offers the Garhapatya fire to Surya and the gods, he recites the mantra as instructed.
10.1.7	and the knowledge of the husband.
10.1.8	"He sends Sambhala with his followers, saying, "You are the lord."
10.1.9	"He says, "Brahmanaspati," to Brahman."
10.1.10	"He says to the girl-keeper, "You have kindled the fire from the girl's house, fearing that it would be extinguished."
10.1.11	"He sprinkles the ashes with five verses, saying, "The gods are in front."
10.1.12	"He sends the girl-keeper away, saying, "Do not be afraid."
10.4.1	"He takes the red hide, saying, 'Protection, armour.'
10.4.2	He strews the hide, saying, '(May) the strewing be auspicious.'
10.4.3	He places the Balbaja (grass), saying, 'The Balbaja.'
10.4.4	He strew it, saying, 'May it be auspicious.'
10.4.5	'May he ascend it,' he says, as he makes him ascend.
10.4.6	'Having sat down there,' he says, when he makes him sit down.
10.4.7	He makes the seat to be on the right and left side.
10.4.8	He makes the Brāhmaṇa named Sujyaiṣṭhya sit on the seat.
10.4.9	"Standing up, he says, "Let them stand up," and makes the young man get up."
10.1.13	The Brahman is in front and behind the army.
10.1.14	He who is without a fire, having pierced the water,
10.1.15	"This is mine."
10.1.16	"He who is auspicious," having recited the Anvipa,
10.1.17	"The Brahmanas are yours." He gives.
10.1.18	The Brahman is in front, the archer is behind.
10.4.10	The deity Agni, the giver of offspring, gave me this wife. Soma, the giver of wealth, gave me this. Pūṣan, the giver of kinsmen, gave me this; Indra, the stronger, gave me this.
10.1.19	Outside, on the northern side of the Udumbara tree, he places the branch of Agni.
10.1.20	With that they perform the rites for water.
10.1.21	Then sprinkling with another.
