#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
10.1.12	anṛkṣarā iti kumārīpālaṃ prahiṇoti
10.1.13	udāhārasya pratihiteṣur agrato jaghanato brahmā
10.1.14	yo anidhma ity apsu logaṃ pravidhyati
10.1.15	idam aham ity apohya
10.1.16	yo bhadra ity anvīpam udacya
10.1.17	āsyai brāhmaṇā iti prayacchati
10.1.18	āvrajatām agrato brahmā jaghanato 'dhijyadhanvā
10.1.19	bāhyataḥ plakṣodumbarasyottarato 'gneḥ śākhāyām āsajati
10.1.20	tenodakārthān kurvanti
10.1.21	tataś cānvāsecanam anyena
10.1.22	antarupātītyeti juhoti
10.1.23	pra tvā muñcāmīti veṣṭaṃ vicṛtati
10.1.24	uśatīr ity etayā trir ādhāpayati
10.1.25	saptabhir uṣṇāḥ saṃpātavatīḥ karoti
10.1.26	yad āsandyām iti pūrvayor uttarasyāṃ sraktyāṃ tiṣṭhantīm āplāvayati
10.1.27	yac ca varco yathā sindhur ity utkrāntām anyenāvasiñcati
10.2.1	yad duṣkṛtam iti vāsasāṅgāni pramṛjya kumārīpālāya prayacchati
10.2.2	tumbaradaṇḍena pratipādya nirvrajet
10.2.3	tad vana āsajati
10.2.4	yā akṛntaṃs tvaṣṭā vāsa ity ahatenācchādayati
10.2.5	kṛtrima iti śatadataiṣīkeṇa kaṅkatena sakṛt pralikhya
10.2.6	kṛtayāmam ity avasṛjati
10.2.7	saṃnahyati
10.2.8	iyaṃ vīrud iti madughamaṇiṃ lākṣāraktena sūtreṇa vigrathyānāmikāyāṃ badhnāti
10.2.9	antato ha maṇir bhavati bāhyo granthiḥ
10.2.10	bhagas tveta iti hastegṛhya nirṇayati
10.2.11	śākhāyāṃ yugam ādhāya dakṣiṇato 'nyo dhārayati
10.2.12	dakṣiṇasyāṃ yugadhuryuttarasmin yugatardmani darbheṇa vigrathya śaṃ ta iti lalāṭe hiraṇyaṃ saṃstabhya japati
10.2.13	tardma samayāvasiñcati
10.2.14	upagṛhyottarato 'gner aṅgād aṅgād iti ninayati
10.2.15	syonam iti śakṛtpiṇḍe 'śmānaṃ nidadhāti
10.2.16	tam ā tiṣṭhety āsthāpya
10.2.17	iyaṃ nārīti dhruvāṃ tiṣṭhantīṃ pūlyānyāvāpayati
10.2.18	trir avichindatīṃ caturthīṃ kāmāya
10.2.19	yenāgnir iti pāṇiṃ grāhayati
10.2.20	aryamṇa ity agniṃ triḥ pariṇayati
10.2.21	sapta maryādā ity uttarato 'gneḥ sapta lekhā likhati prācyaḥ
10.2.22	tāsu padānyutkrāmayati
10.2.23	iṣe tvā sumaṅgali prajāvati suśīma iti prathamam
10.2.24	ūrje tvā rāyaspoṣāya tvā saubhāgyāya tvā sāmrājyāya tvā saṃpade tvā jīvātave tvā sumaṅgali prajāvati suśīma iti saptamaṃ sakhā saptapadī bhaveti
10.2.25	ā roha talpaṃ bhagas tatakṣeti talpa upaveśayati
10.2.26	upaviṣṭāyāḥ suhṛtpādau prakṣālayati
10.2.27	prakṣālyamānāvanumantrayate / imau pādau subhagau suśevau saubhāgyāya kṛṇutāṃ no aghāya / prakṣālyamānau subhagau supatnyāḥ prajāṃ paśūn dīrgham āyuś ca dhattām iti
10.2.28	ahaṃ vi ṣyāmi pra tvā muñcāmīti yoktraṃ vicṛtati
10.2.29	aparasmin bhṛtyāḥ saṃrabhante
10.2.30	ye jayanti te balīyāṃsa eva manyante
10.2.31	bṛhaspatineti sarvasurabhicūrṇāny ṛcarcā kāmpīlapalāśena mūrdhnyāvapati
10.2.32	udyacchadhvaṃ bhagas tatakṣābhrātṛghnīm ity ekaikayotthāpayati
10.2.33	prati tiṣṭheti pratiṣṭhāpayati
10.3.1	sukiṃśukaṃ rukmaprastaraṇam iti yānam ārohayati
10.3.2	emaṃ panthāṃ brahmāparam ity agrato brahmā prapadyate
10.3.3	mā vidann anṛkṣarā adhvānam ity uktam
10.3.4	yedaṃ pūrveti tenānyasyām ūḍhāyāṃ vādhūyasya daśāṃ catuṣpathe dakṣiṇair abhitiṣṭhati
10.3.5	sa ced ubhayoḥ śubhakāmo bhavati sūryāyai devebhya ity etām ṛcaṃ japati
10.3.6	sam ṛcchata svapatho 'navayantaḥ suśīmakāmāv ubhe virājāv ubhe suprajasāv ity atikramayato 'ntarā brahmāṇam
10.3.7	ya ṛte cid abhiśriṣa iti yānaṃ samprokṣya viniṣkārayati
10.3.8	sā mandasāneti tīrthe logaṃ pravidhyati
10.3.9	idaṃ su ma iti mahāvṛkṣeṣu japati
10.3.10	sumaṅgalīr iti vadhvīkṣīḥ prati japati
10.3.11	yā oṣadhaya iti mantrokteṣu
10.3.12	ye pitara iti śmaśāneṣu
10.3.13	pra budhyasveti suptāṃ prabodhayet
10.3.14	saṃkāśayāmīti gṛhasaṃkāśe japati
10.3.15	ud va ūrmir iti yānaṃ samprokṣya vimocayati
10.3.16	uttiṣṭheta iti patnī śālāṃ samprokṣati
10.3.17	syonam iti dakṣiṇato valīkānāṃ śakṛtpiṇḍe 'śmānaṃ nidadhāti
10.3.18	tasyopari madhyamapalāśe sarpiṣi catvāri dūrvāgrāṇi
10.3.19	tam ā tiṣṭhety āsthāpya
10.3.20	sumaṅgalī prataraṇīha priyaṃ mā hiṃsiṣṭaṃ brahmāparam iti pratyṛcaṃ prapādayati
10.3.21	suhṛtpūrṇakaṃsena pratipādayati
10.3.22	aghoracakṣur ity agniṃ triḥ pariṇayati
10.3.23	yadā gārhapatyaṃ sūryāyai devebhya iti mantroktebhyo namaskurvatīm anumantrayate
10.4.1	śarma varmeti rohitacarmāharantam
10.4.2	carma copastṛṇīthanety upastṛṇantam
10.4.3	yaṃ balbajam iti balbajaṃ nyasyantam
10.4.4	upa stṛṇīhīty upastṛṇantam
10.4.5	tad ā rohatv ity ārohayati
10.4.6	tatropaviśyety upaveśayati
10.4.7	dakṣiṇottaram upasthaṃ kurute
10.4.8	sujyaiṣṭhya iti kalyāṇanāmānaṃ brāhmaṇāyanam upastha upaveśayati
10.4.9	vi tiṣṭhantām iti pramadanaṃ pramāyotthāpayati
10.4.10	tena bhūtena tubhyam agre śumbhanī agnir janavin mahyaṃ jāyām imām adāt somo vasuvin mahyaṃ jāyām imām adāt pūṣā jñātivin mahyaṃ jāyām imām adād indraḥ sahīyān mahyaṃ jāyām adād agnaye janavide svāhā somāya vasuvide svāhā pūṣṇe jñātivide svāhendrāya sahīyase svāheti
10.4.11	āgacchataḥ savitā prasavānām iti mūrdhnoḥ saṃpātān ānayati
10.4.12	udapātra uttarān
10.4.13	śumbhanyāñjalyor ninayati
10.4.14	tena bhūteneti samaśanam
10.4.15	rasān āśayati sthālīpākaṃ ca
10.4.16	yavānām ājyamiśrāṇāṃ pūrṇāñjaliṃ juhoti
10.5.1	sapta maryādā iti tisṛṇāṃ prātar āvapate
10.5.2	akṣyau nāv iti samāñjāte
10.5.3	mahīm u ṣv iti talpam ālambhayati
10.5.4	ā roha talpam ity ārohayati
10.5.5	tatropaviśyety upaveśayati
10.5.6	devā agra iti saṃveśayati
10.5.7	abhi tvety abhicchādayati
10.5.8	saṃ pitarāv iti samāveśayati
10.5.9	ihemāv iti triḥ saṃnudati
10.5.10	madughamaṇim aukṣe 'panīyeyaṃ vīrud amo 'ham iti saṃspṛśataḥ
10.5.11	brahma jajñānam ity aṅguṣṭhena vyacaskaroti
10.5.12	syonād yoner ity utthāpayati
10.5.13	paridhāpanīyābhyām ahatenācchādayati
10.5.14	bṛhaspatir iti śaṣpeṇābhighārya vrīhiyavābhyām abhinidhāya darbhapiñjūlyā sīmantaṃ vicṛtati
10.5.15	śaṇaśakalena pariveṣṭya tisro rātrīḥ prati suptāste
10.5.16	anuvākābhyām anvārabdhābhyām upadadhīta
10.5.17	ihed asāthety etayā śulkam apākṛtya
10.5.18	dvābhyāṃ nivartayatīha mama rādhyatām atra taveti
10.5.19	yathā vā manyante
10.5.20	parā dehīti vādhūyaṃ dadatam anumantrayate
10.5.21	devair dattam iti pratigṛhṇāti
10.5.22	apāsmat tama iti sthāṇāvāsajati
10.5.23	yāvatīḥ kṛtyā iti vrajet
10.5.24	yā me priyatameti vṛkṣaṃ praticchādayati
10.5.25	śumbhanyāplutya
10.5.26	ye antā ity ācchādayati
10.5.27	navaṃ vasāna ity āvrajati
10.5.28	pūrvāparaṃ yatra nādhigacched brahmāparam iti kuryāt
10.5.29	gaur dakṣiṇā pratīvāhaḥ
10.5.30	jīvaṃ rudanti yadīme keśina iti juhoti
10.5.31	eṣa sauryo vivāhaḥ
10.5.32	brahmāparam iti brāhmyaḥ
10.5.33	āvṛtaḥ prājāpatyāḥ prājāpatyāḥ
11.1.1	atha pitṛmedhaṃ vyākhyāsyāmaḥ
11.1.2	dahananidhānadeśe parivṛkṣāṇi nidhānakāla iti brāhmaṇoktam
11.1.3	durbalībhavantaṃ śālātṛṇeṣu darbhān āstīrya syonāsmai bhavety avarohayati
11.1.4	mantroktāvanumantrayate
11.1.5	yat te kṛṣṇa ity avadīpayati
11.1.6	āhitāgnau prete saṃbhārān saṃbharati
11.1.7	ājyaṃ ca pṛṣadājyaṃ cājaṃ ca gāṃ ca
11.1.8	vasanaṃ pañcamam
11.1.9	hiraṇyaṃ ṣaṣṭham
11.1.10	śarīraṃ nānvālabhate
11.1.11	anyaṃ ceṣṭantam anumantrayate
11.1.12	śāntyudakaṃ karoty asakalaṃ cātanānāṃ cānvāvapate
11.1.13	śāntyudakodakena keśaśmaśruromanakhāni saṃhārayanti
11.1.14	āplāvayanti
11.1.15	anulimpanti
11.1.16	srajo 'bhiharanti
11.1.17	evaṃ snātam alaṃkṛtam ahatenāvāgdaśena vasanena pracchādayaty etat te deva etat tvā vāsaḥ prathamaṃ nv āgann iti
11.1.18	apemam ity agniṣu juhoti
11.1.19	ukhāḥ kurvanti
11.1.20	tāḥ śakṛdābhyantaraṃ limpanti śuṣkeṇa vā pūrayanti
11.1.21	tāḥ pṛthag agnibhiḥ saṃtāpayanty ā śakṛdādīpanāt
11.1.22	teṣāṃ haraṇānupūrvam āhavanīyaṃ prathamaṃ tato dakṣiṇāgniṃ tato gārhapatyam
11.1.23	atha videśe pretasyā rohata janitrīṃ jātavedasa iti pṛthag araṇīṣvagnīn samāropayanti
11.1.24	teṣu yathoktaṃ karoti
11.1.25	api vānyavatsāyā vā saṃdhinīkṣīreṇaikaśalākena vā manthenāgnihotraṃ juhoty ā dahanāt
11.1.26	darśapūrṇamāsayoḥ kṛṣṇakataṇḍulānāṃ tasyā ājyena nāntaṃ na bahiḥ
11.1.27	palālāni barhiḥ
11.1.28	tilpiñjyā idhmāḥ
11.1.29	grahān ājyabhāgau purastāddhomasaṃsthitahomān uddhṛtya
11.1.30	prāṇāpānāv avaruddhyai nidhanābhir juhuyāt
11.1.31	athobhayor ut tiṣṭhety utthāpayati
11.1.32	pra cyavasveti triḥ saṃhāpayati yāvatkṛtvaś cotthāpayati
11.1.33	evam eva kūdīṃ jaghane nibadhya
11.1.34	imau yunajmīti gāvau yunakti puruṣau vā
11.1.35	ut tiṣṭha prehi pra cyavasvodanvatīta ete 'gnīṣomā idaṃ pūrvam iti hariṇībhir hareyur ati dravety aṣṭabhiḥ
11.1.36	idaṃ ta ity agnim agrataḥ
11.1.37	prajānaty aghnya iti jaghanyāṃ gām edham agniṃ pariṇīya
11.1.38	syonāsmai bhavety uttarato 'gneḥ śarīraṃ nidadhāti
11.1.39	adhvaryava iṣṭiṃ nirvapanti
11.1.40	tasyāṃ yathādevataṃ purastāddhomasaṃsthitahomān uddhṛtya
11.1.41	prāṇāpānāv avaruddhyai nidhanābhir juhuyāt
11.1.42	athobhayor apeta dadāmīti śāntyudakaṃ kṛtvā saṃprokṣaṇībhyāṃ kāmpīlaśākhāyā dahanaṃ samprokṣya
11.1.43	ud īratām ity uddhatyābhyukṣya lakṣaṇaṃ kṛtvā punar abhyukṣya prāgdakṣiṇam edhaś cinvanti
11.1.44	iyaṃ nārīti patnīm upasaṃveśayati
11.1.45	ud īrṣvety utthāpayati
11.1.46	yaddhiraṇyaṃ bibharti tad dakṣiṇe pāṇāv ādhāyājyenābhighārya jyeṣṭhena putreṇādāpayatīdaṃ hiraṇyam iti
11.1.47	svargaṃ yata iti dakṣiṇaṃ hastaṃ nirmārjayati
11.1.48	daṇḍaṃ hastād iti mantroktaṃ brāhmaṇasyādāpayati
11.1.49	dhanur hastād iti kṣatriyasya
11.1.50	aṣṭrām iti vaiśyasya
11.1.51	idaṃ pitṛbhya iti darbhān edhān stṛṇāti
11.1.52	tatrainam uttānam ādadhītejānaś citam ārukṣad agnim iti
11.1.53	prācyāṃ tvā diśīti pratidiśam
11.1.54	nety uparibabhravaḥ
11.1.55	anumantrayate
11.1.56	athāsya saptasu prāṇeṣu sapta hiraṇyaśakalāny avāsyaty amṛtam asy amṛtatvāyāmṛtam asmin dhehīti
11.2.1	athāhitāgner darbheṣu kṛṣṇājinam antarlomāstīrya
11.2.2	tatrainam uttānam ādhāya
11.2.3	athāsya yajñapātrāṇi pṛṣadājyena pūrayitvānurūpaṃ nidadhati
11.2.4	dakṣiṇe haste juhūm
11.2.5	savya upabhṛtam
11.2.6	kaṇṭhe dhruvāṃ mukhe 'gnihotrahavanīṃ nāsikayoḥ sruvam
11.2.7	tānyanumantrayate juhūr dadhāra dyāṃ dhruva ā roheti
11.2.8	lalāṭe prāśitraharaṇam
11.2.9	imam agne camasam iti śirasīḍācamasam
11.2.10	devā yajñam ity urasi puroḍāśam
11.2.11	dakṣiṇe pārśve sphyaṃ savya upaveṣam
11.2.12	udare pātrīṃ
11.2.13	aṣṭhīvator ulūkhalamusalam
11.2.14	śroṇyoḥ śakaṭam
11.2.15	antareṇorū anyāni yajñapātrāni
11.2.16	pādayoḥ śūrpam
11.2.17	apo mṛnmayānyupaharanti
11.2.18	ayasmayāni nidadhati
11.2.19	amā putrā ca dṛṣat
11.2.20	athobhayor apaśyaṃ yuvatiṃ prajānaty aghnya iti jaghanyāṃ gāṃ prasavyaṃ pariṇīyamānām anumantrayate
11.2.21	tāṃ nairṛtena jaghanatāghnanta upaveśayanti
11.2.22	tasyāḥ pṛṣṭhato vṛkkāv uddhārya pāṇyor asyādadhaty ati drava śvānāv iti
11.2.23	dakṣiṇe dakṣiṇaṃ savye savyam
11.2.24	hṛdaye hṛdayam
11.2.25	agner varmeti vapayā saptachidrayā mukhaṃ pracchādayanti
11.2.26	yathāgātraṃ gātrāṇi
11.2.27	dakṣiṇair dakṣiṇāni savyaiḥ savyāni
11.2.28	anubaddhaśiraḥpādena gośālāṃ carmaṇāvacchādya
11.2.29	ajo bhāga ut tvā vahantv iti dakṣiṇato 'jaṃ badhnāti
11.2.30	asmād vai tvam ajāyathā ayaṃ tvad adhi jāyatām asau svāhety urasi gṛhye juhoti
11.2.31	tathāgniṣu juhoty agnaye svāhā kāmāya svāhā lokāya svāheti
11.2.32	dakṣiṇāgnāv ity eke
11.2.33	mainam agne vi dahaḥ śaṃ tapā rabhasva prajānanta iti kaniṣṭha ādīpayati
11.2.34	ādīpte sruveṇa yāmān homāñjuhoti pareyivāṃsaṃ pravato mahīr iti
11.2.35	yamo no gātuṃ prathamo vivedeti dve prathame
11.2.36	aṅgiraso naḥ pitaro navagvā iti saṃhitāḥ sapta
11.2.37	yo mamāra prathamo martyānāṃ ye naḥ pituḥ pitaro ye pitāmahā ity ekādaśa
11.2.38	atha sārasvatāḥ
11.2.39	sarasvatīṃ devayanto havante sarasvatīṃ pitaro havante sarasvati yā sarathaṃ yayātha sarasvati vrateṣu ta idaṃ te havyaṃ ghṛtavat sarasvatīndro mā marutvān iti
11.2.40	dakṣiṇato 'nyasminn anuṣṭhātā juhoti
11.2.41	sarvair upatiṣṭhanti trīṇi prabhṛtir vā
11.2.42	api vānuṣṭhānībhiḥ
11.2.43	etā anuṣṭhānyaḥ
11.2.44	mainam agne vi daha itiprabhṛty ava sṛjeti varjayitvā sahasranīthā ity ātaḥ
11.2.45	ā roha janitrīṃ jātavedasa iti pañcadaśabhir āhitāgnim
11.2.46	mitrāvaruṇā pari mām adhātām iti pāṇī prakṣālayate
11.2.47	varcasā mām ity ācāmati
11.2.48	vivasvān na ity uttarato 'nyasminn anuṣṭhātā juhoti
11.3.1	yavīyaḥprathamāni karmāṇi prāṅmukhānāṃ yajñopavītināṃ dakṣiṇāvṛtām
11.3.2	athaiṣāṃ sapta sapta śarkarāḥ pāṇiṣv āvapate
11.3.3	tāsām ekaikāṃ savyenāvācīnahastenāvakiranto 'navekṣamāṇā vrajanti
11.3.4	apāghenānumantrayate
11.3.5	sarve 'grato brahmaṇo vrajanti
11.3.6	mā pra gāmeti japanta udakānte vyapādye japanti
11.3.7	paścād avasiñcati
11.3.8	ud uttamam iti jyeṣṭhaḥ
11.3.9	payasvatīr iti brahmoktāḥ piñjūlīr āvapati
11.3.10	śāntyudakenācamyābhyukṣyāśvāvatīm iti nadīṃ tārayate
11.3.11	nakṣatraṃ dṛṣṭvopatiṣṭhate nakṣatrāṇāṃ mā saṃkāśaś ca pratīkāśaś cāvatām iti
11.3.12	śāmyākīḥ samidha ādhāyāgrato brahmā japati
11.3.13	yasya trayā gatam anuprayanti devā manuṣyāḥ paśavaś ca sarve / taṃ no devaṃ mano adhi bravītu sunītir no nayatu dviṣate mā radhāmeti śāntyudakenācamyābhyukṣya
11.3.14	nissālām iti śālāniveśanaṃ samprokṣya
11.3.15	ūrjaṃ bibhrad iti prapādayati
11.3.16	nadīm ālambhayati gām agnim aśmānaṃ ca
11.3.17	yavo 'si yavayāsmad dveṣo yavayārātim iti yavān
11.3.18	khalvakāsyeti khalvān khalakulāṃśca
11.3.19	vyapādyābhyāṃ śāmyākīr ādhāpayati
11.3.20	tāsāṃ dhūmaṃ bhakṣayanti
11.3.21	yadyat kravyād gṛhyed yadi kravyādā nānte 'paredyuḥ / divo nabhaḥ śukraṃ payo duhānā iṣam ūrjaṃ pinvamānāḥ / apāṃ yonim apādhvaṃ svadhā yāś cakṛṣe jīvaṃs tās te santu madhuścuta ity agnau sthālīpākaṃ nipṛṇāti
11.3.22	ādahane cāpivānyavatsāṃ dohayitvā tasyāḥ pṛṣṭhe juhoti vaiśvānare havir idaṃ juhomīti
11.3.23	tasyāḥ payasi
11.3.24	sthālīpāka ity eke
11.3.25	ye agnaya iti pālāśyā darvyā mantham upamathya kāmpīlībhyām upamanthanībhyāṃ tṛtīyasyām asthīnyabhijuhoti
11.3.26	upa dyāṃ śaṃ te nīhāra iti mantroktānyavadāya
11.3.27	kṣīrotsiktena brāhmaṇasyāvasiñcati madhūtsiktena kṣatriyasyodakena vaiśyasya
11.3.28	ava sṛjety anumantrayate
11.3.29	mā te mano yat te aṅgam iti saṃcinoti pacchaḥ
11.3.30	prathamaṃ śīrṣakapālāni
11.3.31	paścāt kalaśe samopya sarvasurabhicūrṇair avakīryotthāpanībhir utthāpya hariṇībhir hareyuḥ
11.3.32	mā tvā vṛkṣa iti vṛkṣamūle nidadhāti
11.3.33	syonāsmai bhaveti bhūmau trirātram arasāśinaḥ karmāṇi kurvate
11.3.34	daśarātra ity eke
11.3.35	yathākuladharmaṃ vā
11.3.36	ūrdhvaṃ tṛtīyasyā vaivasvataṃ sthālīpākaṃ śrapayitvā vivasvān na iti juhoti
11.3.37	yuktābhyāṃ tṛtīyām
11.3.38	ānumatīṃ caturthīm
11.3.39	śeṣaṃ śāntyudakenopasicyābhimantrya prāśayati
11.3.40	ā pra cyavethām iti gāvāv upayacchati
11.3.41	eyam agann iti daśagavāvarārdhyā dakṣiṇā
11.3.42	dvādaśarātraṃ kartā yamavrataṃ caret
11.3.43	ekacailas tricailo vā
11.3.44	haviṣyabhakṣaḥ
11.3.45	sāyaṃ prātar upaspṛśet
11.3.46	brahmacārī vraty adhaḥ śayīta
11.3.47	svastyayanāni prayuñjīta
11.4.1	pitṝn nidhāsyan saṃbhārān saṃbharati
11.4.2	ekādaśa carūṃścakrakṛtān kārayati
11.4.3	śatātṛṇṇasahasrātṛṇṇau ca pāśīm ūṣam sikatāḥ śaṅkhaṃ śālūkaṃ sarvasurabhiśamīcūrṇakṛtaṃ śāntavṛkṣasya nāvaṃ tripādakam
11.4.4	dve niḥśīyamāne nīlalohite sūtre savyarajjuṃ śāntavṛkṣasya caturaḥ śaṅkūṃścaturaḥ paridhīn vāraṇaṃ śāmīlam audumbaraṃ pālāśaṃ vṛkṣasya śāntauṣadhīḥ
11.4.5	māghe nidadhyānmāghaṃ bhūd iti
11.4.6	śaradi nidadhyācchāmyatv agham iti
11.4.7	nidāghe nidadhyān nidahyatām agham iti
11.4.8	amāvāsyāyāṃ nidadhyād amā hi pitaro bhavanti
11.4.9	athāvasānam
11.4.10	tad yat samaṃ samūlam avidagdhaṃ pratiṣṭhitaṃ prāgudakpravaṇam
11.4.11	yatrākaṇṭakā vṛkṣāś cauṣadhayaś ca
11.4.12	unnataṃ svargakāmaś ca
11.4.13	śvo 'māvāsyeti gāṃ kārayate
11.4.14	tasyāḥ savyaṃ cāpaghanaṃ prapākaṃ ca nidhāya
11.4.15	bhikṣāṃ kārayati
11.4.16	grāme yāmasārasvatān homān hutvā
11.4.17	saṃprokṣaṇībhyāṃ kāmpīlaśākhayā niveśanam anucarya
11.4.18	prāgdakṣiṇaṃ śākhāṃ pravidhya sīreṇa karṣayitvā śākhābhiḥ parivārya
11.4.19	punar dehīti vṛkṣamūlād ādatte
11.4.20	yat te kṛṣṇa iti bhūmer vasane samopya sarvasurabhicūrṇair avakīryotthāpanībhir utthāpya hariṇībhir hareyuḥ
11.4.21	avidanto deśāt pāṃsūn
11.4.22	api vodakānte vasanam āstīryāsāv iti hvayet
11.4.23	tatra yo jantur nipatet tam utthāpanībhir utthāpya hariṇībhir hareyuḥ
11.4.24	api vā trīṇi ṣaṣṭiśatāni palāśatsarūṇām
11.4.25	grāme dakṣiṇodagdvāraṃ vimitaṃ darbhair āstārayati
11.4.26	uttaraṃ jīvasaṃcaro dakṣiṇaṃ pitṛsaṃcaraḥ
11.4.27	anastamita ā yātety āyāpayati
11.4.28	ācyā jānv ity upaveśayati
11.4.29	saṃ viśantv iti saṃveśayati
11.4.30	etad vaḥ pitaraḥ pātram iti trīṇy udakaṃsān ninayati
11.4.31	trīn snātānuliptān brāhmaṇān madhumanthaṃ pāyayati
11.4.32	brahmaṇe madhuparkam āhārayati
11.4.33	gāṃ vedayante
11.4.34	kurutety āha
11.4.35	tasyā dakṣiṇam ardhaṃ brāhmaṇān bhojayati savyaṃ pitṝn
11.5.1	vaha vapāṃ jātavedaḥ pitṛbhyo yatraitān vettha nihitān parāke / medasaḥ kulyā upa tān sravantu satyā eṣām āśiṣaḥ santu kāmāḥ svāhā svadheti vapāyās trir juhoti
11.5.2	imaṃ yameti yamāya caturthīm
11.5.3	ekaviṃśatyā yavaiḥ kṛśaraṃ randhayati yutam anyatprapākaṃ ca
11.5.4	sayavasya jīvāḥ prāśnanti
11.5.5	athetarasya piṇḍaṃ nipṛṇāti
11.5.6	yaṃ te mantham iti mantroktaṃ vimite nipṛṇāti
11.5.7	tad udgatoṣmahartāro dāsā bhuñjate
11.5.8	vīṇā vadantv ity āha
11.5.9	mahayata pitṝn iti riktakumbhaṃ vimitamadhye nidhāya taṃ jaradupānahāghnanti
11.5.10	kasye mṛjānā iti triḥ prasavyaṃ prakīrṇakeśyaḥ pariyanti dakṣiṇān ūrūn āghnānāḥ
11.5.11	evaṃ madhyarātre 'pararātre ca
11.5.12	purā vivāhāt samāṃsaḥ piṇḍapitṛyajñaḥ
11.5.13	utthāpanībhir utthāpya hariṇībhir hareyuḥ
11.5.14	athāvasāyeti paścāt pūrvakṛtebhyaḥ pūrvāṇi pūrvebhyo 'parāṇi yavīyasām
11.5.15	prāgdakṣiṇāṃ diśam abhy uttarām aparāṃ diśam abhitiṣṭhanti
11.5.16	yathā citiṃ tathā śmaśānaṃ dakṣiṇāparāṃ diśam abhi pravaṇam
11.6.1	atha mānāni
11.6.2	diṣṭikudiṣṭivitastinimuṣṭyaratnipadaprakramāḥ
11.6.3	prādeśena dhanuṣā cemāṃ mātrāṃ mimīmaha iti
11.6.4	sapta dakṣiṇato mimīte saptottarataḥ pañca purastāt trīṇi paścāt
11.6.5	nava dakṣiṇato mimīte navottarataḥ sapta purastāt pañca paścāt
11.6.6	ekādaśa dakṣiṇato mimīta ekādaśottarato nava purastāt sapta paścāt
11.6.7	ekādaśabhir devadarśinām
11.6.8	ayugmamānāni parimaṇḍalāni caturasrāṇi vā śaunakinām
11.6.9	tathā hi dṛśyante
11.6.10	yāvān puruṣa ūrdhvabāhus tāvān agniś citaḥ
11.6.11	savyāni dakṣiṇādvārāṇy ayugmaśilāny ayugmeṣṭikāni ca
11.6.12	imāṃ mātrāṃ mimīmaha iti dakṣiṇataḥ savyarajjuṃ mītvā
11.6.13	vārayatām agham iti vāraṇaṃ paridhiṃ paridadhāti śaṅkuṃ ca nicṛtati
11.6.14	purastān mītvā śam ebhyo astv agham iti śāmīlaṃ paridhiṃ paridadhāti śaṅkuṃ ca nicṛtati
11.6.15	uttarato mītvā śāmyatv agham ity audumbaraṃ paridhiṃ paridadhāti śaṅkuṃ ca nicṛtati
11.6.16	paścān mītvā śāntam agham iti pālāśaṃ paridhiṃ paridadhāti śaṅkuṃ ca nicṛtati
11.6.17	amāsīty anumantrayate
11.6.18	akṣṇayā lohitasūtreṇa nibadhya
11.6.19	stuhi śrutam iti madhye gartaṃ khātvā pāśisikatoṣodumbaraśaṅkhaśālūkasarvasurabhiśamīcūrṇāni nivapati
11.6.20	niḥśīyatām agham iti niḥśīyamānam āstṛṇāti
11.6.21	asaṃpraty agham
11.6.22	vi lumpatām agham iti pari cailaṃ dūrśaṃ vilumpati
11.6.23	ukto homo dakṣiṇata staraṇaṃ ca
