#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
9.5.10	tato vratapataye
9.5.11	siddham iṣṭiḥ saṃtiṣṭhate
9.5.12	atha yady abhyādāhyena saṃsṛjyeran vivicaye nirupya śucaye nirvapet
9.5.13	tato vratapataye
9.5.14	siddham iṣṭiḥ saṃtiṣṭhate
9.5.15	atha yady vaidyutena saṃsṛjyerann agnaye 'psumate puroḍāśam aṣṭākapālaṃ nirvapet
9.5.16	tato vratapataye
9.5.17	siddham iṣṭiḥ saṃtiṣṭhate
9.5.18	atha yady śavāgninā sūtakāgninā vā saṃsṛjyerann agnaye saṃkusukāya puroḍāśam aṣṭākapālaṃ nirvapet
9.5.19	tato vratapataye
9.5.20	siddham iṣṭiḥ saṃtiṣṭhate
9.5.21	atha yady sarvāṇi saṃnipateyuḥ kṣāmavatīmante kuryāt
9.5.22	yady agnihotrasthālī sravet tām abhimantrayate garbhaṃ sravantam agadam akar agnir indras tvaṣṭā bṛhaspatiḥ / pṛthivyām avacuścotaitan nābhiprāpnoti nirṛtiṃ parācaiḥ // iti
9.5.23	skannam apo 'bhyavaharet
9.6.1	yady anadhiśritaṃ syād vaiṣṇavyānumantrayeta
9.6.2	yasya havirniruptaṃ purastāc candramā abhyudeti tredhā taṇḍulān vibhajet / ye madhyamāḥ syus tān agnaye dātre puroḍāśam aṣṭakapālaṃ kuryāt / ye sthāviṣṭhās tān indrāya pradātre dadhaṃś carum / ye 'ṇiṣṭhās tān viṣṇave śipiviṣṭāya śṛte carum
9.6.3	aniruptābhyudite katamābhyo devatābhyo nirvapet / prākṛtībhya ity āśmarathyo vaikṛtībhya ity alekhanaḥ
9.6.4	seyaṃ nāsaṃnayato vidyata ity ekam / vidyata ity aparam
9.6.5	agnaye pathikṛte puroḍāśam aṣṭākapālaṃ nirvaped yo darśapūrṇamāsayājī sannam āvāsyāṃ vā paurṇamāsīṃ vātipadayet
9.6.6	patho 'ntikād barhir āharet
9.6.7	anaḍvān dakṣiṇā
9.6.8	siddham iṣṭiḥ saṃtiṣṭhate
9.6.9	athaikeṣāṃ vijñāyate vi vā etasya yajñaś chidyate yasya yajñe pratata etām antareṣṭiṃ nirvapati / ya evāsāvāgneyo 'ṣṭākapālaḥ paurṇamāse yo 'māvāsyāyaṃ tam agnaye pathikṛṭe kuryāt / tenaiva punaḥ panthām avaiti na yajñaṃ vicchinatti
9.6.10	agnaye vratapataye puroḍāśam aṣṭākapālaṃ nirvaped yady āhitāgniḥ pravasan parvaṇi māṃsaṃ vāśnīyāt striyaṃ vopeyāt
9.6.11	vratabhṛta eke samāmananti
9.6.12	etām eva nirvaped yady āhitāgnir aśru kuryāt
9.6.13	yathā kathā ca kuryāt prāyaścittam eva syād ity āśmarathyaḥ / ārtijam eva kuryād ity ālekhanaḥ
9.7.1	yady agnihotry upasṛṣṭā niṣīdet tām utthāpayed udasthād devy aditir viśvarūpyāyur yajñapatāvadhāt / indrāya kṛṇvatī bhāgaṃ mitrāya varuṇāya ca // iti
9.7.2	tāṃ dugdhvā brāhmaṇāya dadyād yasyānnaṃ nādyāt
9.7.3	atha yadi spandetānyāṃ duhyāt
9.7.4	yadi duhyamānaṃ skanded yad adya dugdhaṃ pṛthivīm asakta yadoṣadhīr apy asaradyad āpaḥ / payo gṛheṣu payo aghniyāsu payo vatseṣu payo astu tan mayi // iti
9.7.5	athainad adbhir upasṛjati samudraṃ vaḥ pra hiṇomīty etayā
9.7.6	tad eva yādṛkkīdṛk ca hutvāthānyāṃ dugdhvā punar juhuyāt
9.7.7	yadi dugdhaṃ skanded yady adhiśritaṃ yadi viṣyandetābhiduhya juhuyād ity āśmarathyaḥ / tad eva yādṛkkīdṛk ca hutvāthānyāṃ dugdhvā punar juhuyād ity ālekhanaḥ
9.7.8	yady unnīyamānaṃ skanded yady unnītaṃ yadi puraḥ parāhṛtaṃ homāyābhiduhya juhuyād ity āśmarathyaḥ / tad evayādṛkkīdṛk ca hutvāthānyāṃ dugdhvā punar juhuyād ity ālekhanaḥ
9.7.9	yady uddrutasya skanded yatra skandet tan niṣadya punargṛhṇīyāt / tad eva yādṛkkīdṛk ca hutvāthānyāṃ dugdhvā punar juhuyāt
9.8.1	yadi sakṛd unnītaṃ skanded yadi dvir yadi trir na tad ādriyeteti vijñāyate
9.8.2	kṛtsānām agnihotrāṇāṃ vādam āśmarathya ūce sruvavādam ity ālekhanaḥ
9.8.3	yadi caturthaṃ skandet sthālyāṃ śeṣam ānīya tataś caturgṛhītaṃ gṛhītvā juhuyāt / api vājyasya vāruṇīm ṛcam anūcya vāruṇyarcā juhuyāt
9.8.4	athaikeṣām / yadi duhyamānav abhindyād anyāṃ nirṇijya dohyā
9.8.5	yadi dugdham anyābhidohyā / yady adhiśritam anyābhidohyā / yadi viṣyandetanyābhidohya / yady unnīyamānam anyābhidohyā / yady unnītaṃ punaḥ pratyavanīyānyābhidohyā
9.8.6	yadi prācīnaṃ hriyamāṇaṃ prajāpater viśvabhṛti tanvaṃ hutam asi svāhety abhimṛśet / ājyasya vāruṇīm ṛcam anūcya vāruṇyarcā juhuyāt
9.8.7	yadi lohitaṃ duhyetānyad vā vivarṇam anvāhāryapacanaṃ pariśrityāgnaye rudravate svāheti juhuyāt
9.8.8	yadi śiliśilībhavet samoṣāmum iti brūyād yaṃ dviṣyāt
9.8.9	yadi sāyam āhutau skanded ā prātar ahuter nāśnīyāt / yadi prātar āhutau skanded ā sāyam āhuter nāśnīyāt
9.9.1	yasyāgnihotre 'dhiśrite śvāntarāgni dhāved gārhapatyād bhasmādāyedaṃ viṣṇur vi cakrama iti vaiṣṇavyarcāhavanīyād dhvaṃsayann uddravet
9.9.2	bhasmanā śunaḥ padam apivapati
9.9.3	etad eva sūkaraikasṛke vidyāt
9.9.4	yasyāgnim anuddhṛtaṃ sūryo 'bhinimroced darbheṇa hiraṇyaṃ prabadhya pūrvaḥ pratipadyeta
9.9.5	anvaṅ brāhmaṇa ārṣeyo bahuvid agnim uddharet / anvaṅṅ agnihotreṇānūddravet
9.9.6	pratiṣṭhāpyāgnim agnihotram upasādyā tamitor aprāṇann āsitvā hutvā varaṃ datvā bhūr ity upatiṣṭhetety āśmarathyaḥ / bhūr bhuvaḥ suva ity ālekhanaḥ
9.9.7	anāśvān etāṃ rātrim upavasati
9.9.8	śvo bhūte vāruṇaṃ daśakapālaṃ nirvapati / carum ity ekeṣām
9.9.9	siddham iṣṭiḥ saṃtiṣṭhate
9.9.10	yadi sāyam agnihotrasya rtum atinayed doṣā vastor namaḥ svāheti juhuyāt
9.9.11	etad eva nityam agnihotram ity āśmarathyaḥ / athālekhanaḥ / kālasamāpādanīyam evaitena mantreṇa homaṃ hutvā nityam agnihotraṃ juhuyāt
9.9.12	tatra sa eva homakalpaḥ
9.9.13	etāvan nānā / bhūr bhuvaḥ suva iti purā hotor vadet
9.9.14	yadi prātar agnihotrasya rtum atinayet prātar vastor namaḥ svāhā juhuyāt
9.9.15	etad eva nityam agnihotram ity āśmarathyaḥ / athālekhanaḥ / kālasamāpādānīyam evaitena mantreṇa homaṃ hutvā nityam agnihotram upasādyā tamitor aprāṇann āsitvā varaṃ dattvā hutvā bhūr bhuvaḥ suva ity upatiṣṭheta
9.9.16	anugmamayitvāhavanīyam anyaṃ praṇayed anvagnir uṣasām agram akhyad iti
9.9.17	athainam abhimantrayata ihaiva kṣemya edhi mā prahāsīn mām amum āmuṣYāyaṇam iti
9.10.1	tatra maitraṃ caruṃ nirvapet sauryam ekakapālam
9.10.2	siddham iṣṭiḥ saṃtiṣṭhate
9.10.3	tasyāṃ saṃsthitāyāṃ vāgyatāv etad ahar anaśnantau jāyāpatī agnim indhānāvāsāte
9.10.4	dvayoḥ payasā sāyam agnihotraṃ juhuyāt
9.10.5	śvo 'gnaye vratapataye puroḍāśam aṣṭākapālaṃ nirvapet
9.10.6	siddham iṣṭiḥ saṃtiṣṭhate
9.10.7	yasyāgnim anuddhṛtaṃ sūryo 'bhyudiyāc caturgṛhītam ājyaṃ gṛhītvā pūrvaḥ pratipadyeta
9.10.8	anvaṅ brāhmaṇa ārṣeyo bahuvid agnim uddharet / anvaṅṅ agnihotreṇānūddravet
9.10.9	pratiṣṭhāpyāgnim agnihotram upasādya purastāt pratyaṅṅ upaviśyaitenājyena juhuyād uṣāḥ ketunā juṣatāṃ yajñaṃ devebhir anvitam / devebhyo madhumattamaṃ svāhā // iti
9.10.10	tato nityam agnihotraṃ juhuyāt
9.10.11	tatra sa eva homakalpaḥ
9.10.12	sa prāyaścitto yaḥ prātarṛtāv atinītaḥ
9.10.13	etāvan nānā / nātrāhavanīyam anugamayati
9.10.14	agnaye jyotiṣmate puroḍāśam aṣṭākapālaṃ nirvapet
9.10.15	siddham iṣṭiḥ saṃtiṣṭhate
9.11.1	athaikeṣām / yasyāgnim anuddhṛtaṃ sūryo 'bhinimroced abhyudiyād vā mano jyotir juṣatām // trayastriṃśat tantava iti dve caturgṛhīte juhuyāt
9.11.2	yady anastam ite juhuyāt punar astam ite hutvā bhavataṃ naḥ samanasāv ity upatiṣṭhate
9.11.3	yadi mahārātre juhuyāt punar evauṣasaṃ hutvā pūrvavad upatiṣṭhet
9.11.4	yasyānuditahome 'bhiprete 'gnihotram ahutaṃ sūryo 'bhyudiyād yady ante syād unnīya prāṅ udādravet
9.11.5	sa upasādyā tamitor āsīta
9.11.6	sa yadā tāmyed atha bhūḥ svāheti juhuyāt
9.11.7	yasyāhavanīye 'nudvāte gārhapatya udvāyed anugamayitvāhavanīyaṃ gārhapatyasyāvakṣāṇāni saṃnidhāya manthed itaḥ prathamaṃ agnir ity etayā
9.11.8	athainam abhimantrayata iṣe rayyai ramasva sahase dyumnāyorje 'patyāyeti
9.11.9	āhavanīyaṃ praṇīyopasaminddhe sārasvatau tvotsau samindhātām / samrāḍ asi virāḍ asīti
9.11.10	tato 'gnaye tapasvate janadvate pāvakavate 'ṣṭākapālaṃ nirvapet
9.11.11	siddham iṣṭiḥ saṃtiṣṭhate
9.11.12	etad eva gārhapatye dhārayaty āhavanīye 'nugate prāyaścittam
9.11.13	etāvan nānā / nātra gārhapatyam anugamayati / agnaye jyotiṣmate puroḍāśam aṣṭākapālaṃ nirvapen na tapasvate
9.11.14	siddham iṣṭiḥ saṃtiṣṭhate
9.12.1	yadi sāyam ahute 'gnihotre pūrvo 'gnir anugacched agnihotram adhiśrityonnīyāgninā pūrveṇoddrutyānvaṅṅ agnihotreṇānudravet
9.12.2	yo brāhmaṇo bahuvit so 'gnim uddharet
9.12.3	yat purā dhanam adāyī syāt tad dadyāt
9.12.4	etad eva prātaḥ
9.12.5	yadi prātarahute 'gnihotre 'paro 'gnir anugacched anugamayitvā pūrvaṃ mathitvāparam uddhṛtya juhuyād yadi na tvaret
9.12.6	atha yadi tvaret pūrvam agnim anvavasāya tataḥ prāñcam uddhṛtya juhuyāt
9.12.7	jāmi tu tad yo 'sya pūrvo 'gnis tam aparaṃ karoti / anyatraivāvasāyāgniṃ mathitvoddhṛtya juhuyāt / tato 'gnaye tapasvate janadvate pāvakavate 'ṣṭākapālaṃ nirvapet
9.12.8	siddham iṣṭiḥ saṃtiṣṭhate
9.12.9	yadi sāyam ahute 'gnihotre 'paro 'gnir anugacchet pūrvam agnim anvavasāya tata eva prāñcam uddhṛtya juhuyāt
9.12.10	athābhimantrayata ita eva prathamaṃ jajñe agnir ābhyo yonibhyo 'dhi jātavedāḥ / sa gāyatryā triṣṭubhā jagatyānuṣṭubhā ca devebhyo havyaṃ vaha naḥ prajānan // iṣe rayyau ramasva sahase dyummnāyorje patyāyeti ramayaty eva / samrāḍ asisuṣadā sīdeti suṣadā evainaṃ sādayati
9.13.1	sārasvatau tvotsau prāvatām iti / ṛksāme vai sārasvatāv utsau / tābhyām evainaṃ prāvati tābhyāṃ samardhayati
9.13.2	agnaye jyotiṣmate puroḍāśam aṣṭākapālaṃ nirvaped vāruṇaṃ yavamayaṃ carum
9.13.3	siddham iṣṭiḥ saṃtiṣṭhate
9.13.4	athaikeṣām / yady ahute 'gnihotre 'paro 'gnir anugacchet tebhya evāvakṣaṇebhyo manthitavyaḥ
9.13.5	atha yadi na tādṛśānīvāvakṣāṇāni syur bhasmanāraṇī saṃsparśya manthitavyaḥ / svād evainaṃ yoner janayatīti vijñāyate
9.13.6	tato 'gnaye tapasvate janadvate pāvakavate 'ṣṭākapālaṃ nirvapet
9.13.7	siddham iṣṭiḥ saṃtiṣṭhate
9.13.8	athaikeṣām / yataro 'gnir anugacchet tebhya eva dārubhyo 'dhimanthitavyaḥ
9.13.9	atha yadi tṛṇaidhaḥ śakaidho vā syād bhasmanāraṇī saṃsparśya manthitavyaḥ / svād evainaṃ yoner janayatītivijñāyate
9.13.10	tato 'gnaye tapasvate janadvate pāvakavate 'ṣṭākapālaṃ nirvapet
9.13.11	siddham iṣṭiḥ saṃtiṣṭhate
9.13.12	na vānugateṣṭiṃ kuryāt
9.13.13	etā evāhutīr juhuyān mitrāya svāhā // varuṇāya svāhā // sūryāya svāhā // agnaye svāhā // agnaye vratapataye svāhā // agnaye tapasvate janadvate pāvakavate svāhā // agnaye śucaye svāhā // agnaye jyotiṣmate svāhā // iti
9.13.14	vyāhṛtībhir juhoty ekaikaśaḥ samastābhiś ca
9.14.1	agnaye tantumate puroḍāśam aṣṭākapālaṃ nirvaped yasyāgnihotraṃ vilupyeta
9.14.2	āgnavaiṣṇavam ekādaśakapālaṃ nirvaped yam anyasyāgniṣu yājayeyur yo vānyasyāgniṣu yajeta
9.14.3	agnaye 'gnivate puroḍāśam aṣṭākapālaṃ nirvaped yasyāgnāv agnim abhyuddhareyuḥ
9.14.4	trayastriṃśat tantava ity etayā juhuyād yasyāgnihotre 'dhiśrite haviṣi vā nirupte puruṣo vā śvā vāno vāratho vāntarāgnī vīyād iti vijñāyate
9.14.5	yasyāno vā ratho vāntarāgnī vīyād ity ekeṣām
9.14.6	na kālam avadhārayati
9.14.7	tato 'trāpo 'nvatiṣicya gamanvaty āvartayet
9.14.8	idaṃ viṣṇur vi cakrama iti padaṃ saṃlopayet
9.14.9	anugamayitvāhavanīyam anyaṃ praṇayed yad agne pūrvaṃ prabhṛtaṃ padaṃ hi te sūryasya raśmīn anvātatān / tatra rayiṣṭhām anusaṃbharaitaṃ saṃ naḥ sṛja sumatyā vajavatyā // tvam agne saprathā asi juṣṭo hotā vareṇyaḥ / tvayā yajñaṃ vitanvate // iti
9.14.10	tato 'gnaye pathikṛte puroḍāśam aṣṭākapālaṃ nirvapet
9.14.11	patho 'ntikād barhir āharet
9.14.12	anaḍvān dakṣiṇā
9.14.13	siddham iṣṭiḥ saṃtiṣṭhate
9.14.14	etām eva nirvapet stotre mūḍhe / etāṃ śastre
9.14.15	etāṃ yasyāgnināgnīn vyaveyuḥ
9.14.16	etāṃ jane pramītasya
9.14.17	janayatu khalu pramītasyeti vijñāyate
9.14.18	abhivānyavatsāyā asya payasāgnihotraṃ juhuyur ā yāvad asyāgnibhiḥ śarīrāṇi saṃsparśayeyuḥ
9.15.1	dakṣiṇāprāgagrair darbhair agnīn paristṛṇāti
9.15.2	adhastāt samidhaṃ dhārayann uddravati
9.15.3	somaṃ pitṛmantaṃ pūrvasyām āhutyām upalakṣayaty agniṃ kavyavāhanam uttarasyām
9.15.4	pātranirṇejanam udakaṃ dakṣiṇā prasiñceyuḥ
9.15.5	brāhmaṇāya yajñāyadhāni dadyuḥ
9.15.6	apo 'bhyavahareyuḥ
9.15.7	amaiva putrasya dṛṣat syād āyasaṃ ca
9.15.8	yasyājyam anutpūtaṃ skandec chindata prāṇi dadyāt
9.15.9	yady utpūtaṃ yad asya gṛheṣu citraṃ dhanaṃ tad dadyāt
9.15.10	etad vaikeṣāṃ viparītavat / anutpūte citram utpūte chindat
9.15.11	atha yadi sruggataṃ skandet yatra skandet tat prāñcaṃ prādeśaṃ nidadhyād bhūtapataye svāheti / bhuvanapataye svāheti dakṣiṇāprāñcam / bhūtānāṃ pataye svāheti pratyañcam / bhūtāya svāhety udañcam
9.15.12	athainat saṃsiñced ity āśmarathyaḥ / saṃ tvā siñcāmīty etayānumantrayetety ālekhanaḥ
9.15.13	bhūtapataye svāhā bhuvanapataye svāhā bhūtānāṃ pataye svāheti skannam anumantrayetety ekeṣām
9.15.14	na kiṃ cana havir adhikṛtya vadati
9.15.15	devāñjanam agan yajñas tasya māśīr avatv ity enad abhimantrayetety ekeṣām ājyādanantaraṃ vadati
9.15.16	yadi praṇītāḥ skandeyur āpo hi ṣṭhā mayobhuva iti tisṛbhir gṛhītvā tataṃ ma āpa ity āhutiṃ juhuyāt
9.16.1	yadi kapālaṃ bhidyeta tat saṃdadhyād gāyatryā tvā śatākṣarayā saṃdadhāmīti
9.16.2	athainad apo 'bhyavahared abhinno gharmo jīradānur iti
9.16.3	tata etām āhutiṃ juhoti trayastriṃśat tantava ity etayā
9.16.4	tato 'nyat kapālaṃ saṃskṛtya kapāleṣv apisṛjed gharmo devāṃ apyetv iti
9.16.5	iti vai khalu yadi prāg upadhānād bhidyeta
9.16.6	atha yady upahitānām etenaiva mantreṇopadadhyāt
9.16.7	yadi kapālaṃ naśyed āśvinaṃ dvikapālaṃ nirvaped dyāvāpṛthivyam ekakapālam
9.16.8	bhārgavo hotā bhavati / ekahāyano dakṣiṇā dadātīti vijñāyate
9.16.9	yathā kathā ca naśyet prāyaścittam eva syād ity āśmarathyaḥ / upayuktānāṃ prāg vimokād ity ālekhanaḥ
9.16.10	yadi patnīḥ saṃyājayan kapālam abhijuhuyāt vaiśvānaraṃ dvādaśakapālaṃ nirvapet
9.16.11	siddham iṣṭiḥ saṃtiṣṭhate
9.16.12	etām eva nirvaped amāvāsyāṃ paurṇamāsīṃ vātipādya
9.16.13	etāṃ yad aniṣṭvāgrayaṇena navam aśnīyāt
9.16.14	yasya yamau jāyeyātāṃ gāvau vā puruṣau vā vaiśvānaraṃ dvādaśakapālaṃ nirvapet
9.16.15	yasya triṣṭubhau yājyānuvākye bhavato jagatyai vā
9.16.16	raudraṃ vāstumayaṃ caruṃ nirvaped yasya rudraḥ paśūn śamāyeta
9.16.17	tayā niṣādasthapatiṃ yājayet
9.16.18	kṛṣṇājinaṃ vā kūṭaṃ vākarṇo vā gardabho hariṇo vā hariṇapṛṇākā vā śaphakaśyāmākapātrau vā dve vā kambuśūrpe dakṣiṇeti vijñāyate
9.17.1	yo brahmacārī striyam upeyāt sa raudraṃ gardabham ālabheta
9.17.2	tasyāvadānair apsu pracaranti
9.17.3	nāsya vapayā caranti na paśupuroḍāśo bhavati
9.17.4	iḍānto bhavati śaṃyuvanto vā
9.17.5	nairṛtaḥ prājāpatyo vā
9.17.6	yasya haviḥ kṣāyati taṃ yajñaṃ nirṛtir gṛhṇāti
9.17.7	yad ucchiṣṭaṃ syāt tena śeṣaṃ saṃsthāpayet
9.17.8	yajño hi yajñasya prāyaścittiḥ
9.17.9	yaṃ dviṣyāt tasmai tāṃ dakṣiṇāṃ dadyāt
9.17.10	yathā kathā ca kṣāyet prāyaścittam eva syād ity āśmarathyaḥ / yady avadānebhyo na prabhaved ity ālekhanaḥ
9.17.11	apo duṣṭaṃ havir abhyavaharantīti vijñāyate
9.17.12	yady aprattadaivataṃ havir vyāpadyetāpas tad abhyavahṛtyānyat tad daivataṃ havir nirvapet
9.17.13	tatra srug ādānaprabhṛtayo mantrā abhyāvarteran
9.17.14	atha yadi prattadaivatam ājyena śeṣaṃ saṃsthāpayed ity ekam / tūṣṇīkaṃ havir abhyudāhared ity aparam
9.18.1	atha yadi sarvāṇy eva havīṃṣi naśyeyur vā duṣyeyur vājyenaināni prati saṃkhyāya tayājyahaviṣeṣṭyā yajeta
9.18.2	ato 'nyām iṣṭim anulbaṇāṃ tanvīta
9.18.3	yajñena hi yajñasya prāyaścittiṃ kurvantīti vijñāyate
9.18.4	kathaṃ duṣṭaṃ havir vidyāt / yad āryāṇāṃ dharmajñānāṃ dharmakāmānām abhojanīyaṃ na tena devān yajeta
9.18.5	yadd havir duḥśṛtaṃ tad yamadevatyam / yamam eva tad gacchatīti vijñāyate
9.18.6	saṃsthāpya tadd havir anvāhāryapacane catuḥśarāvam odanaṃ paktvā caturbhyo brāhmaṇebhyo jīvataṇḍulam ivopaharet
9.18.7	tatrāpi bhārgavo ekaḥ prāśitṝṇāṃ syāt
9.18.8	yady ādiṣṭāṃ dakṣiṇām antariyād urvarāṃ pratiṣṭhitāṃ dadyāt
9.18.9	yo 'dakṣiṇena yajñena yajeta sa yajñaḥ prakṣāmaḥ / anāyur yajamānaḥ syāt
9.18.10	urvarāṃ sasyavatīṃ dadyāt
9.18.11	yady abhāgāṃ devatām āvāhayed ājyenaināṃ yathoḍhāṃ yajeta
9.18.12	bhāginīm antaritāṃ yatra smaret tad upotthāyāvāhayet
9.18.13	yad vo devā atipādayānīty atrāhutiṃ juhuyāt
9.19.1	yadi daivate vāvadāne vā yājyānuvākye vā parihareyur yad asya gṛheṣu citraṃ dhanaṃ tad dadyāt
9.19.2	yady āhutiḥ skanded āgnīdhraṃ brūyāj juhudhīti
9.19.3	tāṃ so 'ñjalinā juhoty agnes tvāsye juhomi mā yajamāno riṣan mā yajñapatnī mā yajñanīr iti / amuṣmai tvāsye juhomīti vā
9.19.4	yasyai devatāyai hutaṃ bhavati tasyai pūrṇapātraṃ dadyāt
9.19.5	yasyai devatāyai gṛhītam ahutaṃ skanded yasya vā devatām antariyur yad asya gṛheṣu puṣkalaṃ dhanaṃ tad dadyāt
9.19.6	yad āhutī viparihared athaitāṃ prāyaścittiṃ juhuyāt tvaṃ no agne // sa tvaṃ no agna iti
9.19.7	ete evāntaraye sarvatra viparyaye ca juhuyāt
9.19.8	yadi puroḍāśaḥ saṃ vā vijetod vā patet tam udvāsya barhiṣy āsādyaitenābhi ca ghārayed abhi ca mantrayeta kim utpatasi kim utproṣṭhāḥ śāntaḥ śānter ihāgahi / aghoro yajñiyo bhūtvāsīda sadanaṃ svam // mā hiṃsīr devapreṣita ājyena tejasājyasya mā naḥ kiṃcana rīriṣaḥ / yogakṣemasya śāntyā asminn āsīda barhiṣīti
9.19.9	bhūtvā prabhavati yajamāno yasyaitāṃ yajñe prāyaścittiṃ kurvantīti vijñāyate prāyaścittiṃ kurvantīti vijñāyate
10.1.1	vasante jyotiṣṭomena yakṣyamāṇo brāhmaṇān ārṣeyān ṛtvijo vṛṇīte yūnaḥ sthavirān vānūcānān anaṅgahīnān ūrdhvavācaś caturaḥ
10.1.2	sarvān vā
10.1.3	caturo vṛṇāno mahartvijo vṛṇīte 'dhvaryuṃ brahmāṇaṃ hotāram udgātaram iti
10.1.4	ādityo devo daivyo 'dhvaryuḥ sa me 'dhvaryur astv ity upāṃśu daivyam adhvaryuṃ vṛtvāsau mānuṣa ity uccair mānuṣaṃ vṛṇīte
10.1.5	candramā devo daivyo brahmā sa me brahmāstv ity upāṃśu daivyaṃ brahmāṇaṃ vṛtvāsau mānuṣa ity uccair mānuṣaṃ vṛṇīte
10.1.6	agnir devo daivyo hotā sa me hotāstv ity upāṃśu daivyaṃ hotāraṃ vṛtvāsau mānuṣa ity uccair mānuṣaṃ vṛṇīte
10.1.7	parjanyo devo daivya udgātā sa ma udgātāstv ity upāṃśu daivyaṃ udgātāraṃ vṛtvāsau mānuṣa ity uccair mānuṣaṃ vṛṇīte
10.1.8	sadasyaṃ mahartvijaṃ pañcamaṃ kauṣītakinaḥ samāmananti
10.1.9	sa kṛtākṛtakarmaṇām upadraṣṭā bhavati
10.1.10	taṃ vṛṇīte
10.1.11	ākāśo devo daivyaḥ sadasyaḥ sa me sadasyo 'stv ity upāṃśu daivyaṃ sadasyaṃ vṛtvāsau mānuṣa ity uccair mānuṣaṃ vṛṇīte
10.1.12	āpo devīr daivyā hotrāśaṃsinas te me hotrāśaṃsinaḥ santv ity upāṃśu daivyān hotrāśaṃsino vṛtvāsau cāsau mānuṣa ity uccair mānuṣān vṛṇīte
10.2.1	raśmayo devā daivyāś camasādhvaryavas te me camasādhvaryavaḥ santv ity upāṃśu daivyāṃś camasādhvaryūn vṛtvāsau cāsau mānuṣa ity uccair mānuṣān vṛṇīte
10.2.2	yajñopavītaṃ kṛtvāpa ācamya prāṅ vodaṅ vā tiṣṭhan japaty āsīno vā bhūr bhuvaḥ suvaḥ // āyur me prāvoco varco me prāvoco yaśo me prāvocaḥ śriyaṃ me prāvocaḥ // āyuṣmān ahaṃ varcasvī yaśasvī śrīmān apacitimān bhūyāsam // bhūr bhuvaḥ suvaḥ // sarvaṃ bhūyāsam ity uktvā prati vā caṣṭe prati vā jānīte
10.2.3	sa pratijñāya devo devam etu somaḥ somam etv ṛtasya pathā // emi vihāya dauṣkṛtyam ity abhipravrajati
10.2.4	padvā nāmāsi srutiḥ somasaraṇī somaṃ gameyam iti panthānam ātiṣṭhate
10.2.5	pitaro bhūr iti pitṝn dakṣiṇāmukha upatiṣṭhate
10.2.6	athainaṃ gṛhān ohyāhvayati
10.2.7	ācchādya cainaṃ kuṇḍalinaṃ karoti
10.2.8	ekadhanaṃ cāsmai dadāti
10.2.9	amāvāsyāyāṃ dīkṣate paurṇamāsyāṃ vā
10.2.10	tasyāparimitā dīkṣāḥ saṃvatsaraparārdhyāḥ
10.2.11	na darśapūrṇamāsābhyām aniṣṭvā somena yajeta
10.2.12	nāgniṣṭomenāniṣṭvetaraiḥ kratubhir iti
