#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
11.2.13	paśūpākaraṇakāle surām udbhidya sate niḥṣicya punātu te parisrutam ityādinā sadaśena vālamayena pavitreṇa surāṃ punāti
11.3.1	vāyuḥ pūtaḥ pavitreṇeti somavāminaḥ somātipavitasya ca prāṅ soma iti somavāminaḥ pratyaṅ soma iti somātipavitasya
11.3.2	pūtāṃ surāṃ brāhmaṇasya mūrdhni khare vāsādya paśūn upākaroti
11.3.3	samāno yūpaḥ svaruś ca
11.3.4	āśvinaṃ dhūmram ajam ālabhate sārasvataṃ meṣam aindram ṛṣabhaṃ meṣaṃ vā
11.3.5	bārhaspatyaṃ paśuṃ caturtham atipavitasyālabhate somavāminaś ca
11.3.6	pāśukāni pātrāṇi saṃsṛjya juhavad ūrdhvapātrāṇi saṃmārṣṭi
11.3.7	vapāsu hutāsu rukmam ṛṣabhaḥ sṛtvarī vaḍabā ca dakṣiṇā
11.3.8	cātvāle mārjayitvordhvapātraiḥ kuvid aṅgeti purorucam anūcyāparasmin khare surāgrahān gṛhṇāti
11.3.9	sarveṣāṃ grahāṇām ekā purorug yuvaṁ surāmam aśvinā putram iva pitarāv iti devatātrayavatyau yājyānuvākaye bhavataḥ
11.3.10	upayāmagṛhīto 'sy acchidrāṃ tvācchidreṇāśvibhyāṃ juṣṭaṃ gṛhṇāmīty āśvinaṃ graham adhvaryur gṛhṇāti
11.3.11	upayāmagṛhīto 'sy acchidrāṃ tvācchidreṇa sarasvatyai juṣṭaṃ gṛhṇāmīti pratiprasthātā sārasvatam
11.3.12	upayāmagṛhīto 'sy acchidrāṃ tvācchidreṇendrāya sutrāmṇe juṣṭaṃ gṛhṇāmīti yajamāno brahmā vaindram
11.4.1	kvalasaktūn siṃhalomāni cāśvine śrīṇāti badarasaktūṃchārdūlalomāni ca sārasvate karkandhusaktūn vṛkalomāni caindre
11.4.2	api vā siṃhāv adhvaryur manasā dhyāyecchārdūlau pratiprasthātā vṛkau yajamānaḥ
11.4.3	śyenapattreṇa grahān parimṛjyaiṣa te yonir aśvibhyāṃ tvety adhvaryur yathāyatanaṃ sādayaty eṣa te yoniḥ sarasvatyai tveti pratiprasthātaiṣa te yonir indrāya sutrāmṇe tveti yajamānaḥ
11.4.4	api vā payograhān gṛhṇāti na surāgrahān ity ekeṣām
11.4.5	puroḍāśān nirupyaindram ekādaśakapālaṃ sāvitraṃ dvādaśakapālaṃ vāruṇaṃ daśakapālaṃ ca nirvapati
11.4.6	tān āsādya tattadgrahais te pracaranti
11.4.7	aśvibhyāṃ sarasvatyā indrāya sutrāmṇe somānāṃ surāmṇām anubrūhīty adhvaryuḥ saṃpreṣyati
11.4.8	āśrāvya pratyāśrāvite 'śvibhyāṃ sarasvatyā indrāya sutrāmṇe somān surāmṇaḥ prasthitān preṣyeti saṃpreṣyati maitrāvaruṇo hotāraṃ preṣyati
11.4.9	vaṣaṭkṛte juhvati
11.4.10	somasyāgne vīhīty anuyajati
11.4.11	ahāvy agne havir āsye te yasminn aśvāsa iti dvābhyāṃ yajamāno hutam anumantrayate
11.5.1	brāhmaṇasya yajamānasya brāhmaṇaṃ parikrīṇīyād uccheṣaṇasya pātāram
11.5.2	yadi brāhmaṇaṃ na vinded valmīkavapāyām avanayed iti brāhmaṇam
11.5.3	nānā hi vāṃ devahitaṃ sado mitaṃ yad atra śiṣṭaṃ rasina iti dvābhyām uccheṣaṇaṃ pibet
11.5.4	dve srutī aśṛṇavaṃ pitṝṇām iti vā sarvahutaṃ juhuyāt
11.5.5	dakṣiṇe 'gnau śikyena dhṛtāyāṃ sthālyāṃ śatātṛṇṇāyāṃ pavitram udīcīnadaśaṃ vitatya yan me manaḥ parāgatam iti rukmaṃ kuṇḍalaṃ niṣkatrayaṃ dvayaṃ vā śatamānam anūnaṃ dhārayan somapratīkāḥ pitaras tṛpṇuteti suroccheṣaṃ samavanayati
11.5.6	tvaṃ so pracikita ity etābhiḥ pitṛmatībhiḥ saumībhis tisṛbhir yājyānuvākyābhiḥ sravantīṃ purastād adhvaryur upatiṣṭhata uttarābhis tisṛbhir dakṣiṇato brahmottarābhis tribhiḥ paścāddhotā
11.5.7	yad agne kavyavāhaneti kāvyavāhanībhir āgnīdhraḥ śatātṛṇṇāṃ dakṣiṇe 'gnau nidadhāti
11.5.8	rājanyavaiśyau tu suroccheṣaṃ svayam eva pibetām
11.6.1	puroḍāśaiḥ pracarya paśubhiḥ pracarati
11.6.2	aindrasāvitravāruṇaiḥ puroḍāśaiḥ pracarati
11.6.3	paśūnāṃ puroḍāśānāṃ ca samānaṃ sviṣṭakṛdiḍam
11.6.4	saṃsthāpya hṛdayaśūlair māsareṇa pātraiś cāvabhṛthaṃ yanti
11.6.5	māsaram ṛjīṣakalpena pratipādayati
11.6.6	yas te deva varuṇa gāyatracchandā ity āśvinaṃ pātram avabhṛthe saṃpravidhyati yas te varuṇa triṣṭupchandā iti sārasvataṃ pātraṃ yas te deva varuṇa jagatīcchandā ity aindraṃ pātraṃ yas te deva varuṇānuṣṭupchandā iti śatātṛṇṇāṃ sthālīṃ yas te deva varuṇa paṅkticchandā iti hṛdayaśūlam
11.6.7	tūṣṇīṃ pratyāyanti
11.6.8	saṃtiṣṭhate sautrāmaṇī
11.7.1	juhvādīnāṃ srucāṃ catasṛṇām āyāmaṃ caturviṃśatyaṅgulaṃ bāhumātraṃ vā
11.7.2	mūlena mūlam agreṇāgraṃ tvakpārśvordhvabilaṃ ca kartavyaṃ daṇḍasyāyāmaṃ dvādaśāṅgulaṃ mūlenāham aṣṭāṅgulam agranāhaṃ ṣaḍaṅgulaṃ tadūrdhve dvādaśāṅgulaṃ tasmiṃs tryaṅgulaṃ ghanaṃ ṣaḍaṅgulivistāram agraṃ gajasyoṣṭhavad vā bilaṃ nimnam agrāntaṃ ghṛtadhārāpātanārthaṃ kulyāṃ ca kārayet
11.7.3	dhruvāyā daṇḍasyordhvaṃ caturaṅgulaṃ ghanaṃ madhye dvyaṅgulanimnaṃ ceti viśeṣaḥ
11.7.4	juhūvadāyāmau darśapūrṇamāsāgnihotrārthau sruvau dvayoś ca daṇḍāyatam ekaviṃśatyaṅgulaṃ tanmūlam agraṃ ca pūrvavad daṇḍordhvaṃ tryaṅgulaṃ samavṛttaṃ dvyaṅgulaṃ ghanaṃ nāsikavad dvipuṭaṃ bilam
11.7.5	tatpuṭayor vistāraghananimnaṃ caikāṅgulam eteṣāṃ
11.7.6	bāhumātrāyāme 'py aviśeṣa ūrdhve sāgraṃ bilam ekam eveti vijñāyate
11.7.7	śiṣṭaṃ daṇḍāyāmaṃ kurvīta
11.7.8	sphyayasyāyāmo dviprādeśaḥ
11.7.9	tasya vistāraghanaṃ ca dvyaṅgulaṃ haṃsasya mukhavan mūlaṃ khananārtham agraṃ kuśatīkṣṇaṃ ca
11.8.1	śamyā juhūvadāyāmā tathaiva daṇḍasya mūlam agraṃ ca
11.8.2	daṇḍaṃ viṃśatyaṅgulam ūrdhve 'gre caturaṅgulaṃ padmasya mukulopamaṃ kumbam etasya bāhupramāṇe ca
11.8.3	evaṃ kumbaśeṣaṃ daṇḍāyataṃ kuryāt
11.8.4	aṣṭāṅgulivistārāyatā praṇītā caturaṅgulonnatā madhye ṣaḍaṅgulivistārāyatā tryaṅgulinimnā caturaśrā prasthārdhodakapūrṇā vṛttā vā tathā karoti dohanī ca prasthapayaḥpūrṇā
11.8.5	mekṣaṇaṃ sphyāyāmavistāraṃ ghanam ekāṅgulaṃ dvyaṅgulaṃ vā
11.8.6	caturaṅgulivistārāyatam agraṃ prāśitrapātraṃ dvādaśāṅgulāyāmam
11.8.7	tasya mūlaṃ tryaṅgulam unnataṃ caturaṅgulaṃ tadūrdhve navāṅgulāyataṃ ṣaḍaṅgulivistāraṃ ca
11.8.8	madhye dvādaśāṅgulāyataṃ caturaṅgulavistāraṃ tryaṅgulanimnaṃ tatpramāṇākarau gokarṇavad vā bhavetām
11.8.9	iḍāpātraṃ caturviṃśatyaṅgulāyataṃ tadūrdhvavistāram unnataṃ ca prādeśamūlavistṛtaṃ prādeśārdhaṃ bhittiḥ paritaś caikāṅgulā madhyataḥ śeṣavistārāyataṃ daśāṅgulaṃ nimnaṃ camasaṃ prasthapūrṇaṃ suvṛttaṃ caturaśraṃ vā bhavet
11.8.10	ulūkhalaṃ hastonnataṃ tasya nāhaṃ dviguṇaṃ paritobhitti dvyaṅgulāyatam aṣṭakaśeṣavistārāyataṃ bilam
11.8.11	tasya nimnaṃ ṣoḍaśāṅgulam
11.9.1	musalaṃ caturhastaṃ yajamānāyataṃ vā yuktanāhaṃ mūle 'yasā nibaddham
11.9.2	etau yāvatā havirdravyasyāvaghātayogyau tāvatpramāṇau vā
11.9.3	veṇuvetrakarīṣakeṣv ekenāratnimātrāyataṃ vṛttamūlaṃ viṃśatyaṅgulivistāram aṣṭādaśāṅgulivistāraṃ vā kramān nyūnaṃ dvyaṅgulāgraṃ śūrpam
11.9.4	yājñikaṃ yat kiṃcit kāṣṭhaṃ dvitāladīrghaṃ dhṛṣṭiḥ
11.9.5	adharā dṛṣad ūrdhvopalā ca dve peṣaṇyau saṃpeṣaṇaśakte
11.9.6	tathā grāvāṇau dvau yathoktayogyau
11.9.7	mṛnmayī prasthapūrṇājyasthālī
11.9.8	kāṃsyādilohamayīty eke
11.9.9	viṃśatyaṅgulivistārāyatā piṣṭasaṃyavanī pātrī suvṛttā catuḥprasthodakapūrṇā madantipayodohas tāvatpayaḥpūrṇā sāṃnāyyadadhikumbhyau ca saṃyukteṣu puroḍāśanidhānāya yāvattālaṃ taduktasaṃkhyāpramāṇāni kapālāni dvyaṅgulāyatavistārāṇi vā sarveṣāṃ mānam ardhāṅgulam
11.9.10	prasthataṇḍulapākā carusthālī haviḥśeṣadānokte dviprasthataṇḍulapākā vā prasthārdhataṇḍulapākā prasthacaturbhāgataṇḍulapākā vā
11.9.11	saṃsrāvasrotoyuktau
11.9.12	vṛttordhvakapālāgnihotrasthālī
11.9.13	droṇārdhataṇḍulapākānvāhāryasthālī
11.9.14	prasthapūrṇas tadardhapūrṇo vā śarāvaḥ syāt
11.10.1	karmaṇy adhike ca tathaivādhikāni pātrāṇi prakṣepaṇīyāni laukikāni bhāṇḍāni tattatkarmārhāṇi syuḥ
11.10.2	dviprādeśaiḥ kuśair yugmaiḥ prādeśavistṛtaṃ dvikānubaddham agre grathitaṃ copāharaṇīyaṃ kūrcaṃ tathaivopasādanīyaṃ camasam ādadāti
11.10.3	prādeśo vitastis tālam iti dvādaśāṅgulasya hasto 'ratnir iti caturviṃśatyaṅgulasya saṃjñā bhavet
11.10.4	si̍katāsūktāsu śuṣkāḥ sikatā grāhyāḥ
11.10.5	tāsv ārdratṛṇam utkāṣṭhāśmaloṣṭalomādīn visṛjet
11.10.6	paristaraṇakūrcapavitrādīnāṃ barhiruktau kuśān kāśān aśvavālān vā
11.10.7	tadalābhe sugandhitejanamuñjolapaśyāmākanīvārasasyadūrvātṛṇāny anyāni palālāni vā gṛhṇāti
11.10.8	śuṇṭhaśaraśūkaviśīrṇatṛṇanaḍadamūtavabalbajāni varjayet
11.10.9	paridhīdhmoktau palāśakhadirabilvāśvatthaśamīnāṃ śākhāḥ samidhaḥ paridhayaś ca mukhyāḥ
11.10.10	vikaṅkatodumbaranyagrodhaplakṣakārṣmaryapautudravarohītakādīnāṃ yajñoktavṛkṣāṇāṃ madhyamāḥ
11.10.11	tadanyavanaspatīnāṃ gauṇāḥ
11.10.12	svayaṃśuṣkā na grāhyāḥ
11.11.1	triparṇāḥ sarve palāśopamāḥ
11.11.2	sarvatra vihitadravyālābhe pratinidhiṃ gṛhṇīyāt
11.11.3	anāmikāṅgulināhā mukhyāḥ kaniṣṭhāṅgulināhā madhyamā nyūnanāhā gauṇāḥ
11.11.4	śamyodumbarāḥ paridhaya ity eke
11.11.5	mūlāgre vijñāya prāgagrāḥ samidho hotavyāḥ
11.11.6	nimbaśleṣmātakanīpatilvarājavṛkṣavibhītakaśalmalikovidārakarañjabādhakanirguṇḍipalāṇḍujapānāṃ samidhaḥ paridhīṃś ca varjayet
11.11.7	haviruktau yavanīvāraveṇuśyāmākavrīhijātipriyaṅgavo dhānyāni haviṣyāṇām
11.11.8	teṣām alābhe mūlakandaphalāni vā grāhyāṇi
11.11.9	sarveṣu dhānyeṣu varakakodārakodravāṇi varjanīyāni
11.11.10	ājyoktau gavyaṃ ghṛtaṃ śreṣṭham
11.11.11	tadabhāve ghṛtam ājaṃ māhiṣaṃ vā
11.11.12	tadabhāve payas tailaṃ sārṣapaṃ pratinidhiḥ
11.11.13	kusumbhātasīnārikelavṛkṣāṇāṃ sneham anyac ca yad rasavad bhojyaṃ tad vāpi piṣṭamiśrodakaṃ ca homyaṃ bhavati
11.11.14	abhojyaṃ gandharasaduṣṭaṃ ca varjanīyam
11.11.15	sarveṣāṃ pūrvaṃ pūrvaṃ śreṣṭhatamam
11.11.16	pūrveṣām alābhe 'paraṃ gṛhṇāty aparaṃ gṛhṇāti
12.1.1	athāgniṣṭomaṃ vyākhyāsyāmaḥ
12.1.2	yakṣyamāṇaḥ śraddhāvān prajñāvān śucir vidhyupārjitopakaraṇo yathottaropayogaṃ buddhvā saṃbhārān yatnena saṃbharati
12.1.3	brāhmaṇān ārṣeyān anivṛttavidyān annaśuddhyupetān lakṣaṇasaṃpannān ṛtvijaḥ ṣoḍaśa brahmaprathamān hotṛprathamān adhvaryuprathamān udgātṛprathamān vā vṛṇīte
12.1.4	prathamān mahartvijaś caturo vā
12.1.5	tān anyaḥ karmajño yajamānānujñāto 'bhivadaty amuṣya somo bhaviṣyatīti
12.1.6	ka ṛtvijaḥ ke yājayanti kaccin nāhīnaḥ kaccinna nyastam ārtvijyaṃ kaccit kalyāṇyo dakṣiṇā iti vijñāyata evaṃ tam ṛtvijaḥ pṛcchanti
12.1.7	athaita ṛtvija ete yājayanti nāhīno 'gniṣṭomo na nyastam ārtvijyaṃ kalyāṇyo dakṣiṇā iti sa tān pratyāha
12.1.8	bhūr bhuvaḥ suvar āyur me prāvoca iti yājayiṣyan japati
12.1.9	ayājayiṣyan namaḥ somāya rājña iti somaṃ rājānam upasthāya pratyācakṣīta
12.1.10	devo devam etv ity abhipravrajati
12.1.11	padvā nāmāsīti panthānam āsthāya pitaro bhūr iti triḥ pitṝn abhimantrayate
12.1.12	brāhmaṇācchaṃsī potā cāvaśiṣṭau brahmāṇau
12.1.13	acchāvāko grāvastuc ca hotārau
12.1.14	neṣṭonnetā cādhvaryū
12.1.15	udgātā prastotā pratihartā subrahmaṇyaś codgātāraḥ
12.1.16	abhigaro dhruvagopaḥ saṃsrāva sadasya iti sadasyāś catvāraś cety eke
12.1.17	vāsiṣṭhabhārgavāṅgirasāyāsyā mahartvijaḥ kramaśo bhavanti
12.1.18	śeṣāḥ kāśyapā bhāradvājā bhārgavā aṅgiraso vā
12.1.19	vaiśvāmitro hotety eke
12.1.20	api vā sarveṣāṃ yonir vṛttaṃ vidyā ca pramāṇam
12.1.21	daśaikādaśa vā camasādhvaryavaḥ
12.1.22	tān ekaikaśo vṛṇīte
12.2.1	candramā devo daivyo brahmety etair yathāliṅgam ṛtvija upāṃśu devān vṛtvāsau mānuṣa ity uccair mānuṣān āpo devīr daivyā hotrāśaṃsinya iti maitrāvaruṇaṃ brāhmaṇācchaṃsinaṃ hotāraṃ neṣṭāram acchāvākam āgnīdhram ity etān hotrakān raśmayo devā daivyā iti camasādhvaryūṃś ca tān yathopapādam alaṃkṛtya madhuparkaṃ dattvāmāvāsyāyāṃ paurṇamāsyāṃ vā dīkṣate
12.2.2	saṃvatsarād arvāg aparimitā dīkṣākalpā bhavanti
12.2.3	darśapūrṇamāsābhyām iṣṭvāgniṣṭomam āharet
12.2.4	eṣa prathamaḥ somānām atirātra ity eke
12.2.5	sarvebhyaḥ kāmebhyo 'gniṣṭomaḥ
12.2.6	tān yugapat kāmayeta
12.2.7	api vā pṛthakkāmaḥ pṛthagāharet
12.3.1	vasante vasante somena yajeta
12.3.2	tadā tisro dakṣiṇā iti vijñāyate
12.3.3	rathantarasāmā somo bṛhatsāmā vā
12.3.4	prathamaṃ rathantarasāmānam āharet paścād yathākāmam
12.3.5	paurṇamāsyām amāvāsyāyāṃ vā sutyam ahar bhavati dīkṣate vā
12.3.6	ekā dīkṣā tisro vā
12.3.7	tadā pañcamīṃ saptamīṃ vā prasutaḥ
12.3.8	deva varuṇeti rājānaṃ devayajanaṃ yācet
12.3.9	sa cen na dadyād anyaṃ rājānaṃ yācet
12.3.10	yadi dadyād devayajanavān bhūyā ity enam abhinandet
12.3.11	sa yadi na dadyād yad ahaṃ devayajanaṃ veda tasmiṃs tvā devayajana āchinadmīty etair yathāliṅgaṃ yajamāna ṛtvijaś cainam abhivyāharanti
12.3.12	yadi rājā yajamāno 'gnir hotā sa me hotety etair yathāliṅgam ṛtvijo devayajanaṃ yācet
12.3.13	api vā sarve na yācayeyuḥ sakṣedaṃ paśyeti devatā evopatiṣṭheta
12.4.1	yad dṛḍhasthaṇḍilaṃ śuddham uccatamam acchidram avalmīkam aniriṇam apāṣāṇaṃ samaṃ pratiṣṭhitaṃ prākpravaṇam udakpravaṇaṃ vā śuddhauṣadhi śuddhadravyaṃ pradakṣiṇodakaṃ śvetamṛttikaṃ pītamṛttikaṃ vā devabrāhmaṇajuṣṭam anāsuraṃ sunimitropalakṣitam
12.4.2	purastād devayajanād devayajanamātrā na śiṣṭā devayajanam ity ācakṣate
12.4.3	kalyāṇyo vā dakṣiṇā devayajane pramāṇam
12.4.4	edam aganma devayajanaṃ pṛthivyā iti yakṣyamāṇo devayajanam adhyavasyati
12.4.5	purohaviṣi devayajane yājayed iti brāhmaṇoktāni kāmyāni devayajanāni yathākāmam
12.4.6	atra sarvataḥ pariśritāṃ purastādunnatāṃ pratidigdvārāṃ prācīnavaṃśāṃ śālāṃ kurvanty uttarataḥpurastāt pañcamaṃ dvāram
12.4.7	avāntaradikṣu sraktayaḥ
12.4.8	sraktiṣv ārokāḥ
12.4.9	paścāt patnīśālā prāgdvārā
12.4.10	atha prāg dīkṣaṇīyāyā agnir yajurbhir iti saṃbhārayajūṃṣy āhavanīye hutvā vāgghoteti manasānudrutyānuvākena juhoti
12.4.11	dīkṣitānnaṃ na bhuñjate prāg agnīṣomīyād vibhakte yajñārthe śeṣād bhuñjīran krīte vā rājani
12.4.12	somāya rājñe śālāyāṃ pāyasamannaṃ lājāṃś cā krayād upāharanti
12.5.1	aparāhne dīkṣate yajamānaḥ pūrvāhṇe vā
12.5.2	athādhvaryur dīkṣaṇīyām iṣṭiṃ nirvapaty āgnāvaiṣṇavam ekādaśakapālaṃ ghṛte caruṃ vā
12.5.3	saptadaśa sāmidhenyaḥ
12.5.4	na yajamānabhāgaṃ karoti
12.5.5	na barhiṣadaṃ puroḍāśaṃ karoti
12.5.6	na dakṣiṇā
12.5.7	patnīsaṃyājāntaiṣā
12.5.8	ājyeḍāṃ bhakṣayitvā viramanti
12.5.9	dhruvāyāḥ śeṣaṃ karoti
12.5.10	āhavanīyaṃ cāvasthāpayati
12.5.11	atra prācīnavaṃśāṃ śālām eke samāmananti
12.5.12	yat prāg agnīṣomīyāt tad upāṃśu
12.5.13	mandreṇa dīkṣaṇīyāyāṃ vāgantenety eke
12.5.14	tato nīcaistarāṃ nīcaistarām
12.5.15	mandratareṇa mandratareṇety eke
12.5.16	upāṃśūpasatsu
12.5.17	uccair agnīṣomīye
12.5.18	atha nirgatya pūrveṇa dvāreṇottareṇa śālāṃ pariśrite yajamānasya keśaśmaśru vapate
12.5.19	āpa undantu jīvasa iti dakṣiṇaṃ godānaṃ vidāryonatti
12.5.20	oṣadhe trāyasvainam iti prāgagraṃ darbham antardhāya svadhite mainaṃ hiṃsīr iti kṣuraṃ tiryañcaṃ nidadhāti
12.6.1	devaśrūr etāni pravapa iti propya keśān sānaḍuhaśakṛdy udapātre prakṣipati
12.6.2	evam uttaraṃ godānam uptvā yajamāna oṣadhe trāyasvainam iti darbhe 'ntardhīyamāne japati svadhite mā mā hiṃsīr iti kṣure nidhīyamāne svasty uttarāṇy aśīyeti keśeṣūpyamāneṣu
12.6.3	nāpitāya kṣuraṃ prayacchati
12.6.4	śmaśrūṇy agre vapate 'thopapakṣāv atha keśān
12.6.5	abhyantaraṃ nakhāni nikṛntate prathamaṃ dakṣiṇahastasyāṅguṣṭhaprabhṛti tathā savyasya tathā padyāni
12.6.6	idam aham amuṣyāmuṣyāyaṇasyeti sakeśam udapātram udumbaramūle gūhayed darbhamūle vā
12.6.7	annādyāya vyūhadhvam ity audumbareṇa kāṣṭhena dato dhāvate
12.6.8	tīrthe lomaśe 'vakāvile sthāvarāsu hiraṇyam avadhāya snāti
12.6.9	yadi dūre tīrtham udapātre hiraṇyaṃ nidhāya snāti
12.6.10	mahāvyāhṛtyā jalam abhimantryedam āpaḥ śivā iti vigāhate
12.6.11	hiraṇyavarṇāḥ śucayaḥ pāvakā iti catasra āpo asmān mātaraḥ śundhantv iti ca japitvā snāti
12.6.12	ud ābhyaḥ śucir ā pūta emīty uttīrya payasvatīr oṣadhaya ity apo 'śnāti
12.6.13	somasya tanūr asīti kṣaumam ahataṃ vāsaḥ pradakṣiṇaṃ paridhāya sūryasya vāso 'sīti nīvīm anukalpayate
12.7.1	ūrje tveti manasaḥ pratipriyam annam aśnāti sarpirmiśraṃ dadhyupasekam
12.7.2	ata ūrdhvaṃ kanīyaḥ kanīyo vratayati
12.7.3	āśitasya keśān vapatīty eke
12.7.4	gavyaṃ navanītam udapātre sadarbhe nidadhāti
12.7.5	athainan mahīnāṃ payo 'sīti pāṇibhyāṃ pramlāya varcodhā asi varco mayi dhehīti mukham ārabhyānulomam ā pādābhyāṃ triḥ parācīnam aṅgāni sarvāṇy abhyaṅkte
12.7.6	pṛṣṭham anyo 'syābhyanakti
12.7.7	vṛtrasya kanīnikāsīti traikakudenāñjanapiṣṭenānyena vāñjīta satūlayā śareṣīkayā darbhapuñjīlena vānidhāvamānas triḥ pūrvadakṣiṇam akṣi dviḥ savyam
12.7.8	api vā dve pañcakṛtvaḥ
12.7.9	bahiḥ śālāyā uttareṇa prāgvaṃśam ekaviṃśatidarbhakūrcais tridhā vibhaktaiś citpatis tvā punātv ity etaiḥ pratimantraṃ dvir upariṇābhy unmṛjya pradakṣiṇaṃ sakṛd avāṅ mārṣṭi
12.7.10	acchidreṇa pavitreṇeti sarvatrānuṣajati
12.7.11	rājasūya ekaśatena kūrcaiḥ
12.7.12	citpatir mā punātu pavamānaḥ suvarjana ity etam anuvākam unmṛjyamāno yajamāno japati yad devā devaheḍanam iti tasya te pavitrapate pavitreṇeti ca
12.7.13	athaitāni karmāṇi pratiprasthātāparasmin pariśrite tūṣṇīṃ patnyāḥ karoti
12.7.14	undanādivapanāntaṃ na karotīty eke
12.7.15	ā vo devāsa īmaha iti yajamānaḥ pūrveṇa dvāreṇa śālāṃ praviśya vidyud asīty apa upaspṛśyendrāgnī dyāvāpṛthivī ity apareṇāhavanīyam atikramya dakṣiṇatas tiṣṭhaṃs tvaṃ dīkṣāṇām adhipatir asīty āhavanīyam upatiṣṭhate
12.7.16	tasyaiṣa saṃcaro yāvatsutyam
12.8.1	ākūtyai prayuje 'gnaye svāhety etair adhvaryur dhruvaśeṣād audgrahaṇāni pañca juhoty ādyāni catvāri sruveṇa srucā pañcamīm
12.8.2	etā dīkṣāhutayaḥ
12.8.3	vācā me vāg dīkṣatāṃ svāhety etair etāsu hūyamānāsu yajamāno 'dhvaryum anvārabhya japati
12.8.4	adhvaryur dvādaśagṛhītena srucaṃ pūrayitvā viśve devasya netur iti pūrṇāhutiṃ ṣaṣṭhīṃ juhoti
12.8.5	vātaṃ prāṇam iti yajamānas tām anumantrayate
12.8.6	atha kṛṣṇājinena dīkṣate
12.8.7	dakṣiṇaṃ pūrvapādaṃ bahirlomam antarmāṃsaṃ syūtaṃ karoti
12.8.8	indra śākvara gāyatrīm iti dakṣiṇenāhavanīyaṃ tat prācīnagrīvam uttaralomāstṛṇāti
12.8.9	ṛksāmayoḥ śilpe stha iti śuklakṛṣṇe sandhī saṃmṛśate śuklam aṅguṣṭhena kṛṣṇām aṅgulyā
12.8.10	imāṃ dhiyam iti dakṣiṇaṃ jānv ācya bhasanta ārohatīmāṃ su nāvam āruham iti
12.8.11	āhaṃ dīkṣām iti cāruhya japati
12.8.12	atha mekhalayā dīkṣate
12.8.13	sā śaramuñjamiśrā veṇī trivṛd ekataḥpāśā
12.8.14	tayor gasyāṅgirasīti yajamānam antarā vāsasaḥ pradakṣiṇaṃ parivyayati
12.8.15	pūṣā te granthiṃ grathnātv ity uttareṇa nābhiṃ niṣṭarkyaṃ granthiṃ grathnāti
12.8.16	sa te māsthād iti nābher dakṣiṇataḥ paryūhya sthāpayati
12.9.1	patnīṃ yoktreṇa dīkṣayati
12.9.2	tāṃ pratiprasthātā saṃ tvā nahyāmīti pūrvavat saṃnahyati
12.9.3	tato 'syāḥ śirasi jālaṃ pratimuñcati
12.9.4	viṣṇoḥ śarmāsīti yajamāno 'hatena vāsasā sadakṣiṇāṃsaṃ śiraḥ prorṇute
12.9.5	indrasya yonir asīti trivaliṃ pañcavaliṃ vā śāṇyā mauñjyā vā rajjvā paritṛṇṇāṃ kṛṣṇaviṣāṇāṃ yajamānasya vāsodaśāyāṃ badhnāti
