#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
5.1.5.82	tvaṃ no agne sa tvaṃ no agna iti haviṣaḥ
5.1.6.1	saumāraudraṃ ghṛte caruṃ nirvapec chuklānāṃ vrīhīṇāṃ prādeśamātraṃ brahmavarcasakāmaḥ
5.1.6.2	śvetānāṃ gavām ājyam
5.1.6.3	taiṣyāṃ paurṇamāsyāṃ yajeta
5.1.6.4	nāsya tāṃ rātrīm apo gṛhān prahareyuḥ
5.1.6.5	ājyasyodakārthān kurvantīṣṭyām agnihotre ca
5.1.6.6	pariśrityodyatsu raśmiṣu pracarati
5.1.6.7	agniṃ vaḥ pūrvyaṃ girā makṣū devavata iti manor ṛcaḥ ṣaḍdhāyyāḥ
5.1.6.8	vārtraghnāv ājyabhāgau
5.1.6.9	somārudrā yuvam iti dve haviṣaḥ
5.1.6.10	gāyatryau saṃyājye
5.1.6.11	sadyaḥ saumāpauṣṇena yajetāntataḥ paurṇamāsyā
5.1.6.12	saumāraudraṃ caruṃ nirvapet kṛṣṇānāṃ vrīhīṇām abhicaran
5.1.6.13	śaramayaṃ barhir vaibhīdaka idhmaḥ
5.1.6.14	somārudrā vivṛhatam iti dve haviṣaḥ
5.1.6.15	saumāraudraṃ caruṃ nirvapet kṛṣṇaśuklānāṃ vrīhīṇāṃ yaḥ kāmayeta dvitīyo 'sya sapatno viṣaye syād iti
5.1.6.16	ardhaṃ śaramayaṃ barhir bhavaty ardho vaibhīdaka idhmaḥ
5.1.6.17	kṣīrotsikte śrapayati
5.1.6.18	saumāraudrīm āmikṣāṃ nirvapet
5.1.6.19	āmayāvinaṃ yājayet
5.1.6.20	jīvitavān kalpaḥ
5.1.6.21	sāmidhenīr anuvakṣyan hotā svapāṭhaḥ saṃmukhaṃ pariṇahyate / samāpte 'raṇyaṃ parāṇīya vidarśayet
5.1.6.22	tasmā anaḍvāhaṃ dadyāt taṃ ghnīta tasyāśnīyād anneṣṭidakṣiṇā
5.1.6.23	āgnāvaiṣṇavam ekādaśakapālaṃ nirvaped abhicarann abhicaryamāṇo vā
5.1.6.24	sarasvatīm apy ājyasya yajet
5.1.6.25	abhicaryamāṇasya prāyaścittiḥ kalpo vārtraghno 'bhicarataḥ
5.1.6.26	agnāviṣṇū sajoṣasāgnāviṣṇū mahi dhāma priyaṃ vām ity āgnāvaiṣṇavasya // pāvakā naḥ sarasvatī sarasvaty abhi no neṣi vasya iti sārasvatasya
5.1.6.27	cakṣuṣkāmasya viśvavantāv ājyabhāgau
5.1.6.28	virājau saṃyājye
5.1.6.29	śatamāno dakṣiṇā
5.1.6.30	āgnāvaiṣṇavam ekādaśakapālaṃ nirvaped abhicaryamāṇasya vyākhyātāḥ
5.1.6.31	tathā sāṃgrāmikīṃ yadi manyeta prati purastāc carantīty agnāviṣṇū sajoṣaseti tisraḥ / tāsāṃ dve puronuvākye kuryād ekāṃ yājyāṃ tathā sārasvatasya
5.1.6.32	āgnāvaiṣṇavaṃ prātaraṣṭākapālam ity adhvarakalpāhnaḥ kāleṣu / pṛthaktantrānūbandhyākāle maitrāvaruṇa ekakapālaḥ payasyā vā
5.1.6.33	yasya bhrātṛvyaḥ somena yajeta sutyādhvarakalpaṃ saṃdadhyāt
5.1.6.34	vārtraghnaḥ kalpaḥ
5.1.6.35	āgnāvaiṣṇavasyāmnāte / tathā sārasvatasya
5.1.6.36	bṛhaspate juṣasva na evā pitra iti bārhaspatyasyottare maitrāvaruṇasya
5.1.6.37	aṣṭame catasro nigadavyākhyātāḥ
5.1.6.38	vṛṣṭikāmasyāurvabhṛguvad āsavam iti dhāyye / ṣaḍ uttarā ājyabhāgahaviḥsviṣṭakṛtām
5.1.6.39	mārutam adhiśritya prāk paryagnikaraṇāt priyaṅgave gomūtrasyāścotayet
5.1.6.40	priyā vo nāma śriyasa iti dve haviṣaḥ
5.1.6.41	trayodaśakapāle yadi gauḥ sā dakṣiṇā / yathākāmaṃ putrayoḥ
5.1.6.42	prāyaścittiḥ kalpaḥ
5.1.6.43	maruto yad dha vo divaḥ praiṣām ajmeṣv iti haviṣaḥ
5.1.6.44	saptakapāle kayāśubhīyasyaikādaśa sāmidhenīḥ / triḥ prathamottame
5.1.6.45	agnī rakṣāṃsi sedhatīty ājyabhāgau
5.1.6.46	catasro 'tiśiṣṭā haviḥsviṣṭakṛtām
5.1.7.1	aindram ekādaśakapālaṃ nirvapen mārutaṃ saptakapālaṃ rājanyaṃ bhūtikāmaṃ yājayet
5.1.7.2	indraṃ vo viśvatas pary ā te śuṣma ity aindrasyottare mārutasya
5.1.7.3	aindram ekādaśakapālaṃ nirvapen mārutaṃ saptakapālaṃ yaḥ kāmayeta viṭ ca kṣatraṃ ca samāsādyeyātām iti
5.1.7.4	yadi kāmayetāturmuhyaṃ syād iti haviṣī āsādya pūrvārdhe 'nyāṃ grāmasya gām apākuryāt paścārdhe 'nyām api / te saṃgachete
5.1.7.5	vārtraghnaḥ kalpaḥ
5.1.7.6	aindrasyāvadāyendrāyānubrūhīty anuvācayati
5.1.7.7	ā tū na indrety anvāha
5.1.7.8	āśrāvya maruto yajeti preṣyati
5.1.7.9	ṛṣṭayo vo maruta iti yajati
5.1.7.10	mārutasyāvadāya marudbhyo 'nubrūhīty anuvācayati
5.1.7.11	maruto yad dha vo balam ity anvāha
5.1.7.12	āśrāvyendraṃ yajeti preṣyati
5.1.7.13	tvaṃ mahaṃ indreti yajati
5.1.7.14	purutrā hi sadṛṅṅ asīti saṃyājye
5.1.7.15	yathejyam upalakṣyate sviṣṭakṛti sūktavāke ca
5.1.7.16	yadi kāmayeta kalpetety ete eva haviṣī nirupya yathāyathaṃ yajet / kalpate 'ha
5.1.7.17	aindram ekādaśakapālaṃ nirvapen mārutaṃ saptakapālam abhicaran
5.1.7.18	upariṣṭād aindrasyāvadyed aparyāvartayann adhastān mārutasya
5.1.7.19	aindram ekādaśakapālaṃ nirvapen mārutīm āmikṣāṃ rājanyaṃ grāmakāmaṃ yājayet
5.1.7.20	pātryāṃ vyuduhyāmikṣāmadhye puroḍāśaṃ nidhāya samavadāya pracarati
5.1.7.21	indramarudbhyo 'nubrūhīty anuvācayati
5.1.7.22	āśrāvyendramaruto yajeti preṣyati
5.1.7.23	aindrāmārutyau yājyānuvākye
5.1.7.24	mārutam ekaviṃśatikapālaṃ nirvaped abhicaran
5.1.7.25	ājyabhāgābhyāṃ pracarya barhiṣi puroḍāśaṃ nidhāya sphyenedam aham amuṣyāmuṣyāyaṇasyeti sphyena prāñcaṃ saṃbhinatti
5.1.7.26	enā vyāghram iti sphyaṃ saṃstauti
5.1.7.27	kālātipattau pāthikṛtī paśau darśapūrṇamāsayoś cāturmāsyaparvasu navāśane vāgrāyaṇasya
5.1.7.28	vrātapatyakāmāśruṣu vrātapatī
5.1.7.29	catasṛṇāṃ prāyaścittiḥ kalpo vārtraghnas tisṛṇām
5.1.7.30	agne nayeti ṣoḍaśa haviṣām
5.1.7.31	viṣṇum apyājyasya yajet
5.1.7.32	agnaye rudravate 'ṣṭākapālaṃ nirvaped yaḥ kāmayetarudrāyāsya paśūn apidadhyād iti
5.1.7.33	yadi kāmayeta śāmyed ity agnaye surabhimate 'ṣṭākapālaṃ nirvapet
5.1.7.34	vyākhyātam ājyabhāgahaviḥsviṣṭakṛtām
5.1.7.35	agnaye 'nnavate 'nnādāyānnapataye 'ṣṭākapālam aṣṭākapālān vā
5.1.7.36	vairājaḥ kalpaḥ
5.1.7.37	ukṣānnāya vātopadhūta iti haviṣaḥ
5.1.7.38	agnaye rakṣoghne 'ṣṭākapālaṃ nirvaped yo rakṣobhyo bibhīyāt
5.1.7.39	naktaṃ yājayet
5.1.7.40	kṛṇuṣva pāja ity ekādaśa sāmidhenīḥ / triḥ prathamottame
5.1.7.41	agnī rakṣāṃsi sedhatīty ājyabhāgau
5.1.7.42	catasro 'tiśiṣṭā haviḥsviṣṭakṛtām
5.1.7.43	āgneyam aṣṭākapālaṃ nirvaped yo rāṣṭre spardhetānnādyakāmo vā
5.1.7.44	siddham āsādanāt
5.1.7.45	ojo 'sīti havīṃṣy āsannāny abhimṛśet
5.1.7.46	etenaiva prāk sviṣṭakṛto juhoti
5.1.7.47	yukṣvā hi devahūtamān iti nava dhāyyāḥ / ṣaḍ uttarā ājyabhāgahaviḥsviṣṭakṛtām
5.1.7.48	aindrābārhaspatyaṃ havir nirvaped yo rāṣṭrīyo na vijayeta
5.1.7.49	bṛhaspataye nirupyendrāya saṃskṛtyobhābhyāṃ pracaret
5.1.7.50	vārtraghnaḥ kalpaḥ
5.1.7.51	idaṃ vām āsya iti dve haviṣaḥ
5.1.8.1	ādityaṃ ghṛte caruṃ nirvapen niruddhaṃ yājayet
5.1.8.2	siddham ā nirvapaṇāt
5.1.8.3	purastāt sāvitrasya japet
5.1.8.4	ādityā bhāgaṃ vaḥ kariṣyāmy amum āmuṣyāyaṇam avagamayateti niruddhasya nāma gṛhṇīyāt
5.1.8.5	havīṃṣy āsādya saptāśvatthān mayūkhān antarvedi purastāt prakṣṇutān nidadhāti
5.1.8.6	tān saṃsthite rathavāhanasya madhyameṣāyām atihanyāt
5.1.8.7	idam aham ādityān badhnāmy āmuṣyāvagama iti niruddhasya nāma gṛhṇīyāt
5.1.8.8	yadi saptāhe nāvagached idhme mayūkhān upasaṃnahyaivaṃ dviḥ saptāhe saptāhe yajeta
5.1.8.9	yadi prathame nāvagached uttarābhyām iṣṭvā dhārayadvatyā yajeta
5.1.8.10	yadi dvitīya uttarayā yajeta / yady uttame 'ntato dhārayadvatyā
5.1.8.11	dārśapaurṇamāsika idhme mayūkhān upasaṃnahyāpi vādite 'numanyasva satyāśīr iha mana iti niruddhasya dakṣiṇāt padāt pāṃsūn apādadīta / tadyaḥ purastādgrāmyavādīva syāttasminsabhāyāmupapiṣṭe 'bhivātaṃ pāṃsūndhvaṃsayeyuḥ preta marutaḥ svatavasa enā viśpatyāmuṃ rājānamabhīti
5.1.8.12	grāmyavādino gṛhād vrīhīn āhṛtya tredhā tān vicinuyād ye kṛṣṇās tān kṛṣṇājina upanahya nidadhyād ye śuklās tam ādityaṃ ghṛte caruṃ nirvapet
5.1.8.13	ādityaṃ saṃsthāpya yebhyo 'dhi vicinuyāt tān udaṅ paretya valmīkavapām udrujya yad adya te ghora āsann iti juhoti
5.1.8.14	pratyetya vāruṇena yajetāntato dhārayadvatyā
5.1.8.15	tāsām ehy ū ṣu bravāṇi ta imaṃ yajñam iti hūtavantāv ājyabhāgau
5.1.8.16	tyān nu kṣatriyān yebhyo māteti haviṣaḥ
5.1.8.17	nitye saṃyājye
5.1.8.18	dhārayadvatyāṃ vārtraghnaḥ kalpaḥ
5.1.8.19	dhārayanta ādityāsa iti dve haviṣaḥ
5.1.9.1	sauryaṃ ghṛte caruṃ nirvapec chuklānāṃ vrīhīṇāṃ brahmavarcasakāmaḥ
5.1.9.2	udvāsayañ śātamānikau rukmau rājatam adhastāt kuryād dharitam upariṣṭāt
5.1.9.3	prayājeprayāje triyavaṃ kṛṣṇalaṃ juhoti
5.1.9.4	saumāraudraṃ tantram
5.1.9.5	tat sūryasya bhadrā aśvā iti haviṣaḥ
5.1.9.6	śatakṛṣṇalāyāṃ catvāricatvāri kṛṣṇalāny avadānam ekaṃ prāśitram ekam avāntareḍā
5.1.9.7	caruṃ brahmaṇe pariharati
5.1.9.8	niścūṣya bhakṣān upayachanti
5.1.9.9	jīvitavān kalpaḥ
5.1.9.10	hiraṇyagarbho yaḥ prāṇata iti haviṣaḥ
5.1.9.11	bārhaspatyaṃ caruṃ nirvapet purodhākāmaḥ
5.1.9.12	tasyā grāmakāmaṃ tantram
5.1.9.13	aindrābārhaspatyasyāmnāte
5.1.9.14	bārhaspatyaṃ caruṃ nirvapet payasi grāmakāmaḥ paśukāmo vā
5.1.9.15	bahupuṣṭasya gṛhāt kṣīram āhṛtya svāsāṃ ca gavāṃ praṇītodakena saṃsṛjya caruṃ śrapayati
5.1.9.16	brāhmaṇaspatyaṃ caruṃ nirvapet saṃgrāmaṃ jigīṣan senayoḥ saṃdṛśyamānayoḥ
5.1.9.17	udbarhiḥ prastara iṣuṇāṃ bāṇavantaḥ paridhayaḥ pattrato mūlāni
5.1.9.18	prastaram anupraharan pātryām upādadhīta
5.1.9.19	brāhmaṇaspatyaṃ caruṃ nirvaped yatra kāmayeta brahmabalaṃ syād iti
5.1.9.20	bṛhaspatiḥ prathamaṃ jāyamāna ity aṣṭau haviṣām
5.1.9.21	na bṛhatyā vaṣaṭkaroti
5.1.9.22	anuvākyāyāś catvāry akṣarāṇi yājyām abhyatyūhati
5.1.9.23	uttiṣṭha brahmaṇaspate devayantas tvemahe / upa prayantu marutaḥ sudānavās indra prāśom / ity anvāha // bhavā sacāgnir uktha iti yaja
5.1.9.24	gārmute bṛhaspate juṣasva na evā pitra iti bārhaspatyasya / saumāpauṣṇasyāmnāte
5.1.9.25	prājāpatyam adhiśritya prāk paryagnikaraṇād gārmute gomūtrasyāścotayet
5.1.9.26	vāstvamayaḥ kaṇikaḥ
5.1.9.27	prāyaścittiḥ kalpaḥ
5.1.9.28	namas te rudra manyava imā rudrāyeti haviṣaḥ
5.1.9.29	niṣādasthapater iṣṭiḥ
5.1.9.30	āmnātā dakṣiṇā
5.1.9.31	rājā parameṣṭhikāmaḥ parameṣṭhine dvādaśakapālaṃ nirvapet
5.1.9.32	prāk sviṣṭakṛto 'dhijyaṃ dhanus tisraś ceṣūr agniṣ ṭe teja iti yajamānāya prayachati / sā dakṣiṇā
5.1.9.33	vaiśvadevaṃ dvādaśakapālaṃ nirvaped bhrātṛvyavān
5.1.9.34	ājyabhāgābhyāṃ pracarya barhiṣi puroḍāśaṃ nidhāya sphyenedam ahaṃ māṃ cāmuṃ ca vyūhāmīti yaṃ dviṣyāt tasya nāma gṛhṇīyād barhiṣy avasannaṃ sphye ca śliṣṭaṃ tad viṣṇava urukramāyāvadyet
5.1.9.35	taṃ punaḥ samūhed idam ahaṃ māṃ cāmuṃ ca samūhāmīti yo 'sya priyaḥ syāt tasya nāma gṛhṇīyād anāvāhya pūrvaṃ viṣṇum urukramaṃ yajet
5.1.9.36	indrāṇyai caruṃ nirvapet senāyām uttiṣṭhantyām idhme balbajān upasaṃnahya
5.1.9.37	śrīkāmasya bhūtikāmaṃ tantram
5.1.9.38	ko addhā vedeti daśa haviṣām
5.1.10.1	agnaye vasumata iti caturhaviṣaḥ saṃjñānī
5.1.10.2	ya ichet samānaṃ mā śreṣṭhibhiḥ saṃmanyerann iti sa etayā yajeta
5.1.10.3	tasyā grāmakāmaṃ tantram
5.1.10.4	samavadāya pracarati
5.1.10.5	agnaye vasumate somāya rudravata indrāya marutvate varuṇāyādityavate 'nubrūhīty anuvācayati
5.1.10.6	āśrāvyāgniṃ vasumantaṃ somaṃ rudravantam indraṃ marutvantaṃ varuṇam ādityavantaṃ yajeti preṣyati
5.1.10.7	agniḥ prathamaḥ sam agnir iti haviṣaḥ
5.1.10.8	saṃjñāta evaindreṇa yajeta
5.1.10.9	saṃjñānaṃ no divety etābhir ubhayoḥ prāksviṣṭakṛto juhoti
5.1.10.10	āgneyam aṣṭākapālam iti caturhaviṣā hiraṇye naṣṭe yajeta
5.1.10.11	rayimantāv ājyabhāgau
5.1.10.12	agne dā ity aṣṭau haviṣām
5.1.10.13	sanimatyau saṃyājye
5.1.10.14	vindetaiva punar yajeta
5.1.10.15	rājayakṣmagṛhīto 'māvāsyāyām ācamanāntaṃ kṛtvānyad idhmābarhiḥ saṃnahya niśi vaiśvadevena yajeta
5.1.10.16	prāyaścittiḥ kalpaḥ
5.1.10.17	pūrvāparam iti dve haviṣaḥ
5.1.10.18	yathādityā iti prāk sviṣṭakṛto juhoti
5.1.10.19	indrāya rājña iti trihaviṣarddhir uttarauttaraḥ puroḍāśo varṣīyān
5.1.10.20	tasyā grāmakāmaṃ tantram
5.1.10.21	prācyāṃ diśīti tisro haviṣām
5.1.10.22	indrāya rājñe 'nubrūhī-- prathamām anvāhendraṃ svarājānaṃ yaja madhyamayā yajati
5.1.10.23	indrāya svarājñe 'nubrūhī-- madhyamām anvāhendram adhirājānaṃ yaja uttamayā yajati
5.1.10.24	indrāyādhirājāyānubrūhy etām evānvāhendraṃ rājānaṃ yaja pūrvayā yajati
5.1.10.25	yathejyam upalakṣyate sviṣṭakṛti sūktavāke ca
5.1.10.26	tejaskāmasya bhūtikāmaṃ tantram
5.1.10.27	uttarā paśukāmasya
5.1.10.28	ā yasminn iti haviṣoś catasraḥ
5.1.10.29	ārkavatasyottaraḥ
5.1.10.30	indrāyārkavata iti catasraḥ
5.1.10.31	niruddhasya hūtavantāv ājyabhāgau
5.1.10.32	nitye saṃyājye
5.1.10.33	vaśā dakṣiṇā
5.1.10.34	yaḥ kāmayeta parajanapade ma ṛdhyeteti / tasyā grāmakāmaṃ tantram
5.1.10.35	gataśrīḥ śriyo na vyacyeyeti yajeta
5.1.10.36	prāyaścittiḥ kalpaḥ
5.1.10.37	yaḥ kāmayeta bahudakṣiṇena yajñena yajeyeti / tasyāḥ paśukāmaṃ tantram
5.1.10.38	indrāya gharmavata iti caturhaviḥ
5.1.10.39	ā te maho yo jāta eveti manasvataḥ / āmnāta itareṣām
5.1.10.40	indrāyāṃhomuca iti sapta
5.1.10.41	tṛtīyayā jyeṣṭhaḥ kulīnaḥ saṃpanno yajeta
5.1.10.42	dvayoḥ prāyaścittiḥ kalpo / grāmakāmaṃ tantram ekasyāṃ / vārtraghna uttarāsām
5.1.10.43	viveṣa yad iti caturdaśa haviṣām
5.1.10.44	aindram ekakapālam iti sapta
5.1.10.45	indrāya vajriṇa iti trihavir yasya bhrātṛvyaḥ somena yajeta
5.1.10.46	sutyeṣṭiṃ saṃdadhyāt
5.1.10.47	hūtavantau pūrvayor vārtraghna uttarāsām
5.1.10.48	arvāvato na āgahīti caturdaśa haviṣām
5.1.10.49	indraṃ nara iti trayodaśakapāle prāk sviṣṭakṛto juhoti
5.1.10.50	indrāya manyumata iti tisraḥ
5.1.10.51	yaṃ jīvagrāhaṃ gṛhṇīyus taṃ vikṛnteyuḥ
5.1.10.52	ya iched āḍhyo 'nupavādaḥ syām iti sa yakṣyamāṇaḥ saṃvatsaraṃ mana iti na brūyāt
5.1.10.53	ā te maho yo jāta eveti catasro haviṣām
5.1.10.54	pūrve prathamottamayoḥ
5.1.10.55	yasya sāṃnāyyaṃ candramā abhyudiyād vaikṛtībhyo nirupya taṇḍulāṃs tredhā vibhajet
5.1.10.56	tūṣṇīṃ prātardohaṃ piṣṭeṣu piṣṭacarum
5.1.10.57	śṛte vibhajya pracarati
5.1.10.58	prāyaścittiḥ kalpaḥ
5.1.10.59	agne dā dā no agna ity āgneyasya
5.1.10.60	kim it te viṣṇa ity uttarayoś catasra uttare pūrvasya
5.1.10.61	paśukāmo 'māvāsyāyām iṣṭvā tūṣṇīṃ sarvān vatsān apākaroti
5.1.10.62	iḍām agna iti ṣaḍ ḍhaviṣām
5.1.10.63	āgneyam aṣṭākapālam iti trihaviḥ
5.1.10.64	uttamāyāṃ girim upanipīḍya yajetāpo vā
5.1.10.65	somavāminaḥ prāyaścittiḥ kalpaḥ
5.1.10.66	tvā yujā tava tat someti dve haviṣaḥ
5.1.10.67	āmnātaṃ śrayaṇam āmnātaṃ śrayaṇam
5.2.1.1	āgneyam aṣṭākapālaṃ nirvapen maitrāvaruṇīṃ payasyāṃ / tasyāḥ samānadevatam ekādaśakapālaṃ dvādaśakapālaṃ vā / tūṣṇīm upacaritāṃś caikakapālān
5.2.1.2	siddham ā pracaraṇāt
5.2.1.3	āgneyena pracaryottaraṃ puroḍāśam ābhikṣayā prachādya tāṃ caturdhā vyudūhati yā vāṃ mitrāvaruṇā ojasvyetiprabhṛtibhiḥ prācīnaṃ prathamaṃ pradakṣiṇaṃ brāhmaṇasyendrāvaruṇau iti rājanyasyāgnivaruṇāv iti vaiśyasya / samavadāya pracaraty upastaraṇābhighāraṇaiḥ saṃpātam ekakapālāñ juhoti yas te rājan varuṇa deveṣv anne dvipātsu catuṣpātsu paśuṣv oṣadhīṣu vanaspatiṣv apsu pṛthivyāṃ dikṣu yas te rājan varuṇeti sarvatrānuṣajati
5.2.1.4	yā vāṃ mitrāvaruṇā ojasyetiprabhṛtibhiḥ samuhya sviṣṭakṛte samavadyatīḍāyai ca
5.2.1.5	yathākāmaṃ tantram
5.2.1.6	indrāvaruṇā samrāḍ ity aindravāruṇasya
5.2.1.7	vaiśvadevaṃ caruṃ nirvaped bhrātṛvyavān
5.2.1.8	navanītena śrapayati
5.2.1.9	viśvāhendra iti dve haviṣaḥ
5.2.1.10	etayā grāmakāmo yajeta
5.2.1.11	sarveṣāṃ grāmiṇāṃ gṛhād ājyam āhṛtya caruṃ śrapayati
5.2.1.12	siddham ā paridhīnāṃ paridhānāt
5.2.1.13	paridhīn anumantrayate dhruvo 'sīti madhyamam ugro 'sīti dakṣiṇam abhibhūr asīty uttaraṃ // paribhūr asīty āhavanīyaṃ sūrir asīty ādityam
5.2.1.14	siddham odvāsanāt
5.2.1.15	śuktyākṛtyāmanapātraṃ mṛnmayaṃ dārumayaṃ vā tasmiṃś caror avasrāvayati
5.2.1.16	āmanasya deva ye sajātāḥ samanasa itiprabhṛtibhir āmanapātreṇa prāk sviṣṭakṛtaś catasra āhutīr juhoti
5.2.1.17	kutrā cid iti saṃyājye
5.2.1.18	pṛṣatī gaur dhenur dakṣiṇā
5.2.1.19	yāvato 'śvān pratigṛhṇīyāt tāvataś catuṣkapālān vāruṇān nirvaped ekaṃ cādhyaponaptrīyaṃ carum
5.2.1.20	yas te rājan varuṇa gāyatrachandā itiprabhṛtibhiḥ prāk sviṣṭakṛtaś catasra āhutīr juhoti
5.2.1.21	evaṃ yadi punaḥ pratigrahīṣyan syād atha ca punaḥ pratigṛhṇīyād ardhān vāruṇān nirvapet sauryavāruṇān ardhān
5.2.1.22	yukṣvādhikaḥ sauryavāruṇānām ity aponaptrīyaḥ
5.2.1.23	samānam anyat
5.2.1.24	ekaviṃśatiḥ sāmidhenīḥ
5.2.1.25	pṛthupājās taṃ sabādha iti ṣaḍ dhāyyāḥ
5.2.1.26	prāyaścittiḥ kalpaḥ
5.2.1.27	āmnāte vāruṇānām
5.2.1.28	yad adya sūryeti sauryavāruṇānām
5.2.1.29	upemasṛkṣītyaponaptrīyasya
5.2.1.30	uttarābhyām apsu juhoti
5.2.2.1	āmayāvyāyuṣkāmeṣṭyā yajeta
5.2.2.2	āgnāvaiṣṇavam ekādaśakapālam iti trihaviḥ pūrvedyuḥ pañcahavir aparedyuḥ
5.2.2.3	tasyāṃ prāk sviṣṭakṛtaḥ kāṃsye camase vā pañcagṛhītaṃ gṛhṇāti
5.2.2.4	hiraṇyaṃ baddhvā darbheṇāgner āyur asīti pañcagṛhīte 'vadadhāti
5.2.2.5	indrasya prāṇo 'sīti pūrvārdhe juhoti pradakṣiṇam uttarair anuparikrāman pratiparikramya pañcamena madhye
5.2.2.6	yan navam aid iti pānāya ghṛtam ānīya hiraṇyam uddharati pāvamānasyeti tṛtīyamātraṃ bṛhatā tveti dvibhāgam agneṣ ṭvety uddhṛtya tīre nidadhāti
5.2.2.7	agreṇāhavanīyaṃ paryāhṛtya tejo 'sīti yajamānāya prayachati
5.2.2.8	idaṃ varca iti yajamānaḥ pratigṛhṇāti
5.2.2.9	hiraṇyam abhivyādāya nirdhayan pibati
5.2.2.10	prakṣālyemam agna iti yajamānāya badhnāti
5.2.2.11	agnir āyur iti brahmaṇo hastam ālabhya sarva ṛtvijaḥ paryāhur brahmā yajamānasya
5.2.2.12	dakṣiṇākāle daśataṃ dadāti
5.2.2.13	jīvitavān kalpaḥ
5.2.2.14	agna āyūṃṣy āyurdā deveti daśa haviṣām
5.2.2.15	āgneyam aṣṭākapālam iti caturhaviḥ pañcahavir vā ye paśavo ya ichet prajananena me paśavo bahavaḥ syur iti
5.2.2.16	atha ced upanameta purastāt saṃsṛṣṭasyendrāyaikādaśakapālaṃ nirvapet prājāpatyaṃ saṃsṛṣṭam
5.2.2.17	udvāsanavelāyāṃ kāṃsye camase vopastīrya dadhi madhu ghṛtaṃ dhānā udakaṃ pavitrāntarhita ānayati
5.2.2.18	ā no agne sucetunā no agne rayiṃ bhareti daśa haviṣām
5.2.2.19	agnaye bhrājasvata iti trihaviś cakṣuṣkāmasya
5.2.2.20	śuklā vrīhayo bhavanti śvetānāṃ gavām ājyaṃ payasi caruḥ
5.2.2.21	brahmabhāgayajamānabhāgābhyāṃ saha sauryaṃ caruṃ brahmaṇe pariharati
5.2.2.22	hute samiṣṭayajuṣi sauryaṃ carum
5.2.2.23	catasraḥ piṇḍīḥ kṛtvā saurībhir hasta ādadhāti
5.2.2.24	tāḥ prāśya yajamānabhāgaṃ prāśnāti
5.2.2.25	ud agne śucayas tavāyam agnir iti catasro haviṣām
5.2.2.26	pūrve prathamottamayor ādānīyā uttarāḥ
5.2.3.1	sarvapṛṣṭhayā bhūtikāmo yajetābhiśasyamāno vā
5.2.3.2	dvādaśa kapālāni prayunakti
5.2.3.3	siddham ā nirvapaṇāt
5.2.3.4	indrāya rāthaṃtarāyendrāya bārhatāyendrāya vairūpāyendrāya vairājāyendrāya raivatāyendrāya śākvarāyety ekaikasyai devatāyai caturaścaturo muṣṭīn nirvapati sarvā vā devatā anuhṛtya catura eva muṣṭīn
5.2.3.5	siddham opadhānāt
5.2.3.6	uttānāni kapālāny upadadhāti / tat svic caruḥ
5.2.3.7	siddham ā pracaraṇāt
5.2.3.8	madhyamasya pūrvārdhād avadāya pūrvārdhāc cendrāya rāthaṃtarāyānubrūhi / abhi tvā śūra nonumo 'dugdhā iva dhenavaḥ / īśānam asya jagataḥ svardṛśam īśānam om / ity anvāha
5.2.3.9	indraṃ bārhataṃ yaja // ye yajāmaha indraṃ bārhatam / indra tasthuṣas tvām id dhi havāmahe sātā vājasya kāravaḥ / tvāṃ vṛtreṣv indra satpatiṃ naras tvāṃ kāṣṭhāsv arvatā vā / iti yajati
5.2.3.10	pratiparikṛṣyābhiparikarṣan pradakṣiṇam uttarābhyo 'vadyati
5.2.3.11	idrāya bārhatāyānubrūhi / tvām id dhi havāmahe sātā vājasya kāravaḥ / tvāṃ vṛtreṣv indra satpatiṃ naras tvāṃ kom / ity anvāha
5.2.3.12	indraṃ rāthaṃtaraṃ yaja // ye yajāmaha indraṃ rāthaṃtaram / ṣṭhāsv arvata abhi tvā śūra nonumo 'dugdhā iva dhenavaḥ / īśānam asya jagataḥ svardṛśam īśānam indra tasthuṣā vā / iti yajati
5.2.3.13	indrāya vairūpāyānubrūhy āpaprāthety anvāha
5.2.3.14	indraṃ vairājaṃ yaja // bodhā su ma iti yajati
5.2.3.15	indrāya vairājāyānubrūhy etām evānvāha
5.2.3.16	indraṃ vairūpaṃ yajāpaprātheti yajati
5.2.3.17	indrāya raivatāyānubrūhi // revatīr na ity anvāha
5.2.3.18	indraṃ śākvaraṃ yaja // pro ṣv asmā iti yajati
5.2.3.19	indrāya śākvarāyānubrūhy etām evānvāha
5.2.3.20	indraṃ raivataṃ yaja / pūrvayā yajati
5.2.3.21	yathejyam upalakṣyate sviṣṭakṛti sūktavāke ca
5.2.3.22	pratiparikṛṣyābhiparikarṣan sviṣṭakṛte samavadyatīḍāyai ca
