#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
21.2.20	him iti hiṃkāraḥ
21.2.21	dvādaśākṣarāṇyabhiṣṭobhedanuṣṭubhi
21.2.22	sarvatra catvārīti śāṇḍilyaḥ
21.2.23	yatharccaṃ cāntaṃ brūyāt kṣātā ivāyū iti
21.2.24	svārāṇyājyānīti stutvā nidhanavateti ca nānātvacodanāt
21.2.25	padānusvārameke stobhāśruteḥ
21.2.26	bahiḥsvāraṃ vā prāṇasāmānyāt bārhataṃ hīti
21.2.27	ākāraṃ tvācāryāḥ smṛteḥ
21.2.28	gāyatraṃ nidhanavadanidhanamaiḍaṃ gāyatraṃ purastāt bhavati svāramantataḥ iti nānātvadarśanāt
21.2.29	svārāṇīti svaritatvāt svaratvādvā tasya svarapradhānatvādvā gāyatrasya
21.2.30	same ca bhaktinānātve
21.2.31	taṃ dardgam
21.2.32	avasvarediti dhānaṃjayyaḥ
21.2.33	kṣātā o '3 iti gautamaḥ
21.2.34	kṣāto vā ityeke
21.3.1	kāmyānāṃ nidhanānāṃ kiṃciccikīrṣannuttamasya dvyakṣarasya sthāne kuryāditi śāṇḍilyaḥ
21.3.2	abhidevāṃ iyakṣatāi iti vā sarvāmṛcaṃ samāpya
21.3.3	avikāreṇa sarvaṃ gītveti dhānaṃjayyaḥ
21.3.4	tānyākārasthāneṣu syurnidhanatvena hi codyante
21.3.5	kṛtalakṣaṇacodanāccautpattikasvarāṇi
21.3.6	ekākṣaraṃ ṣṭhāsvaraṃ dvyakṣaraṃ hīṣīsvaramiti vā nyāyāt
21.3.7	kṛtasvaraṃ tu nidhanaṃ tasya codyate varṇavikāraḥ
21.3.8	yathā rathantarasya gāyatryaḥ
21.3.9	tāni sarvatra syuranārabhyotpattikatvādgāyatrasya
21.3.10	bahiṣpavamāna ityeke
21.3.11	taddhi vikārā nātikrāmanti / yathā retasyārathantaravarṇayordhurāṃ ca sāmāntāḥ iti
21.3.12	bahiṣpavamānasaṃyogastu teṣāṃ na kāmasaṃyogaḥ
21.3.13	gītivikārā gāyatrasya dhuraḥ
21.3.14	stotrīyānurūpayorjyotiṣṭomasyaivājyeṣu nānyatra
21.3.15	retasyāyāstrirudgṛhṇātīti brāhmaṇaṃ bhavati / pā’3vā’3mā’3 nāyendāvā3
21.3.16	gāyatryuttarā
21.3.17	tasyā dve tryakṣare saśayanī vyatiṣajatīti brāhmaṇaṃ bhavati
21.3.18	madhyamasya ca padasyottamamuttamasya ca prathamam
21.3.19	ātharvaṇo āśiśrāde '2yurvandevāyadā333iti
21.3.20	triṣṭubuttarā
21.3.21	tāṃ balavadivoraseva gāyantīti brāhmaṇaṃ bhavati / śā’3m / jā’3 / nā’3 / yaśamārvatā3 / śaṃ rājāno '3ṣā / dhā’33
21.3.22	tasyā dve uttamārddhe 'kṣare dyotayatīti brāhmaṇaṃ bhavati
21.3.23	ye ūrdhvaṃ hiṃkārātte nirbūrayāditi gautamaḥ
21.3.24	ṣā dhā iti dhānaṃjayyaḥ
21.3.25	jagatyuttarā
21.3.26	tasyāścatvāri catvāryakṣarāṇi nikrīḍanniva gāyatryā dvādaśebhyo 'kṣarebhya iti brāhmaṇaṃ bhavati
21.3.27	pāriṣṭobhāṃ’2tayākṛpā’2somāḥ śukrāḥ2gavā’222
21.3.28	tasyāścatvāryuttamārddhe 'kṣarāṇi dyotayatīti brāhmaṇaṃ bhavati
21.3.29	dve purastāddhiṃkārāttathopariṣṭāditi gautamaḥ
21.3.30	stomāśśukrā iti dhānaṃjayyaḥ
21.4.1	anuṣṭubuttarā
21.4.2	tānninarddanniva gāyatīti brāhmaṇaṃ bhavati / āvājaṃ vājyakramī’222t / sīdantovā’222 / nuṣāḥ222
21.4.3	niruktāṃ cāniruktāṃ ca gāyeditīti brāhmaṇaṃ bhavati / samastadhurāṃ manyata iti gautamaḥ / triṣṭubjagatyorhyakṣarāṇi nirāheti
21.4.4	etasyā eveti dhānaṃjayyaśāṇḍilyau
21.4.5	tasyā dvitīyaṃ pādaṃ nirbūrayāt / tṛtīye cākṣare pañcamaṣaṣṭhe
21.4.6	paṅktiruttarā tasyā dve dve akṣare udāsaṃ gāyatryā ṣaḍbhyo 'kṣarebhya iti brāhmaṇaṃ bhavati / saṃjagmāno dāivā kāvāi iti dhānaṃjayyaḥ
21.4.7	kāvā iti śāṇḍilyaḥ
21.4.8	saditi retasyāyā dhuro nidhanaṃ samiti gāyatryā svariti triṣṭubha iḍeti jagatyā vāgityanuṣṭubhaḥ
21.4.9	teṣāmukto nyāyaḥ kāmyaiḥ sāmāntairnidhanaiḥ
21.4.10	na tūrdhvaṃ bahiṣpavamānātsyuḥ
21.4.11	jagatīgāyatryau triṣṭubanuṣṭubhāviti pṛthagājyaprathamāsu gāyet
21.4.12	tatpurāṇaṃ yathājyagānam
21.4.13	gāyatrītriṣṭubhorvyatikramaṃ dhānaṃjayyaḥ
21.4.14	gāyatrīṃ maitrāvaruṇasyājyaprathamāyāṃ hoturitarā āditaḥ
21.4.15	tatpurāṇaṃ hoturājyagānam
21.4.16	triṣṭubha uttarāṃ gāyatrīṃ gītvā tasyā eva dvitīyāyāmṛcyānuṣṭubhaṃ gāyediti dhānaṃjayyo gāyediti dhānaṃjayyaḥ
22.1.1	udagayanapūrvapakṣapuṇyāhasaṃnipāte yajñakālo 'nādeśe
22.1.2	saṃkhyāmātre ca dakṣiṇā gāvaḥ
22.1.3	hiraṇyamiti jātarūpaṃ vidyāt
22.1.4	prathamāyāṃ pūrvapakṣasya dīkṣetaikāhebhyaḥ
22.1.5	dṛṣṭvā vā nakṣatrayogam
22.1.6	teṣāmekā dīkṣānādeśe tisraścatasro 'parimitā vā
22.1.7	tisra upasadaḥ
22.1.8	jyotiṣṭomasyokthānāmuttare saubharanārmedhe 'tirātra ukthyānta itarāṇīti gautamo vṛttigrahaṇāt
22.1.9	aniyogamitareṣāṃ dhānaṃjayyo viśeṣāmnānāt
22.1.10	sarveṣāṃ yathākāmīti śāṇḍilyastulyacodanāt
22.1.11	āṣṭādaṃṣṭrayorvikalpaḥ syāt
22.1.12	kāmyānukthyacchandoyogānatirātrasyamanyante saubharanārmedhapramāṇāḥ
22.1.13	vṛttistvanuṣṭubhāṃ rātryupāye na vidyate
22.1.14	dṛśyate cānyatra rātryupāyānnārmedhaṃ yathābhiplavasya pañcāhe
22.1.15	tasyānuṣṭubhaḥ stotrīyaḥ syādukthyānteṣu vaicchandaso 'tirātreṣu / vṛttivibhāgāt
22.1.16	vaicchandasamevaike brāhmaṇoktatvāt
22.1.17	svatantrasya jyotiṣṭomasya saṃsthāvikalpā āgniṣṭomyamukthyatātirātramiti
22.1.18	tasyānatirātrasya dvādaśaśataṃ dakṣiṇāḥ
22.1.19	go āyuṣośca
22.1.20	viśvajidabhijibhdyāṃ yamābhyāṃ yajamānaḥ pūrvāparābhyāṃ yajeteti dhānaṃjayyaḥ
22.1.21	yugapaditi śāṇḍilyaḥ
22.1.22	abhijito dakṣiṇaṃ devayajanaṃ syādviśvajita uttaram
22.1.23	tatprati patnīśālā syāt
22.1.24	nānartvijaḥ
22.1.25	yaccāntarvedi karma
22.1.26	atha yadbahirvedyekaṃ tat
22.1.27	abhijitaḥ pūvaṃ pūrvaṃ karma saṃtiṣṭheta viśvajita uttaram
22.1.28	tayoḥ pṛthak sahasre dakṣiṇāḥ
22.1.29	kāmaṃ tu yamābhyāṃ yajeta
22.1.30	sahasramabhijiti dakṣiṇāḥ
22.2.1	tasyāvabhṛthādudetya rohiṇīṃ vatsacchaviṃ paridhāya dharmān kuryāt
22.2.2	ta uktā brāhmaṇena
22.2.3	araṇye tisro vasatītyudumbare vasediti
22.2.4	udumbarābhāve 'pyudumbaraśākhāṃ nikhaneyuḥ
22.2.5	khanitreṇa jīvatīti yattatra khānyaṃ syāttena jīvet
22.2.6	khānyābhāve dhānyapātrāṇi nikhāya tairutkhānaṃ jīvet
22.2.7	ubhayataḥkṣṇudabhrirbhavatīti vaiṇavī kālmāṣīti śāṇḍilyo yākācaneti dhānaṃjayyaḥ
22.2.8	niṣādeṣu tisro vasatīti pārśvato niṣādagrāmasya vaset
22.2.9	teṣāṃ kāmamāraṇyaṃ bhuñjīta nīvāraṃ śyāmākaṃ mārgaṃ vā māṃsam
22.2.10	jane tisro vasatīti rājanyabandhurjano brāhmaṇaḥ samānajana iti śāṇḍilyaḥ
22.2.11	vivāhyo janaḥ sagotraḥ samānajanaḥ iti dhānaṃjayyaḥ
22.2.12	prativeśyo jano janapado yatra vaset sa samānajana iti śāṇḍilyāyanaḥ
22.2.13	ete dharmāḥ sarvavedasa dakṣiṇānāṃ sarveṣām
22.2.14	vratavatsu sarveṣvamāvāsyāyāṃ dīkṣitvokhāmābadhnīta sāṃvatsarikebhyo 'nyatreti gautamaḥ
22.2.15	saha sutyābhiḥ ṣaḍahāni saṃvatsarādadhikāni kṛtvottiṣṭheyuḥ
22.2.16	asamāpte vā saṃvatsare rātrisatreṣu rājānaṃ krīṇīyuḥ
22.2.17	yathā jāti tu prathame pañcadaśarātre dīkṣeran
22.2.18	sarvatra vā yathājātyanyatra cedupetamiti śāṇḍilyaḥ
22.2.19	anupetaṃ cedapīti dhānaṃjayyaḥ
22.2.20	tisra upasado vratasyaikāhikasya gautamīyena ṣaḍvā dvādaśa vā
22.2.21	tatra brahmaṇe 'śvarathaṃ śataṃ ca dadyāt
22.2.22	tathāgniṃ cinvate 'dhvaryave
22.2.23	pṛṣṭhena ca stuvānāyodgātre
22.2.24	taccānuśaṃsate hotre
22.2.25	sarvebhyaśca sahasram
22.2.26	sarvavedasadakṣiṇaṃ vā
22.2.27	itaracchāṇḍilam
22.2.28	sarve sāhasrāḥ pṛthaksahasradakṣiṇāḥ
22.3.1	sādyaskreṇa yakṣyamāṇo mahārātre prātarāhutiṃ hutvācakṣītartvigbhyaḥ sādyaskroma iti
22.3.2	prāgeva prahiṇuyāditi dhānaṃjayyaḥ
22.3.3	dīkṣāprabhṛti sadyaḥ sarvaṃ kuryuḥ / prathamadvitīyayoḥ śyenasya ca
22.3.4	ekatrikāntāḥ ṣaṭ sādyaskrāḥ iti śaucivṛkṣirnikāyitvāt
22.3.5	urvarā vediriti prathame
22.3.6	yavorvarā pakvā syādvrīrvahyurā vā
22.3.7	tata eva samutkartaṃ khala uttaravediṃ kuryuḥ
22.3.8	khale vālīyūpo bhavatīti lāṅgaleṣāyūpaḥ syāt
22.3.9	kalāpī caṣālabhāgā
22.3.10	atītāyāṃ cedyavavelāyāṃ vrīhivelāyāṃ vā yajeta / dhānyapātrāṇyuptvābhikṛṣeyuḥ
22.3.11	dhānyapātrā uttaravediḥ syāt
22.3.12	mūtaścaṣālabhāgaḥ
22.3.13	trivatsaḥ sāṇḍa iti bahuḥtrivarṣasya jānapadī trivatsa iti
22.3.14	yo vā tisro dhayet
22.3.15	trivarṣo vaiva syāt
22.3.16	prāñcaṃ hotāraṃ vaheyurudañcamudgātāraṃ pratyañcamadhvaryuṃ dakṣiṇā brahmāṇam
22.3.17	purastādvātra vaseyuḥ
22.3.18	tatraibhyaḥ somaṃ prabrūyuḥ aśvarathairyātvā
22.3.19	na uktā brāhmaṇenādhvānaśca
22.3.20	kuryurevartvija iti śāṇḍilyaḥ
22.3.21	anyāṃstu brāhmaṇāṃstānadhvana ūrdhvā tebhyaḥ somaṃ pravrūyuḥ
22.3.22	asau sadyaskriyā yajate / tadahaṃ prabravīmīndrāya viśvebhyo devebhyo brāhmaṇebhyaḥ somebhyaḥ somapebhyaḥ iti
22.3.23	sakṣīradṛtayo rathā bhavantīti sādyodugdhena kṣīreṇa dṛtayaḥ pūrṇāḥ syuḥ
22.3.24	tato 'yaṃ navanītamudīyāt pheno vā tadājye visṛjeyuḥ
22.3.25	aśvaḥ śveta etasya dakṣiṇā tamudgātre dadyāt
22.3.26	kiṃciccetarebhyaḥ
22.4.1	etenaivottaro vyākhyātastasyāśva ekaviṃśo dakṣiṇānām
22.4.2	aśvo vai vā
22.4.3	ekarātrīṇaḥ
22.4.4	dvyahīno 'nukrīḥ
22.4.5	te 'ṅgirasa ādityebhyaḥ śvasutyāmiti hyāha
22.4.6	tasya krayaprabhṛtyuttamahaḥ syāditi gautamaḥ
22.4.7	taṃ sadyaḥ parikrīyeti hyādityānāha netarān
22.4.8	aparedyuḥ krayaṇāccānukrīrityākhyā
22.4.9	upavasathāntaṃ pūrvamahaḥ syāditi dhānaṃjayyaḥ
22.4.10	śvaḥ sutyāmiti hyāha śvaḥ krayaṃ prāburavannityabhaviṣyat
22.4.11	taṃ sadyaḥ parikrīyeti ca prathamasya sadyastāṃ darśayati
22.4.12	dvyahīnatvāttu jaghanyatare 'ṅgiraso 'krīṇaṃstasmādanukrīrityākhyā
22.4.13	tasyāśva ekaśatatamo dakṣiṇānāmaśvo vai vā
22.4.14	etenokto viśvajicchilpo dvirātrīṇaḥ
22.4.15	tryahīna iti dhānaṃjayyaḥ
22.4.16	daikṣaṃ prathamamahaḥ krayaprabhṛtyupavasathāntaṃ dvitīyaṃ sautyamuttamam
22.4.17	tasya dakṣiṇā dhanāni yathotsāhaṃ dadyāttasmin janapade yānyabhidhyātatamāni syuḥ
22.4.18	sarvavedasanirmāṃ dadyāditi dhānaṃjayyaḥ
22.4.19	vimitaṃ śayanamārohaṇaṃ mahānase dāsamithunau dhānyapalyaṃ sīraṃ dhenur iti
22.5.1	vratīnānāṃ yaudhānāṃ putrānanūcānānṛtvijo vṛṇīta śyenasya
22.5.2	arhatāmeveti dhānaṃjayyaḥ
22.5.3	abhivātāsu yā anabhivātāḥ syustāsāmājyaṃ manthayet
22.5.4	yatra stambā vā vṛkṣā vā bahulāḥ jātāḥ syustāṃśchedandevayajanaṃ kuryuḥ
22.5.5	yadvā vidāhi sthaṇḍilam
22.5.6	śavanabhye adhiṣavaṇe iti
22.5.7	yena yānena mṛtaṃ nirhareyustasya nabhye adhiṣavaṇaphalake kuryuḥ
22.5.8	yūpaḥsphyāgra iti caṣālabhāgaḥ syāt
22.5.9	lohitoṣṇīṣā lohitavāsaso nivītā ṛtvijaḥ pracarantyupetapuruṣā udjyadhanvānaḥ
22.5.10	pavamāne rathantaraṃ kuryāditi bṛhatyāmekarccānāṃ sthāne syāttaddhi bārhatānāṃ sthānam
22.5.11	evaṃ ca tṛce bhavati
22.5.12	avipratiṣedhenetareṣāmanukalpayedityaparamevamalpīyān vikāraḥ
22.5.13	tatra pañcamaṃ bārhatamāharet stomavaśena
22.5.14	tat paurumadgaṃ syāt bhrātṛvyavadhaṃ hyasmin darśayati
22.5.15	pṛṣṭheṣu rathantarasyottarayordvipade syātāmityācāryāḥ / parācīṣviti hyāya
22.5.16	kakubhāveveti gautamaḥ
22.5.17	anāvṛttimetat stomasya darśayatīti
22.5.18	plavaṃ brahmasāma kurvaścaitasyarkṣu kuryāt
22.5.19	vṛttirhyetasmin sthāne pāvamānīnāṃ na vidyate
22.5.20	nava nava dakṣiṇā iti nava vargānyathotsāhaṃ dadyāt / kāṇakhorakatnaṭavaṇṭānām
22.5.21	tāsāmabhi dakṣiṇāvelāyāṃ lohitaṃ janayeyuḥ
22.5.22	ekatrike sadyaḥ sarvaṃ kuryuḥ
22.5.23	ekadīkṣastryupasatka iti gautamaḥ
22.5.24	tasya gāyatrapārśvamārbhavo 'yā ruceti
22.5.25	purojityāṃ śāṇḍilyaḥ
22.5.26	tasyāḥ sasunve yo vasūnāmityetāṃ madhye kuryāt
22.5.27	prācīmanupradiśaṃ yāti cekitadityetasyāmudvaṃśīyaṃ kuryāduddhatya gāyatrapārśvamiti lāmakāyanaḥ
22.5.28	trikaṃ bahiṣpavamānaṃ syāditi śāṇḍilyaḥ
22.5.29	pañcī madhyaṃdinaḥ saptārbhava ekīnītarāṇi
22.5.30	tryaikinameke
22.5.31	hotṛṣāmāṇi vā trikāṇi pavamānāśca
22.5.32	caturuttarasaṃpanno vā
22.5.33	dve dve trikapañcinī
22.5.34	pratyavaroheṇa tasya tat ṣaṣṭham
22.5.35	śataṃ dakṣiṇā dakṣiṇāḥ
23.1.1	vrātyastomairyakṣyamāṇāḥ pṛthagagnīnādhāya yajñopakaraṇāni ceṣṭvā ya eṣāmadhyayane 'bhikrāntitamaḥ syādabhijanena vā tadabhāve 'pi bhogalābhena tasya gārhapate dīkṣeran
23.1.2	bhakṣāṃścānubhakṣayeyuḥ
23.1.3	jyotiṣāniṣṭvā prāyaścittapūrvakārabalīyastvāt
23.1.4	yathā dakṣiṇaḥ sa yajñakratuḥ pañca dakṣiṇā iti
23.1.5	visamāpte tvetānīndrāt tasmādapramāṇam
23.1.6	iṣṭvaivānārabhya doṣavacanāt
23.1.7	vrātapratipadvidheḥ
23.1.8	yathā cāgnyādheyamapūtānām
23.1.9	upahavyāgniṣṭunmīmāṃsitasatraṃ punaḥ stomāścāniṣṭvā syuḥ
23.1.10	ye ke ca vrātyāḥ saṃpādayeyuste prathamena yajeran
23.1.11	brāhmaṇenetara uktāḥ
23.1.12	sthāviryādapetaprajananā ye te śamanīcāmeḍhrāḥ
23.1.13	yanniruktaṃ nidhanamupeyurgṛhapatirevardhnuyādapetastadārdhnīteti kasyedaṃ brāhmaṇaṃ syāditi
23.1.14	naudhasapratiṣedha ityācāryāḥ
23.1.15	niruktanidhanatvāt
23.1.16	indreti vā dyautāne nidhanaṃ nirāhustasya pratiṣedho yathāmnāyamevopeyuḥ
23.1.17	uṣṇīṣaṃ ca pratodaśceti uṣṇīṣaṃ ca yattiryaṅnaddhaṃ bhavatyavrātyānām
23.1.18	dhanuṣkeṇānīṣuṇā vrātyāḥ prasedhamānā yānti sajyāḍaḥ
23.1.19	vipathaśca phalakāstīrṇa iti kampramiśrābhyāmaśvāśvatarābhyāṃ ratho yuktaḥ syāditi śāṇḍilyaḥ
23.1.20	yābhyāṃ kābhyāṃ cāśvābhyāmaśvatarābhyāṃ veti dhānaṃjayyaḥ
23.2.1	kṛṣṇaśaṃ vāsa iti kṛṣṇaṃ kadrumiśramiti śāṇḍilyaḥ
23.2.2	śuklaṃ kṛṣṇadaśamiti gautamaḥ
23.2.3	kṛṣṇa ityevaṃ manyata iti dhānaṃjayyaḥ
23.2.4	kṛṣṇabalakṣe ajine iti
23.2.5	yāvavikau dvābhyāmekako 'vibhyāṃ krītaḥ syāttayoḥ pārṣvasaṃhite kṛṣṇavalakṣe ajine syātām
23.2.6	valakṣamiti śvetākhyā
23.2.7	rajato niṣkastadgahapaterityetatsarvaṃ gṛhapatirāharet
23.2.8	trayastriṃśataṃ ca
23.2.9	dvistrayastriṃśatamiti dhānaṃjayyaḥ
23.2.10	valūkāntāni dāma tuṣāṇītareṣāmityāvikāni lohitapravāṇāni vasanāni syuḥ
23.2.11	dāmatūṣāṇīti dāmadaśāni syuḥ
23.2.12	daśākhyā tūṣamiti
23.2.13	dve dve dāmanī iti
23.2.14	dve dve upānahāviti kṛṣṇāḥ karṇinya iti śāṇḍilyo yāḥ kāśceti dhānaṃjayyaḥ
23.2.15	dviṣaṃhitānyajinānīti pūrvābhyāmajinābhyāṃ vyākhyātāni
23.2.16	taccetareṣāmekaka āharet
23.2.17	trayastriṃśataṃ ca
23.2.18	trayastriṃśatā trayastriṃśatā gṛhapatirabhisamāyantīti
23.2.19	trayastriṃśatamṛtvigbhyo dadyuḥ
23.2.20	vrātyebhyo vrātyadhanāni ye vrātyacaryāyā aviratāḥ syurbrahmabandhave vā magadhadeśīyāya
23.2.21	yasmā etaddadati tasminneva mṛjanāyantīti
23.2.22	tairiṣṭvā traividyavṛttiṃ samātiṣṭheyuḥ
23.2.23	taiṣāṃ tata ūrdhvaṃ bhuñjīta yājayeccainān
23.3.1	ṣaḍagniṣṭutaḥ
23.3.2	trivṛjjyotiṣṭomaścādyau svakkavāravantīyāvadhikārakāmanānātvāt
23.3.3	na vā trivṛdaviśeṣāt
23.3.4	pare ca vāravantīyātideśāt
23.3.5	kratuṣu cānuvāka nānātvāt
23.3.6	smṛteścatvāra ityācāryāḥ
23.3.7	punarāmnānāttrivṛjjyotiṣṭomayoḥ
23.3.8	sarveṣāṃ ca sārṣṭo 'nuvāka ādyo gavāmayanavat
23.3.9	na vānuvāka nānātvāt kratupṛthaktvam / yathājyotiṣṭomenānuvākānām / yathā caturmāsyavājapeyarājasūyagargatrirātreṣu
23.3.10	teṣvanaḍuhāmaśvānāmajānāmiti yathotsāhaṃ dadyāt / tathā hiraṇyasya
23.3.11	kañcidarthamarhan yo na vāpnuyātsa trivṛtāṃ prathamena yajeta / tasya caturyugaśvaratho dakṣiṇāsteṣāmekaḥ śyāvaḥ syāt
23.3.12	yaṃ brāhmaṇāḥ sarājānaḥ puraskurvīran sa bṛhaspatisavena yajeta
23.3.13	tasya prātaḥsavane sanneṣu nārāśaṃseṣvekādaśa dakṣiṇā vyādiśati
23.3.14	ṛtvigbhyo nāpākuryāt
23.3.15	aśvadvādaśā madhyaṃdine
23.3.16	tā ubhayorapākaroti
23.3.17	ekādaśa tṛtīyasavane tā anubandhya vapāyāṃ hutāyāmapākuryāt / tānyapyekādaśaikādaśaśatāni syuḥ sahasrāṇi vā
23.3.18	nityastvaśvo madhyaṃdine
23.3.19	ya evaṃ puraskurvīrannanvagbhūtavṛttiṃ tata ūrdhvaṃ teṣu vartayet
23.3.20	sthapatiriti cainaṃ ta ācakṣīran
23.3.21	śyeneneṣurvyākhyātaḥ
23.3.22	dīkṣopasadastvasyaikāhikyaḥ
23.4.1	sarvasvāreṇa yakṣyamāṇo dīkṣāprabhṛti prayateta yathā sautye 'hani perayāmiti
23.4.2	prāṇabhakṣān sarvatra bhakṣān bhakṣayet
23.4.3	tānapo 'bhyavahārayetkarte vānuṣecayet
23.4.4	somamadbhiḥ saṃsṛjya mārjālīyasadeśe ninayeyuḥ
23.4.5	ārbhave pavamāne stūyamāne dakṣiṇenaudumbarīṃ kṛṣṇājinamupastīrya dakṣiṇaśirāḥ prāvṛto nipadyeta / tadeva saṃgacchate / tadeva mriyate iti
23.4.6	etaṃ mṛtaṃ yajamānaṃ havirbhiḥ saharjīṣairyajñapātraiścāhavanīye prahṛtya pravrajeyuriti śāṇḍilyaḥ
23.4.7	samāpayeyuḥ śeṣamiti dhānañjayyaḥ
23.4.8	samāpayeyuścediti śāṇḍilyāyano nediṣṭhī tatkṛṣṇājinaṃ pratimucya yājamānaṃ kuryādbhakṣāṃśca bhakṣayet
23.4.9	ṛtvijo yājamānaṃ kuryuḥ sarvahutobhakṣān juhuyuriti dhānañjayyaḥ
23.4.10	saṃsthite 'hani santvā hinvantītyāsandyaṅgāni samāhareyuḥ
23.4.11	santvā riṇantīti prakṣālayeyuḥ
23.4.12	santvā tatakṣṇuriti takṣṇuyuḥ
23.4.13	santvā śiśantīti vivayeyuḥ
23.4.14	tayainamavabhṛthaṃhṛtvā somopanahanena pracchādyānūbandhyavapāyāṃ hutāyāṃ dakṣiṇe vedyante keśaśmaśrūṇy asya vāpayeyuḥ
23.4.15	anūbandhyaśeṣaṃ samāpya madhye devayajanasya citāṃ cinuyuḥ
23.4.16	purastādāhavanīyam paścādgārhapatyaṃ dakṣiṇato 'nvāhāryavacanaṃ paścimena gārhapatyaṃ dakṣiṇāgniṃ madhyeśarīram
23.4.17	taṃ dakṣiṇāśirasaṃ citāvāhitaṃ yajñapātraiḥ kalpayedadhvaryuḥ
23.4.18	śirasi kapālāni yuñjyāt
23.4.19	samoptadhānaṃ ca camasam
23.4.20	lalāṭe prāśitraharaṇam
23.4.21	nāsikayoḥ sruvau
23.4.22	āsye hiraṇyamavadhāyānustaraṇikyā gaurvapayā mukhaṃ pracchādya tatrāgnihotrahavanīṃ tiraścīm
23.4.23	dakṣiṇe pāṇau juhūm
23.4.24	savya upabhṛtam
23.4.25	pārśvayoḥ sphye
23.4.26	tathā vṛkvau
23.4.27	urasi dhuravām
23.4.28	udare pātrīm
23.4.29	upasthe kṛṣṇājinam
23.4.30	antareṇa sakthnī śamyādṛṣadupale yacca nādekṣyāmaḥ
23.4.31	dakṣiṇasyokhasya dakṣiṇata ulūkhalam
23.4.32	anusakthaṃ musalam
23.4.33	pādayoḥ śakaṭaśūrpe
23.4.34	sarvāṇyuttānānyāsecanavanti pṛṣadājyavanti kṛtvā sarvebhyo 'gnibhya ulaparājīstṛṇuyuryathāsminnagnayaḥ samaveyuriti
23.4.35	āhavanīyāccetprathamameyāt brahmalokameṣyatīti vidyāt / gārhapatyāddevalokam / dakṣiṇāgneḥ pitṛlokam
23.4.36	evamenaṃ yajñapātraiḥ klṛptaṃ triśchandogaḥ parigāyennāke suparṇamiti
23.4.37	dhūma ṅkudate tveṣaste dhūma ṛṇvatīti
23.4.38	prajvalite 'gne mṛḍamahāṃ asītyetayoranyatareṇa
23.4.39	tathaivāvṛtā vṛddhāḥ śrotriyā jñātaṃ parigāyanti / sa eṣa yajñāyudhi yajamānaḥ svargaṃ lokameṣyatīti vidyāt
23.4.40	jīvecced yajetodavasānīyayā
23.4.41	abhojanena tata ūrdhvaṃ mumūrṣediti śāṇḍilyaḥ
23.4.42	bhuñjīta jijīviṣedeveti dhānañjayyaḥ
23.4.43	tasya kṛtānnaṃ dakṣiṇā
23.4.44	phālgunyāṃ paurṇamāsyāṃ cāturmāsyānyārabheta
23.4.45	uktaṃ kālāntaraṃ brāhmaṇena
23.4.46	yajanīye 'hani vaiśvadevaśunāsīrye syātām / uttaraṃ ca vāruṇaprādhāsikam
23.4.47	parvaṇyuttamaṃsākamedhānām
23.4.48	dvādaśaśataṃśunāsīryasya dakṣiṇāḥ
23.4.49	pañcāśaditareṣāmahnāmekakasyaikakasya
24.1.1	upahavye devatā nāmadheyāni parokṣaṃ brūyuḥ svasthānāsu
24.1.2	pratyakṣamasvasthānāsu
24.1.3	devaśabdaṃ sarvatra varjayeyuḥ
24.1.4	hotā devo mahīmitrasyetyete hotā yajñomahīyajñasyeti brūyuḥ
24.1.5	induriti somam
24.1.6	ādiṣṭā dakṣiṇā brāhmaṇena
24.1.7	itarebhyaśca kiṃciddadyāt
24.1.8	ṛtapeyasya dvādaśa dīkṣopasada iti tisra upasadaḥ / ṣaḍvā
24.1.9	ghṛtavrato bhavatīti yathotsāhaṃ dīkṣāsu prāśnīyāt
24.1.10	uttareṇottareṇa kāṇḍenopaitīti pṛthagupasatsvaṅguliparvabhiḥ pratilomaiḥ prāśnīyāditi śāṇḍilyaḥ
24.1.11	ekāṅgulyā pṛthakparvabhiḥ sarvāndeśāṃścamasā mitāḥ syuḥ / tairanulomairiti śaucivṛkṣiḥ
24.1.12	pratilomairiti dhānaṃjayyaḥ
24.1.13	ṛtamuktvā prasarpantīti prasrapsyataḥ sado bhakṣayiṣyantaśca deva satyāni brūyuriyaṃ bhūmirityuktvāsāvāditya udetā prātarāditya iti
24.1.14	yā asya devatāścamasairijyeran tatpītavadbhakṣamantrānūheyuriti dhānaṃjayyaḥ
24.1.15	avikāreṇa tu nārāśaṃsānām
24.1.16	sarvakratuṣvevameke
24.1.17	anuvyūhanti ca bhakṣacchandāṃsi
24.1.18	sarvatrāvikāreṇācāryāḥ
24.1.19	somacamaso dakṣiṇetyabhiṣutasya syāt
24.1.20	tasminhi camasaṃ pramāṇam
24.1.21	taṃ madhyaṃdine camasamukhīyaiḥ sahonnayeyuḥ
24.1.22	juhuyuścāsya huto deyaḥ iti brāhmaṇam
24.1.23	taṃ dakṣiṇāvelāyāṃ pūrveṇāhavanīyamanirharanto vederdakṣiṇena sado havirdhānāni hārayitvā pūrvayā dvārā sadaḥ praviśeyuḥ
24.1.24	saṃsthite 'hanyṛtvigbhyaḥ kiṃciddadyāt
