#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
16.6.9	saṃvatsarabhṛtino 'saṃvatsarabhṛte 'pi
16.6.10	saṃvatsaraṃ soṣyataḥ
16.6.11	saṃvatsarāhitāgneḥ
16.6.12	jātasya ca
16.6.13	ṣaṇmāsyam antyam
16.6.14	acayanaṃ vā parasmai
16.6.15	prāg anaḥ kṛtvokhyasyottarataḥ samidādhānaṃ samidhāgnim iti
16.6.16	sāsandīkam udyamyod u tveti dakṣiṇato 'nasi karoti
16.6.17	sthālyāṃ gārhapatyaṃ paścāt
16.6.18	anaḍvāhau yuktvā pred agna iti prāṅ yātvā yathārtham
16.6.19	ārohet pārśvato vā gachet
16.6.20	akṣe kharjaty akrandad agnir iti japati
16.6.21	vāse 'vaharaty uddhatāvokṣita uttarataḥ samidādhānaṃ prapreti
16.6.22	vanīvāhanam etad dīkṣāsu yadechet
16.6.23	apsūkhyabhasmāvapanaṃ krayaṇīyādau
16.6.24	anyatra cechan
16.6.25	ūrdhvaṃ vanīvāhanāt kramayogāt
16.6.26	palāśapuṭenāpo devīr ity ekayā
16.6.27	tato dvābhyām
16.6.28	ādyābhyāṃ vā pūrvam
16.6.29	anāmikayā prāstād ādatte prasadyeti
16.6.30	prāsyokhāyām upatiṣṭhate bodhā ma iti
16.6.31	prāyaścittiṃ samidhopahatya
16.7.1	ājyaṃ viśvakarmaṇa iti juhoti
16.7.2	utthāyādadhāti samidhaṃ punas tveti
16.7.3	gārhapatye 'nugate nirmathya
16.7.4	sutyāsvāhanīye sāṃkāśinena hṛtvā
16.7.5	āgnīdhrīyam uttareṇa sadaḥ
16.7.6	pravṛñjyād āvṛtokhye
16.7.7	adhvaraprāyaścittiṃ ca sarveṣu yathākālaṃ pūrvāṃpūrvām
16.7.8	ukhābhedane navasthālyāṃ mahāmukhyām ukhākapālam avadhāyāvapati
16.7.9	ukhopaśaye piṣṭvā mṛdā sahokhāṃ karoty āvṛtā
16.7.10	pakvāyām āvapati kapālaṃ ca
16.7.11	ukhopaśaye piṣṭvā saṃsṛjya nidadhāti
16.7.12	abhyātmaṃ cayanam upaviśya
16.7.13	savyabāhum antaraṃ kṛtvottaralakṣaṇābhir iṣṭakābhiḥ
16.7.14	nitye sādanasūdadohasā upadhānād uttare tayā devatayā tā asyeti
16.7.15	aviśeṣopadeśāt
16.7.16	anāmnātapratiṣedhāc ca
16.7.17	ekacodanāsv ekadeśāsu tantreṇa
16.7.18	ātmani yajuṣmatīḥ
16.7.19	lokampṛṇāsu daśasudaśasu mantro lokaṃ pṛṇeti
16.7.20	asādanaṃ ca
16.7.21	praticiti dvedve upadhāya
16.7.22	ayugmagaṇam adhyamānūke
16.7.23	ekā ca
16.7.24	abhito yugmāḥ
16.7.25	udañco vargāḥ pūrvāpare
16.7.26	prāñco dakṣiṇottare
16.7.27	bhinnakṛṣṇayor acayanam
16.7.28	dīkṣāṇām uttame 'hani vedyagnimānam
16.7.29	ukhyasthāne 'rdhavyāmena gārhapatyasya parilikhati
16.7.30	maṇḍalād vā prakramaṇam antaḥpātyasya
16.7.31	paścād yūpāvaṭyāt pādamātre cityasya
16.7.32	yajamānenordhvabāhuprapadochritena samasthitena vā
16.8.1	dvipuruṣāṃ rajjuṃ mitvā
16.8.2	ubhayataḥpāśām
16.8.3	madhye lakṣaṇam
16.8.4	abhito 'rdhapuruṣayoś ca
16.8.5	madhyamāt puruṣapañcame
16.8.6	ardhe ca
16.8.7	anupṛṣṭhyām āyamya pāśayoḥ śaṅkū madhye 'rdhapuruṣayoś ca
16.8.8	pāśā unmucyārdhapuruṣīyayoḥ pratimucya dakṣiṇāyamya madhyame nitodaṃ karoti
16.8.9	unmucya pāśāv ekaṃ madhyame pratimucya dakṣṇādhinitodam āyamya madhyame śaṅkuḥ
16.8.10	tasmin pāśaṃ pratimucya pūrvārdhe ca dakṣiṇāyamya madhyame śaṅkuḥ
16.8.11	paścād ardhapuruṣe ca
16.8.12	unmucya pūrvārdhyāt paścārdhe pratimucya dakṣiṇāyamya madhyame śaṅkuḥ
16.8.13	abhito 'rdhapuruṣayoś ca
16.8.14	evam uttaro 'ntaḥ
16.8.15	dakṣiṇe pārśve pūrvavad āyamya pañcamabhāgīye śaṅkuḥ
16.8.16	tamin pāśaṃ pratimucya pūrve cārdhapuruṣīye pañcamabhāgīyārdhapuruṣīyayoḥ saṃnipātya tasmiñ chaṅkuḥ
16.8.17	evaṃ paścāt
16.8.18	evam uttaraḥ pakṣaḥ
16.8.19	tathā puchaṃ vitastyā
16.8.20	ichan pakṣapuchāpyayeṣu caturaṅgulaṃcaturaṅgulaṃ saṃkarṣati vikarṣaty ante
16.8.21	pañcārtniḥ puruṣo daśapado dvādaśāṅgulaṃ padaṃ prakramas tripadaḥ samavibhaktasya
16.8.22	paritatya rajjvā sahitaṃ bahīrajjvekaṣaṣṭe śate pariśrito minoti
16.8.23	caturṇavatāni vā trīṇi
16.8.24	ūrdhvāḥ śarkarāḥ khāte
16.8.25	uttareṣu puruṣoccayenaivaikaśatavidhāt
16.8.26	yathāgni vedīṣṭakāpramāṇam
16.8.27	antaḥpātyagārhapatyayor ichan
16.8.28	uttarapakṣasyāparasyāṃ sraktyāṃ pariśrito minoti jaṅghāmātrīṃ nābhimātrīṃ mukhamātrīm iti
17.1.1	śvo 'bhyavaharaṇādi prāyaścittyantaṃ kṛtvā viṣṇukramavātsaprasamāsaḥ
17.1.2	vātsapraṃ kṛtvopastheyaṃ cet
17.1.3	palāśaśākhayā gārhapatyaṃ vyudūhaty apeta vīteti pachaḥ pratidiśaṃ purastāt prathamam
17.1.4	udīcīṃ śākhām udasyoṣān nivapati saṃjñānam iti
17.1.5	maṇḍalaṃ chādayati
17.1.6	sikatāś cāgner bhasmety ūṣavat
17.1.7	pariśridbhiḥ pariśrayati pūrvavad ekaviṃśatyā cita stheti
17.1.8	madhye 'rdhabṛhatīś catasro dakṣiṇottarāḥ prācīr upadadhāti dakṣiṇata udaṅṅ ayaṃ so agnir iti pratyṛcam
17.1.9	sakṛn nitye
17.1.10	paścātsahite pādamātryau tiraścyau purastāc ca
17.1.11	apareṇa parikramyaparikramya cayanam iḍām agna iti paścime pratimantram uttarataḥ
17.1.12	cid asīti pūrve dakṣiṇataḥ pratimantram
17.1.13	nitye pratīṣṭakaṃ tiraścīṣu
17.1.14	sraktiṣu pādamātrīḥ
17.1.15	pūrvadakṣiṇasyām ardhapadye
17.1.16	śeṣe 'ṣṭau vakrāḥ
17.1.17	tisṛṣu lokampṛṇāsu ca dvāyor vā daśasv ekasyāṃ ca
17.1.18	cātvāladeśāt purīṣaṃ nivapatīndraṃ viśvā iti
17.1.19	samambilāṃ kṛtvokhyaṃ nivapati samitam iti
17.1.20	riktāṃ nāvekṣetokhām
17.1.21	sikatābhiḥ samambilāṃ kṛtvā māteva putram iti śikyād vimucyābhrivan nidhāyāsiñcati payo madhye tūṣṇīm
17.1.22	tricitam eke
17.1.23	nairṛtīḥ kṛṣṇās tuṣapakvās tisro 'lakṣaṇāḥ pādamātrīr haviṣyaśannahomavaddeśe dakṣiṇottarāḥ kṛtvā dakṣiṇāmukho 'nupaspṛśan
17.2.1	asunvantam iti pratyṛcaṃ parācīḥ
17.2.2	abhyātmam eke
17.2.3	nityābhāvaḥ
17.2.4	śikyarukmapāśeṇḍvāsandīḥ pareṇāsyati yaṃ ta iti
17.2.5	udapātraṃ niṣicyāntarātmeṣṭakam uttiṣṭhanti namo bhūtyā iti
17.2.6	anapekṣam etya śālādvāryopasthānaṃ niveśana iti
17.2.7	prāyaṇīyahaviṣkṛdante mahāvedeḥ sphyādyā saṃmarśanāt kāroti
17.2.8	prāyaṇīyānte sīraṃ yunakty audumbaram
17.2.9	mauñjaṃ trivṛdrajjavyam
17.2.10	ṣaḍdvādaśa caturviṃśatiṃ vā yunakti
17.2.11	pūrveṇottarāṃsaṃ dakṣiṇām agniśroṇim apareṇa tiṣṭhan yujyamānam abhimantrayate sīrā yuñjantīti
17.2.12	ātmani kṛṣaty anupariśrichunaṃ suphālā iti pratyṛcam
17.2.13	dakṣiṇataḥ prācīm
17.2.14	pradakṣiṇam itarāḥ
17.2.15	tūṣṇīṃ tisrastisraḥ pradakṣiṇam
17.2.16	tiryaganūke
17.2.17	akṣṇayā śroṇyaṃsayoḥ
17.2.18	anūke
17.2.19	śroṇyaṃsayoḥ
17.2.20	dīrghaprayukteṣu vā puruṣāḥ kṛṣanti
17.2.21	anaḍuho vimucya vimucyadhvam iti
17.2.22	paśuvad utsṛjya dakṣiṇākāle 'dhvaryave dadāti
17.2.23	sīram utkare kṛtvā
17.3.1	kuśastambam upadadhāti madhye tūṣṇīm
17.3.2	pañcagṛhītenodgṛhṇann abhijuhoti sajūr abda iti
17.3.3	catasṛṣucatasṛṣu trīṃstrīn udacamasān ninayati yathākṛṣṭam audumbareṇa catuḥsraktinā
17.3.4	trīn kṛṣṭākṛṣṭayoḥ
17.3.5	kṛṣṭamātre vā
17.3.6	tasmint sarvauṣadham āvapaty ekavarjam
17.3.7	abhojanaṃ tasyochvāsāt
17.3.8	yā oṣadhīr iti tricair vapaty udapātravat
17.3.9	somanivapanādy ātithyahaviṣkṛtaḥ kṛtvāhavanīyapariśrito 'bhimantrayate cita stheti
17.3.10	saptasapta vā
17.3.11	lokeṣṭakā sphyenāhṛtya bahirveder anūkānteṣūpadadhāti tiṣṭhan mā mā hiṃsīd iti pratyṛcaṃ pratidiśaṃ purastāt prathamam
17.3.12	uttarāparasyāḥ paścāt
17.3.13	uttarasyāḥ sikatāḥ pramārṣṭi jahāmi sedim iti
17.3.14	uttaravediṃ nivapati catvāriṃśatpadāṃ yugamātrīṃ vā sarvataḥ kuśastambe
17.3.15	agne taveti sikatā nyupya chādayaty ātmānam
17.3.16	āpyāyasveti sikatālambhanam ṛgbhyām
17.3.17	ātithyaśeṣādy opasadaḥ kṛtvā rohite carmaṇy ānaduhe 'ntaḥpātyapurastād iṣṭakāḥ karoti prathamaciteḥ
17.3.18	itarāsāṃ ca
17.3.19	svayamātṛṇṇāḥ matyā ca
17.3.20	ājye nyajya kuśāgrāṇi tūṣṇīṃ prokṣati śvete 'śve purastāt tiṣṭhati śvetābhāve 'śvete śvābhāve 'naḍuhi
17.3.21	agnibhyaḥ prahriyamāṇebhyo 'nuvācayati
17.3.22	triruktāyām aśvapūrvāṃ citiṃ hṛtvā puchād dakṣiṇāṃ nidadhāti
17.3.23	tīrthenāśvam ārohayaty uttarapakṣam apareṇa
17.3.24	purastāt paścād vaike
17.3.25	anuyajuḥkṛṣṭaṃ pariṇayaty uttarataḥ prathamam
17.3.26	pratyañcam āgataṃ citim avaghrāpya pariṇīyotsṛjati paśuvat
17.3.27	uttaravediprokṣaṇādy ā sambhāranivapanāt kṛtvottaravedim apareṇa tiṣṭhan yajamāno mayi gṛhṇāmīti japati
17.3.28	satyasāma gāyati
17.4.1	puṣkaraparṇam upadadhāti stambe pūrvavat
17.4.2	tasmin rukmamadhaḥpiṇḍaṃ brahma jajñānam iti
17.4.3	uttānaṃ prāñcaṃ hiraṇyapuruṣaṃ tasmin hiraṇyagarbha iti
17.4.4	puruṣe citre sāma gāyati
17.4.5	pūrveṇāparītyo 'taḥ
17.4.6	upatiṣṭhate yajamāno namo 'stv iti
17.4.7	upaviśya pañcagṛhītaṃ juhoti puruṣe kṛṇuṣva pāja iti pratyṛcaṃ pratidiśaṃ parisarpam
17.4.8	pratyetya dakṣiṇataḥ
17.4.9	paścāt prathamāntye
17.4.10	puruṣam avachādyorasāspṛṣṭaṃ bāhvoḥ prāpaṇānte likhati
17.4.11	tatra srugupadhānaṃ prācyoḥ
17.4.12	kārṣmaryamayīṃ dakṣiṇataḥ pāṇimātrapuṣkarāṃ bāhumātrīm pādamātrīṃ vā sāmarthyāt ghṛtapūrṇām agneṣ ṭveti
17.4.13	evam audumbarīm uttarato dadhipūrṇām indrasya tveti
17.4.14	tiraścyāv eke
17.4.15	svayamātṛṇṇāṃ puruṣe śarkarāṃ chidrāṃ dhruvāsīti
17.4.16	bhūr ity etasyāṃ sāma gāyati
17.4.17	anyatrāpi vyāhṛtiṣu
17.4.18	mūlāgravatīṃ dūrvāṃ tasyāṃ purastād bhūmiprāptāṃ kāṇḍātkāṇḍād iti
17.4.19	pūrvāṃpūrvām uttarāḥ
17.4.20	yās ta iti
17.4.21	ulūkhalasya retaḥsigvelāyām aratnimātraśruteḥ
17.4.22	virāṭ svarāḍ iti viśvajyotiṣam
17.4.24	ṛtavye madhuś ca mādhavaś ceti
17.4.25	aṣāḍhāsīty aṣāḍhām
17.4.26	svayamātṛṇṇāretaḥsigviśvajyotirṛtavyāṣāḍhāsu lakṣaṇāni kurute rajjvāṃ velārthāni
17.4.27	kūrmaṃ dadhimadhughṛtair anakti madhu vātā iti
17.4.28	aratnimātre 'ṣāḍhāṃ dakṣiṇemāvakāsūpariṣṭāc ca puruṣam abhimukham
17.5.1	apāṃ gambhann iti tisṛbhiḥ
17.5.2	ghaṭṭayati madhyamā
17.5.3	ulūkhalamusale svayamātṛṇṇām uttareṇāratnimātre audumbare prādeśamātre caturaśram ulūkhalaṃ madhyasaṃgṛhītam ūrdhvam vṛttaṃ musalaṃ dakṣiṇam ulūkhalād viṣṇoḥ karmāṇīti
17.5.4	ulūkhala ukhāṃ kṛtvopaśayāṃ piṣṭvā nyupya purastād dhruvāsīty ukhām
17.5.5	agne yukṣvā hīti pratyṛcaṃ sruvāhutī juhoty ukhāyām
17.5.6	upasthānaṃ vāsaṃvatsarabhṛtinaḥ
17.5.7	pratiśiraḥ saptasapta hiraṇyaśakalān mukhe karoti samyak sravantīti
17.5.8	uttarān dvaudvau
17.5.9	nāsikayor ṛce tveti
17.5.10	akṣyor bhāse tveti
17.5.11	śrotrayor abhūd idam iti
17.5.12	sarvān apy ekasminn eke
17.5.13	ukhāyāṃ pratyañci
17.5.14	sahasradā iti puruṣaśira udgṛhya madhye
17.5.15	aśvāvyor uttarataḥ pūrvāpare
17.5.16	go'jayoś ca dakṣiṇataḥ
17.5.17	ādityaṃ garbham iti pratimantraṃ mantrakrameṇa
17.5.18	citraṃ devānām ity ardharcaśaḥ sruvāhutī madhyame
17.5.19	bahirvedy udaṅ tiṣṭhann upatiṣṭhata utsargair imaṃ mā hiṃsīr iti pratimantram
17.5.20	ukhāṃ parikrāmam eke
17.5.21	upadhāyopadhāya vā tasyatasya yathāliṅgam
17.5.22	sarvamantrān apy ekasminn eke
17.5.23	upadhānamantrān vipariharann aṅgulaṃ prathiṣṭhe śirasi
17.6.1	etya ca tvaṃ yaviṣṭheti cityopasthānam
17.6.2	apareṇa svayamātṛṇṇām etyāpasyāḥ pañcapañcānūkānteṣv apāṃ tvemann iti pratimantram
17.6.3	vyāghāraṇavat prāṇabhṛtaḥ karṇasahitā daśadaśa puruṣam upārpyaike retaḥsigvelāyāṃ ca sarvato yathāyogam ayaṃ pura iti pratimantram
17.6.4	dvitīyam ayaṃ paścād iti
17.6.5	lokampṛṇā dakṣiṇāṃsād adhy ā madhyāt pradakṣiṇam ānūkāntāt pūrvasmāt
17.6.6	pratyetya śeṣam
17.6.7	pakṣapuchāni parāgbhir apyayebhyo 'dhi
17.6.8	evaṃ sarvatra
17.6.9	madhye purīṣaṃ nivapati pūrvavat
17.6.10	pūrvam ardhānūkaṃ chādayati
17.6.11	pradakṣiṇam ātmānam
17.6.12	pakṣapuchāni ca
17.6.13	evaṃ sarvatra
17.7.1	citiṃ purīṣavatīm upatiṣṭhate vārtrahatyāyeti saptabhiḥ
17.7.2	aṣṭābhir eke daśabhir vā
17.7.3	upasatsu paurvāhṇikyāparāhṇiky antare cayanapurīṣanivapane
17.7.4	trir aśvaṃ pariṇīyopāstamayaṃ paśuvad utsṛjya tāvat pratiparyeti
17.7.5	pariṇayanam āgninidhānāt
17.7.6	tryupasatke dve prathamāyām tisro madhyamāyām
17.7.7	pañcagṛhītādy uttamā
17.7.8	uttarāsu ca
17.7.9	sapurīṣā ṣaṭsv ekaikā
17.7.10	dvādaśopasatke vyatyāsaṃ citipurīṣe
17.7.11	vikarṇyādy ekādaśyām
17.7.12	caturmāsopasatke dvādaśāhaśaḥ
17.7.13	ṣaṭtriṃśadahaśaḥṣaṭtriṃśadahaśaḥ saṃvatsare
17.7.14	tāpaścite māsaśaś citipurīṣe catasṛṇām
17.7.15	pañcamyām asapatnā virājaḥ prathame 'han
17.7.16	stomabhāgā anvaham
17.7.17	māsaṃ purīṣaṃ tūṣṇīm
17.7.18	nākapatprabhṛti māsam
17.7.19	purīṣaṃ ca
17.7.20	uttamayor ahnor vikarṇyādi pūrve
17.7.21	dvisāhasrī prathamā lokampṛṇānāṃ pañcāśadūnā
17.7.22	uttarāś ca
17.7.23	trisāhasry uttamā
17.7.24	vikrālikhitānāṃ dakṣiṇottare madhya itarāsām
17.7.25	ṣaṭtriṃśachatyā vā tṛtīyāṣṭādaśaśatyā itarāḥ
17.7.26	gārhapatyalokampṛṇāḥ prathamāyām
17.7.27	dhiṣṇīyā uttamāyām
17.7.28	aparimiteṣṭako vā
17.7.29	prathamottamayoḥ pādamātrīr atiriktāḥ
17.7.30	daśagaṇādhikā bhiktvotkare kuryāt
17.8.1	dvitīyāyām āśvinīḥ pratidiśam
17.8.2	retaḥsigvelāyām anūkam uttareṇa pūrvā dvitīye
17.8.3	dakṣiṇā pūrveṇa
17.8.4	aparā dakṣiṇena
17.8.5	uttarāpareṇa
17.8.6	dakṣiṇām uttareṇa pañcamī
17.8.7	vaiśvadevīḥ
17.8.8	pūrvāṃ dakṣiṇena
17.8.9	dakṣiṇām apareṇa
17.8.10	aparām uttareṇa
17.8.11	uttarāṃ pūrveṇa
17.8.12	evaṃ vaiśvadevībhyaḥ prāṇabhṛtaḥ
17.8.13	prāṇabhṛdbhyo 'pasyāḥ
17.8.14	pūrvavat pañcamyaḥ sarvāsām
17.8.15	āśvinīr dhruvakṣitir iti pratimantram
17.8.16	śukraś ca śuciś cety ṛtavye pūrvayor upari
17.8.17	uttarāś ca
17.8.18	vaiśvadevīḥ sajūr ṛtubhir iti pratimantram
17.8.19	uttarāś ca
17.8.20	prāṇabhṛtaḥ prāṇaṃ ma iti
17.8.21	apaḥ pinvety apasyāḥ
17.8.22	vayasyāḥ pañcapañcānūkānteṣu mūrdhā vaya iti pratimantram catasraḥ purastāt
17.8.23	dakṣiṇata uttarataḥ paścāt
17.8.24	dakṣiṇāśroṇer adhi lokampṛṇāḥ pūrvavat
17.9.1	tṛtīyāyāṃ svayamātṛṇṇām indrāgnī iti madhye
17.9.2	anūkeṣu pañca diśyā vaiśvadevīvad rājñy asīti pratimantram
17.9.3	viśvakarmeti viśvajyotiṣam upari pūrvasyāḥ
17.9.4	uttamāyāṃ ca
17.9.5	ṛtavye nabhaś ca nabhasyaś ceti
17.9.6	avakāḥ kūrmavat
17.9.7	iṣaś corjaś cety apare
17.9.8	pūrvārdhe prāṇabhṛto daśāyur ma iti pratimantram
17.9.9	chandasyā dvādaśadvādaśāpyeṣu mā chanda iti pratimantram
17.9.10	vālakhilyālokaṃ paścāchiṣṭvā
17.9.11	vālakhilyāḥ sapta purastāt
17.9.12	prāṇabhṛdbhyo vāparāḥ
17.9.13	dvādaśabhyo 'parās tu
17.9.14	mūrdhāsi rāḍ iti pratimantram
17.9.15	yajuṣmatīś ca jānan
17.9.16	uttarāśroṇer adhi lokampṛṇāḥ pūrvavat
17.10.1	caturthyām anūkānteṣu dakṣiṇottare dvedve
17.10.2	pūrvābhyām aparāś caturdaśa
17.10.3	tābhyaḥ ṣaṭ
17.10.4	pūrvadakṣiṇe 'vāntaradeśa eke
17.10.5	uttarā vā dakṣiṇābhyām
17.10.6	uttarāṃ pūrvayor āśus trivṛd iti
17.10.7	dakṣiṇām aparayor dharuṇa ekaviṃśa iti
17.10.8	dakṣiṇāṃ dakṣiṇayor bhāntaḥ pañcadaśa iti
17.10.9	dakṣiṇām uttarayor vyomā saptadaśa iti
17.10.10	caturdaśa pratimantraṃ pratūrtir aṣṭādaśa iti
17.10.11	dakṣiṇāṃ pūrvayor agner bhāga iti
17.10.12	uttarām aparayor mitrasya bhāga iti
17.10.13	uttarāṃ dakṣiṇayor nṛcakṣasāṃ bhāga iti
17.10.14	uttarām uttarayor indrasya bhāga iti
17.10.15	ṣaṭ pratimantraṃ vasūnāṃ bhāga iti
17.10.16	ṛtavye sahaś ca sahasyaś ceti
17.10.17	retaḥsigvelāyāṃ ca saptadaśa sarvato nava dakṣiṇenānūkaṃ sṛṣṭīr ekayāstuvateti pratimantram
17.10.18	uttarāṃsād adhi lokampṛṇāḥ pūrvavat
17.11.1	pañcamyām anteṣv āśvinīvad asapatnāḥ
17.11.2	dakṣiṇayor aratnyantaram
17.11.3	agne jātān iti pratimantram
17.11.4	paścimā dvitīyā
17.11.5	virājo daśadaśa pratidiśaṃ purastāt prathamam evaś chanda iti pratimantram
17.11.6	gāyatry asapatnā gaṇamadhye 'sambhavāt
17.11.7	uṣṇigbhyo vāparā ardhapadyā upadhāya
17.11.8	asapatnāspṛśo 'nyato 'ntarāḥ
17.11.9	sarvato 'ṣāḍhāvelāyāṃ stomabhāgā raśminā satyāyeti pratimantram
17.11.10	pañcadaśa dakṣiṇenānūkam
17.11.11	veṣaśrīḥ kṣatrāya kṣatraṃ jinveti triṃśattamīm eke
17.11.12	purīṣam āsvāvapati mantreṇa vā tāpaś citasya tūṣṇīṃśruteḥ
17.12.1	nākasado 'nūkeṣu pūrvavarjam ṛtavyāvelāyām āśvinīvad rājñy asīti pratimantram
17.12.2	purīṣam opyopary ayaṃ pura iti pañcacūḍāḥ pratimantram
17.12.3	pratidiśaṃ yathāliṅgam
17.12.4	paścimottamā
17.12.5	chandasyās tisrastisro 'nūkānteṣu purastād gāyatrīr agnir mūrdheti pratyṛcam
17.12.6	uttarāś ca
17.12.7	purastāt triṣṭubho retaḥsigvelāyāṃ bhuvo yajñasyeti
17.12.8	jagatīś ca paścād ayam iheti
17.12.9	aparās tābhyo 'nuṣṭubhaḥ sakhāyaḥ saṃ va iti
17.12.10	aṣāḍhāvelāyāḥ purastād bṛhatīr enā va iti
17.12.11	bhadro na iti kakubhas tābhyo bṛhatyantaraśruter mantrakrameṇa
17.12.12	uddhṛtāny apakṛṣyechan
17.12.13	aparā gāyatrībhya uṣṇiho 'gne vājasyeti
17.12.14	anūkānte dakṣiṇe paṅktīr agniṃ tam iti
17.12.15	uttare padapaṅktīr agne tam adyeti
17.12.16	purīṣavatyāḥ pūrvām atichandasaṃ prācyau purīṣasahite bhadrā rātir vṛtratūrye 'vasthirāgniṃ hotāram iti
17.12.17	agne tvam ity anūkānte 'pare dvipadāḥ
17.12.18	madhye 'ṣṭeṣṭakaṃ gārhapatyam
17.12.19	punaścitiṃ copari tadvad yena ṛṣaya iti pratyṛcam
17.12.20	puchasaṃdhāv eke
17.12.21	pūrvārdhe vā
17.12.22	gārhapatyaṃ puchasaṃdhau kṛtvā
17.12.23	ṛtavye tapaś ca tapasyaś ceti
17.12.24	viśvajyotiṣaṃ parameṣṭhī tveti
17.12.25	dakṣiṇāṃsāt pratyag aratnimātrād adhi lokampṛṇāḥ pūrvavat
17.12.26	prachādya purīṣeṇa vikarṇīsvayamātṛṇṇe śarkare saṃspṛṣṭe chidre prothad aśva ity uttarāṃ vikarṇīm āyoṣ ṭveti svayamātṛṇṇām
17.12.27	sakṛn nitye
17.12.28	puruṣābhihomavat tiṣṭhann agniṃ prokṣati hiraṇyaśakalasahasreṇa śate dvedve prakirati sahasrasyeti pratimantram
18.1.1	śatarudriyahoma uttarapakṣasyāparasyāṃ sraktyāṃ pariśritsvarkaparṇenārkakāṣṭhena śātayant saṃtataṃ jartilamiśrān gavedhukāsaktūn ajākṣīram eke tiṣṭhann udaṅ namas ta ity adhyāyena
18.1.2	tryanuvākānte svāhākāro jānumātre
18.1.3	pañcānte ca nābhimātre
18.1.4	prāk ca pratyavarohebhyo mukhamātre
18.1.5	pratilomaṃ pratyavarohān juhoti pramāṇeṣu namo 'stv iti pratimantram
18.1.6	havane prāsyati cātvāle
18.2.1	cityaṃ pariṣiñcaty agnīd dakṣiṇe nikakṣe 'driṃ kṛtvāśmann ūrjam ity adrer adhi
18.2.2	aśmaṃs te kṣud ity adrau kumbhaṃ kṛtvā mayi ta ūrg ity ādāyaivaṃ dvir aparam
18.2.3	tāvat pratiparyeti
18.2.4	kumbhe 'driṃ kṛtvā dakṣiṇasyāṃ vediśroṇau prāṅ tiṣṭhan dakṣiṇāsyati yaṃ dviṣma iti
18.2.5	abhinne bhettavai brūyāt
18.2.6	kumbhe bhedanaṃ sāmarthyāt
18.2.7	aśmani vārthavādāt
18.2.8	vācyatvāc ca
18.2.9	anapekṣam etyodaṅ prāṅ tiṣṭhann ātmana upari prāpaṇānte japatīmā ma iti
18.2.10	maṇḍūkāvakāvetasaśākhā veṇau baddhvāvakarṣati mantrakṛṣṭavat samudrasya tveti pratyṛcam
18.2.11	pakṣapuchāni cābhyātmam agne pāvaka rociṣeti
18.2.12	antyam uttaram
18.2.13	veṇum utkare kṛtvā cityam ālabhya tiṣṭhan
18.3.1	hiṅkṛtya sāma gāyati
18.3.2	purastād gāyatram
18.3.3	dakṣiṇe pakṣe rathantaram uttare bṛhad ātmani vāmadevyaṃ puche yajñāyajñiyaṃ dakṣiṇe nikakṣe prajāpatihṛdayam agnyukthaṃ śaṃsety āha
18.3.4	aupavasathye visṛṣṭavāci pañcagṛhīte hiraṇyaśakalān prāsyati pañca
18.3.5	dadhimadhughṛtaṃ pātryāṃ samāsicya sthālyāṃ vā mahāmukhyāṃ kuśamuṣṭiṃ copary ubhayam ādāya cityārohaṇaṃ namas ta iti
18.3.6	svayamātṛṇṇāyāṃ pañcagṛhītaṃ juhoti nābhivad dhiraṇyādarśanaṃ ca nṛṣade veḍ iti pratimantram
18.3.7	samāsiktān kuśaiḥ prokṣati sapariśritkaṃ bāhyena ca ye devā iti
18.3.8	prāṇadā ity avarohati
18.3.9	evam ārohaṇāvarohaṇam ataḥ
18.3.10	upasadante pravargyotsādanaṃ yathoktam agnau pariṣyande vā
18.3.11	svayamātṛṇṇāspṛṣṭaṃ prathamam
18.3.12	pañcagṛhītaṃ juhoty agnis tigmenety ṛcā ṣoḍaśagṛhītārdham anuvākaśeṣeṇa
18.3.13	cakṣuṣaḥ pitety anuvākenāṣṭābhir ṛgbhiḥ sarvāṇi caitāni śālāgnau juhoti
18.3.14	ārdraudumbarīr ghṛtoṣitās tisra ud enam ity ādadhāti pratyṛcam
18.3.15	agniṃ praṇayati
18.3.16	preṣyaty udyachedhmam upayachopayamanīḥ
18.3.17	agnaye prahriyamāṇāyānubrūhy agnīd ekasphyayānūdehi brahmann apratirathaṃ japeti
18.3.18	triruktāyām udyamyod u tveti cityaṃ gachanti pañca diśa iti
18.3.19	āgnīdhradeśād dakṣiṇaṃ pṛṣṭhyāsahitaṃ pṛśnyaśmānam upadadhāti vimāna iti
