#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
14.13.13	daśahotrābhicaran yajeta
14.13.14	svakṛta iriṇe pradare vā juhuyāt
14.14.1	yad vācaḥ krūraṃ tena vaṣaṭkaroti / vāca evainaṃ krūreṇa pravṛścati / tājag ārtim ārchatīti vijñāyate
14.14.2	yaḥ kāmayeta vīro ma ājāyeteti sa caturhotāraṃ juhuyāc catrugṛhītenājyena / ardhaṃ vā pūrveṇa graheṇārdham uttareṇa / asya vīro jāyate
14.14.3	na tv enam aparo 'nujāyate
14.14.4	varo dakṣiṇā
14.14.5	etenaiva caturhotrā rājānaṃ saṃgrāme saṃyatte yājayet
14.14.6	yat tatra vinderaṃs tato dvādaśaśataṃ dakṣiṇāḥ
14.14.7	pañcahotrā paśukāmaṃ yājayet
14.14.8	caturgṛhītenājyena / ardhaṃ vā pūrveṇa graheṇārdham uttareṇa / catasro dakṣiṇā dadāty aśvaṃ hiraṇyaṃ gāṃ vāsa iti
14.14.9	etenaiva dakṣiṇāvarjam āmayāvinaṃ svargakāmaṃ vā yājayet
14.14.10	manasā svargakāmasya juhuyāt
14.14.11	saptahotrā yajñavibhraṣṭaṃ yājayec caturgṛhītenājyena / ardhaṃ vā pūrveṇa graheṇārdham uttareṇa
14.14.12	yaḥ kāmayeta bahor bhūyān syām iti sa daśahotāraṃ prayuñjīta / yaḥ kāmayeta vīro ma ājāyeteti sa caturhotāram / yaḥ kāmayeta paśumān syām iti sa pañcahotāram / yaḥ kāmayetartavo me kalperann iti sa ṣaḍḍhotāram / yaḥ kāmayeta somapaḥ somayājī syām ā me somapaḥ somayājī jāyeteti sa saptahotāram
14.14.13	athaiṣa ṛtumukhīyaḥ ṣaḍḍhotā vāgghoteti / tasya vadaty ṛtumukhaṛtumukhe juhuyād iti / sa sārvakāmaḥ
14.15.1	yady enam ārtvijyād vṛtaṃ santaṃ nirharerann āgnīdhre juhuyād daśahotāraṃ caturgṛhītenājyena purastāt pratyaṅ tiṣṭhan pratilomaṃ vigrāham / prāṇān evāsyopadāsayati // yady enaṃ punar upaśikṣeyur āgnīdhra eva juhuyād daśahotāraṃ caturgṛhītenājyena paścāt prāṅ āsīno 'nulomam avigrāham / prāṇān evāsmai kalpayatīti vijñāyate
14.15.2	sa yaḥ kāmayeta priyaḥ syām iti yaṃ vā kāmayeta priyaḥ syād iti tasmā etaṃ sthāgaram alaṃkāraṃ kalpayitvā daśahotāraṃ purastād vyākhyāya caturhotāraṃ dakṣiṇataḥ pañcahotāraṃ paścāt ṣaḍḍhotāram uttarataḥ saptahotāram upariṣṭāt saṃbhāraiś ca patnibhiś ca mukhe 'laṃkṛtyāsyārdhaṃ vrajet / priyo haiva bhavatīti vijñāyate
14.15.3	ta ime caturhotāro yatra homārthāḥ sagrahāḥ sasvāhākārās tatra prayujyeran / yatrāhomārthā agrahā asvāhākārāḥ
14.15.4	yatra japā yājamānāḥ
14.15.5	teṣāṃ ye vihārasaṃyuktā āhitāgnes tān pratīyāt / ubhayor itarān
14.16.1	agniṃ naro dīdhitibhir araṇyor hastacyutī janayanta praśastam / dūredṛśaṃ gṛhapatim atharyum // agnināgniḥ samidhyāte / sapta te agne / mano jyotir juṣatām / trayastriṃśat // yan me manasaś chidraṃ yad vāco yac ca me hṛdaḥ / ayaṃ devo bṛhaspatiḥ saṃ tat siñcatu rādhasā // viśvakarmā havir idaṃ juṣāṇaḥ saṃtānair yajñaṃ sam imaṃ tanotu / yā vyuṣṭā uṣaso yaś ca nimrucas tā saṃdadhāmi haviṣā ghṛtena // ayāś cāgne 'si / tvaṃ no agne / sa tvaṃ no agne // bhadraṃ karṇebhiḥ śṛṇuyāma devā bhadraṃ paśyemākṣabhir yajatrāḥ / sthirair aṅgais tuṣṭuvāṃsas tanūbhir vyaśema devahitaṃ yad āyuḥ // svasti na indro vṛddhaśravāḥ svasti naḥ pūṣā viśvavedāḥ / svasti nas tārkṣyo ariṣṭanemiḥ svasti no bṛhaspatir dadhātu // pṛṣadaśvā marutaḥ pṛśnimātaraḥ śubhaṃyāvāno vidatheṣu jagmayaḥ / agnijihvā manavaḥ sūracakṣaso viśve no devā avasā gamann iha // śatam in nu śarado anti devā yatrā naś cakrā jarasaṃ tanūnāṃ / putrāso yatra pitaro bhavanti mā no madhyā rīriṣatāyur gantoḥ // preddho agne dīdihīty eṣā
14.17.1	śrutkarṇāya kavaye vedyāya namobhir nākam upayāmi śaṃsan / yato bhayam abhayaṃ tat kṛdhī no 'gne devānām ava heḍa iyakṣva // agniṃ vo devam agnibhiḥ sajoṣā yajiṣṭhaṃ dūtam adhvare kṛṇudhvam / yo martyeṣu nidhruvir ṛtāvā tapurmūrdhā ghṛtānnaḥ pāvakaḥ // ghṛtapratīko ghṛtapṛṣṭho agnir ghṛtaiḥ samiddho ghṛtam asyānnam / ghṛtapruṣas tvā sarito vahanti ghṛtaṃ piban yajatād deva devān // āyurdā agne / imo agne / sapta te agne / mano jyotir juṣatām / trayastriṃśat / yan me manasaḥ / viśvakarmā / agniṃ yunajmi / indhānās tvā // agnir na īḍita īditavyair devaiḥ pārthivaiḥ pātu / vāyur na īḍita īḍitavyair devair āntarikṣaiḥ pātu / sūryo na īḍita īḍitavyair devair divyaiḥ pātu / viṣṇur na īḍita īḍitavyair devair diśyaiḥ pātu / agnir yajurbhiḥ pūṣā svagākārais ta imaṃ yajñam avantu te mām avantv anu va ārabhe 'nu mārabhadhvaṃ svāhety etais tribhir anuvākair avijñātaprāyaścitte some trayastriṃśatam āhutīr juhoti
14.17.2	trayastriṃśataṃ cāgnīdhre yajñatanūḥ
14.17.3	pṛthivi bhūvari sinīvāly urandhra ācitte manas te bhuvo vivasta iti vasatīvarīṣu savanīyāsu vā viṣiktāsu saptāhutīr hutvā
14.18.1	ya ūrmir haviṣya indriyāvān madintamas taṃ va ṛdhyāsam / somasyājyam asi haviṣo havir jyotiṣāṃ jyotiḥ / viśveṣāṃ vo devānāṃ devatābhir gṛhṇāmīty abhimantrya saṃ vaḥ siñcantu marutaḥ sam indraḥ saṃ bṛhaspatiḥ / saṃ vo 'yam agniḥ siñcatv āyuṣā ca dhanena ca / sarvam āyur dadhātu me / māndā vāśāḥ / āpo bhadrāḥ / ād it paśyāmi / āpo hi ṣṭhā mayobhuva ity etābhiḥ saptabhih saṃsiñced abhi vā mantrayeta
14.18.2	yadi prātaḥsavane prāg ghomāt somam atiriktaṃ paśyet taṃ camaseṣv abhyunnayed upajuhuyād vā
14.18.3	hute dṛṣṭvā stutaśatravantaṃ kuryāt
14.18.4	hotṛcamasamukhyāṃś camasān unnīya bṛhataḥ stotram upākaroti
14.18.5	gaur dhayati marutām iti dhayadvatīṣu stuvīran
14.18.6	asti somo ayaṃ suta iti vaitāsu bṛhatā gaurivītena vā stuvīran
14.18.7	aindrāvaiṣṇavaṃ hotānuśaṃsati
14.18.8	indrāviṣṇubhyāṃ pītasyeti bhakṣamantraṃ namati
14.18.9	yadi mādhyaṃdina etad eva
14.18.10	stotre vikāraḥ / baṇ mahāṁ asi sūryeti saurīṣu bṛhatā gaurivītena vā stuvīran
14.18.11	tathaiva hotānuśaṃsati / tathā bhakṣamantraḥ
14.18.12	yadi tṛtīyasavane 'tiricyetokthyaṃ kurvīta
14.18.13	yady ukthye ṣoḍaśinam / yadi ṣoḍaśiny atirātram / yady atirātre dvirātram / yadi dvirātra ekastotram eva
14.18.14	tatra vaiṣṇavīṣu śipiviṣṭavatīṣu bṛhatā gaurivītena vā stuvīran
14.18.15	tathaiva hotānuśaṃsati / tathā bhakṣamantraḥ
14.19.1	yadi somau saṃsutau syātām āditaś caturbhiḥ saṃbhārayajurbhir hutvā mahārātre prātaranuvākam upākṛtyānvārabdhe yajamāne juhoti saṃveśāyopaveśāya gāyatriyās triṣṭubho jagatyā anuṣṭubhaḥ paṅktyā abhibhūtyai svāheti
14.19.2	evaṃ savanādausavānādāv uttarairuttaraiś caturbhiḥ saṃbhārayajurbhiś chandasā cottareṇottareṇā pāṅktāt
14.19.3	pañcasavano yajñaḥ trīṇi savanāny avabhṛtho 'nūbandhyeti / pañca samiddhe 'gnau hūyante prāṇāpānau mṛtyor mā pātaṃ prāṇāpānau mā mā hāsiṣṭam iti
14.19.4	purastāt pāśukāt sviṣṭakṛto 'dhvaryur japaty etivanti pretivanti vājyāni
14.19.5	marutvatīr vṛṣaṇvatīr vā pratipadaḥ
14.19.6	abhīvarto brahmasāma
14.19.7	ubhe bṛhadrathaṃtare bhavataḥ
14.19.8	yady agniṣṭomaḥ somaḥ parastāt syād ukthyaṃ kurvīta / yady ukthyaḥ ṣoḍaśinam / yadi ṣoḍaśy atirātram / yady atirātro dvirātram / yadi dvirātras trirātram / yadi trirātra ekastotram eva
14.19.9	abhijitkāryo 'bhijityai / viśvajitkāryo viśvajityai / sarvapṛṣṭhaḥ sarvastomo 'tirātro bhavati sarvasyāptyai sarvasyāvaruddhyā iti vijñāyate
14.19.10	sajanīyaṃ śasyaṃ vihavyaṃ śasyam agastyasya kayāśubhīyaṃ niṣkevalyam / tāni śaṃset
14.19.11	sajanīyaṃ prātaḥsavanike vaiśvadeve 'nuprohet / vihavyaṃ mādhyaṃdinīye marutvatīye / agastyasya kayāśubhīyaṃ niṣkevalyaṃ tārtīyasavanike vaiśvadeve 'nuprohet
14.20.1	tatremāḥ sāmacodanā bhavanti / tauraśravasaṃ kāryam / vasiṣṭhasya nihavaḥ kāryaḥ / abhīvartaṃ brahmasāma kurutāt / abhijitaṃ viśvajitaṃ vā yajñakratuṃ kurutāt / krośānukrośe kurutād iti
14.20.2	purastāt prātaḥsavanāt saṃpreṣyati
14.20.3	pūrvaḥ saṃsthāpyaḥ / atyabhiṣutyaṃ vā / dakṣiṇābhir vā varṣīyāṃsaṃ yajñakratuṃ kurvīta
14.20.4	yāvad rathāhnyam antarā girir giribhid vā nadī vyaveyāt parvatāntaraye vā nānārājyayor vā saṃsavo nāvidviṣāṇayoḥ saṃsavo vidyata iti kaṅkatibrāhmaṇaṃ bhavati
14.20.5	yatra dīkṣitānām upatāpaḥ syād yajamānāyatane śayīta
14.20.6	taṃ parigṛhyāgnīdhraṃ nayet
14.20.7	parīmaṃ pari te brahmaṇe dadāmi brahma paridadātu devatābhyaḥ / vaṣaṭkāras tvā bhiṣajyatu saha viśvair devaiḥ / vasava etad vaḥ prātaḥsavanaṃ rudrā etad vo mādhyaṃdinaṃ savanaṃ viśve devā etad vas tṛtīyasavanam / tad rakṣadhvaṃ tad bhiṣajyata tad gopāyata tad vo mā vigād iti sarvatrānuṣajati
14.20.8	āgnīdhrīyam upasamādhāya saṃparistīrya brāhmaṇaṃ dakṣiṇato darbheṣu niṣādyottarata udapātram upanidhāya tasminn ekaviṃśatiṃ yavān darbhapuñjīlāṃś cāvadhāya jīvā nāma stha tā imaṃ jīvayata jīvikā nāma stha tā imaṃ jīvayata saṃjīvikā nāma stha tā imaṃ saṃjīvayateti pratibrūyāt
14.21.1	yā jātā oṣadhaya ity oṣadhisūktenainam etābhir adbhir abhiṣiñcati
14.21.2	āpaḥ prajāpateḥ prāṇā yajñasya bheṣajam iti cainam ācamayanti
14.21.3	athainam abhimṛśanti
14.21.4	upāṃśvantaryāmau te prāṇāpānau pātām upāṃśusavanas te vyānaṃ pātu vācaṃ ta aindravāyavaḥ pātu dakṣakratū te maitrāvaruṇaḥ pātu cakṣuṣī te śukrāmanthinau pātāṃ śrotraṃ ta āśvinaḥ pātv ātmānaṃ ta āgrayaṇaḥ pātv aṅgāni ta ukthyaḥ pātv āyuṣ ṭe dhruvaḥ pātv asāvasāv iti sarvatrānuṣajati
14.21.5	athātmānaṃ pratyabhimṛśaty upāṃśvantaryāmau me prāṇāpānau pātām iti
14.21.6	evaṃ krāmaty ā dhruvāt
14.21.7	puṣṭipataye puṣṭiś cakṣuṣe cakṣuḥ prāṇāya prāṇam ātmana ātmānaṃ vāce vācam asmai punar dhehi svāhety āhutiṃ hutvā pūrvavad abhimarśaḥ
14.21.8	yadi mriyeta prāg avabhṛthād agnyavabhṛthaṃ kurvīran
14.21.9	avabhṛthaṃ vā gamayitvā prokṣyainam abhyudāhṛtya svair agnibhir yathālokaṃ daheyuḥ
14.21.10	etāvad ekāhe
14.21.11	ahargaṇeṣv āhara dahety uktvā dakṣiṇāgner agnim āhṛtya nirmanthyena vā dagdhvā dakṣiṇena mārjālīye mṛtasya dahanam
14.21.12	tūṣṇīṃ tad ahaḥ parisamāpya patnīsaṃyājānte kumbhe 'sthīni saṃbhṛtya mārjālīye nidadhāti
14.21.13	udgātāras tisṛbhiḥ sarparājñībhir apratihṛtābhiḥ stuvīran
14.22.1	ṛtvijo hotṛprathamāḥ prācīnāvītino yāmīr anubruvantaḥ sarparājñīnāṃ kīrtayanto dakṣiṇān keśapakṣān udgrathya savyān prasrasya dakṣiṇān ūrūn āghnānāḥ sigbhir abhidhūnvantas triḥ prasavyaṃ pariyanty apa naḥ śośucad agham iti
14.22.2	savyān udgrathya dakṣiṇān prasrasya savyān ūrūn āghnānā anabhidhūnvantas triḥ pratipariyanty apa naḥ śośucad agham iti
14.22.3	te yadodañcaḥ saṃpadyante 'thaibhyo 'dhvaryur dakṣiṇato 'śmānaṃ paridhiṃ dadhātīmaṃ jīvebhyaḥ paridhiṃ dadhāmi mā no nu gād aparo ardham etam / śataṃ jīvantu śaradaḥ purūcīs tiro mṛtyuṃ dadhmahe parvateneti
14.22.4	agniṣṭomaḥ soma aindravāyavāgrā maitrāvaruṇāgrā vā
14.22.5	yāmībhiḥ stuvate
14.22.6	stotrestotre 'sthikumbham upanidadhāti
14.22.7	mārjālīye bhakṣān ninayante
14.22.8	agna āyūṃṣi pavasa iti pratipadaṃ kurvīran
14.22.9	rathaṃtarasāmaiṣāṃ somaḥ syāt
14.22.10	āyur evātman dadhate 'tho pāpmānam eva vijahato yantīti vijñāyate
14.22.11	yady u vai nāthavān syād dagdhvainaṃ kṛṣṇājine 'sthīny upanahya nidhāya yo 'sya svo nediṣṭhī syāt tat sthāne taṃ dīkṣayitvā tena saha yajamānā āsīran
14.22.12	saṃvatsare 'sthīni yājayeyuḥ
14.22.13	vyāpātād ity āśmarathyaḥ / odavasānīyād ity ālekhanaḥ
14.22.14	agniṣṭomaḥ soma ity etadādi
14.22.15	pūrvavad dvādaśaṃ śataṃ dakṣiṇāḥ
14.23.1	yadi sattrāyāgūrya na yajeta viśvajitātirātreṇa sarvapṛṣṭhena sarvastomena sarvavedasadakṣiṇena yajeta
14.23.2	traidhātavīyām eke sahasradakṣiṇāṃ samāmananti
14.23.3	sattre dīkṣitvā yadi sāmy uttiṣṭhāset somam apabhajya viśvajitātirātreṇa pūrvavad yajeta
14.23.4	yadi dīkṣāsūttiṣṭhāsed avalikhyokhāyās tair anyāṃ mṛdaṃ saṃsṛjyokhāṃ kārayet
14.23.5	avalikhya paśuśirasāṃ tūṣṇīkeṣv āśleṣayet
14.23.6	yady upasatsu yā citā citiḥ syān na tām āvartayet
14.23.7	tūṣṇīkām āvartayet
14.23.8	mantravatīm ity aparam
14.23.9	cite 'gnāv uttiṣṭhato nāgnicityā vidyate / tūṣṇīṃ vāgniṃ cinvīta / mantravantam ity aparam
14.23.10	praṇīte 'gnau tūṣṇīm anyaṃ praṇayet / mantravantam ity aparam
14.23.11	karaṇebhyo 'pādadīta mahāveder uttaraveder dhiṣṇyoparavakharasadohavirdhānebhya iti / tānītareṣv apy arjayet
14.23.12	yadi sarvai rātriparyāyair astutam abhivyucchet ṣaḍbhir aindrāvaiṣṇavībhir hotre stuyuḥ / tisṛbhistisṛbhir itarebhyaḥ
14.23.13	yadi dvābhyāṃ hotre maitrāvaruṇāya ca pūrvasmin paryāye stuyuḥ / brāhmaṇācchaṃsine 'cchāvākāya cottarasmin
14.23.14	yady ekena pañcadaśabhir hotre stuyuḥ / pañcabhiḥpañcabhir itarebhyaḥ
14.23.15	agne vivasvad uṣasa ity āśvinasya pratipadaṃ dadhyāt
14.24.1	yasyāśvine śasyamāne sūryo nāvirbhavati sauryaṃ bahurūpam ālabheta
14.24.2	sarvā api dāśatayīr anubrūyāt
14.24.3	yeṣāṃ dīkṣitānām āhavanīya udvāyed āgnīdhrād uddharet / yad āgnīdhro gārhapatyāt / yad gārhapatyo 'ta eva punar manthet
14.24.4	yasmād dāror udvāyet tasyāraṇī kuryāt
14.24.5	krumuka upajvalanaḥ
14.24.6	mahartvigbhyaś caturo varān dadyāt
14.24.7	yasya soma upadasyet suvarṇaṃ hiraṇyaṃ dvedhā vicchidyārdham antardhāyarjīṣeṇa sahābhiṣuṇuyāt / ardham abhyunnāyaṃ grahaiḥ pracareyuḥ
14.24.8	mahartvigbhyaś caturo varān dadyāt
14.24.9	yasyākrītaṃ somam apahareyuḥ krīṇīyād eva
14.24.10	yadi krītaṃ yo nediṣṭhī syāt tata āhṛtyābhiṣuṇuyāt
14.24.11	somāhārāya somavikrayiṇe vā yathāśraddhaṃ dadyāt
14.24.12	somābhāve pūtīkān abhiṣuṇuyāt / pūtīkābhāva ādārān phālgunāni ca yāni śvetatūlāni syuḥ / tadabhāve yāḥ kāścauṣadhīḥ kṣīriṇīr aruṇadūrvāḥ kuśān vā haritān iti vājasaneyakam
14.24.13	apy antato vrīhiyavān
14.24.14	pratidhuṣā prātaḥsavane sarvān somāñ chrīṇīyāt / śṛtena mādhyaṃdine savane / dadhnā tṛtīyasavane nītamiśreṇa vā
14.24.15	athaikeṣām / pratidhuk ca prātaḥsavane pūtīkāś ca / śṛtaṃ ca mādhyaṃdine savane pūtīkāś ca / dadhi ca tṛtīyasavane pūtīkāś ceti
14.24.16	agniṣṭomaḥ somaḥ syād rathaṃtarasāmā
14.24.17	ya evartvijo vṛtāḥ syus ta enaṃ yājayeyuḥ
14.24.18	ekāṃ gāṃ dakṣiṇāṃ dadyāt tebhya eva
14.24.19	punaḥ somaṃ krīṇīyāt
14.24.20	avabhṛthād udetya purastād dvādaśyās tasmā eva kratave punar dīkṣeta
14.24.21	tatra tad dadyād yat pūrvasmin dāsyan syāt
14.25.1	yadi sadohavirdhānāny abhidahyeran grahān adhvaryuḥ spāśayet / stotrāṇy udgātā / śastrāṇi hotā
14.25.2	anabhidagdhe some pārśvato devayajanam adhyavasāya kṛtāntād eva prakrāmeyuḥ
14.25.3	abhidagdhe tu tat prāyaścittaṃ yad apahṛte
14.25.4	goḥ sthāne pañca gā dadyāt / pañca vā varān
14.25.5	yadi prātaḥsavane grāvāṇaṃ nādhigacchet palāśadaṇḍam āhṛtya tenaivābhiṣuṇuyāt / etad evāsya prāyaścittaṃ bhavatīti vijñāyate
14.25.6	yadi madhyaṃdine yadi tṛtīyasavana etad eva
14.25.7	yadi prātaḥsavane grāvā śīryeta purastād bahiṣpavamānād dyutānasya mārutasya brahmasāmnā stuvīran
14.25.8	brahmasāmnā vaiva
14.25.9	yadi mādhyaṃdine yadi tṛtīyasavana etad eva purastāt pavamānebhyaḥ stuvate
14.25.10	yadi prātaḥsavane kalaśo dīryeta vaiṣṇavīsu śipiviṣṭavatīṣv ity uktam
14.25.11	athaikeṣām / yadi prātaḥsavane kalaśo dīryeta vaṣaṭkāranidhanaṃ brahmasāma kuryād iti / asave svāhā vasave svāhā vibhuve svāhā vivasvate svāhā śūṣāya svāhā sūryāya svāhā candrāya svāhā gaṇaśriye svāhā malimluce svāhā jyotiṣe svāhābhibhuve svāhādhipataye svāhā divāṃ pataye svāheti trayodaśājyāhutīr hutvā
14.26.1	indrasya graho 'sy agṛhīto grāhyo devānāṃ pūr asi taṃ tvā prapadye saha grahaiḥ saha pragrahaiḥ saha prajayā saha paśubhiḥ sahartvigbhyaḥ saha somyaiḥ saha sadasyaiḥ saha dākṣiṇeyaiḥ saha yajñena saha yajñapatinā // indrāgnī paridhī mama vāto devapurā mama / brahma varma mamāntaraṃ taṃ tvendragraha prapadye saguḥ sāśvaḥ // varma me dyāvāpṛthivī varmāgnir varma sūryaḥ / varma me brahmaṇaspatir mā mā prāpadato bhayam // indrāgnī paridhī mama vāto devapurā mama / brahma varma mamāntaraṃ taṃ tvendragraha praviśāni saguḥ sāśvaḥ sapūruṣaḥ / saha yan me asti teneti dīrṇaṃ yajamāno 'numantrayate
14.26.2	ariṣṭyā avyathyai saṃveśāyopaveśāya gāyatryā abhibhūtyai svāhā / ariṣṭyā avyathyai saṃveśāyopaveśāya triṣṭubho 'bhibhūtyai svāhā / ariṣṭyā avyathyai saṃveśāyopaveśāya jagatyā abhibhūtyai svāhā / ariṣṭyā avyathyai saṃveśāyopaveśāyānuṣṭubho 'bhibhūtyai svāhā / ariṣṭyā avyathyai saṃveśāyopaveśāya paṅktyā abhibhūtyai svāhety etaiḥ pratimantram anusavanaṃ dīrṇe pañcāhutīr juhotīty eke
14.26.3	yadi bahiṣpavamānaṃ sarpatāṃ prastotāpacchidyeta yajñasya śiraś chidyeta / brahmaṇe varaṃ dattvā sa eva punar vartavyaḥ
14.26.4	yadi pratihartā paśubhir yajamāno vyṛdhyeta / sarvavedasaṃ dadyāt
14.26.5	yady udgātā yajñena yajamāno vyṛdhyeta / adakṣiṇaḥ sa yajñaḥ saṃsthāpyaḥ / athānya āhṛtyaḥ
14.26.6	tatra tad dadyād yat pūrvasmin dāsyan syāt
14.26.7	yugapadapacchede tūdgātuḥ prāyaścittaṃ pratihartuḥ sarvaprāyaścittam
14.26.8	pūrvāparāpacchede yo jaghanyo 'pacchidyeta tasya prāyaścittam
14.26.9	yadi mādhyaṃdina etad eva / yady ārbhave sarvaprāyaścittaṃ juhuyāt
14.27.1	yat kalaśa upadasyet suvarṇaṃ hiraṇyaṃ dvedhā vicchidyārdham antardhāyāpo 'vanīya payo 'bhyavanayet / ardham abhyunnāyaṃ grahaiḥ pracareyuḥ
14.27.2	mahartvigbhyaś caturo varān dadyāt
14.27.3	athaikeṣām / yat kalaśa upadasyed āgrayaṇād gṛhṇīyāt / yad āgrayaṇaḥ kalaśāt
14.27.4	yad graho vā kalaśo vopadasyed āgrayaṇād gṛhṇīyād anyāñ chukrād dhruvāc ca
14.27.5	droṇakalaśād gṛhyanta iti sarvagrahāṇāṃ skannānām upadastānāṃ ca vijñāyate
14.27.6	yad dhruva upadasyet skanded dīryeta vā tam abhimantrayetāyurdhā asi dhruvāyur me dhehi / varcodhā asi dhruva varco me dhehi / tanūpā asi dhruva tanvaṃ me pāhīti // tasmiñ chatamānaṃ hiraṇyam avadhāya svāhā diva āpyāyasva svāhāntarikṣād āpyāyasva svāhā pṛthivyā āpyāyasvety āpyāyayati
14.27.7	adhvaro 'yaṃ yajño astu devā oṣadhībhyaḥ paśubhyo me dhanāya / viśvasmai bhūtāyādhvaro astu devāḥ / sa pinvasva ghṛtavad deva yajña // ihaivaidhi māpa cyoṣṭhāḥ parvata ivāvicācaliḥ / indra iveha dhruvas tiṣṭheha yajñam u dhāraya // indra eṇam adīdharad dhruvaṃ dhruveṇa haviṣā / tasmai devā adhibruvann ayaṃ ca brahmaṇaspatiḥ // dhruvā dyaur dhruvā pṛthivī dhruvaṃ viśvam idaṃ jagat / dhruvā ha parvatā ime dhruvo rājā viśām ayam ity etābhiś catasṛbhiḥ sannam abhimantrya varaṃ dadāti
14.28.1	yadi nārāśaṃsa upadasyed yam adhvaryuḥ pūrvaṃ grahaṃ gṛhṇīyāt taṃ vaṣaṭkṛtānuvaṣaṭkṛte hutvā camasādhvaryave prayacchet / tenainaṃ sa āpyāyayaty āpyāyasva sametu ta iti
14.28.2	yadi prātaḥsavane somo havir vā skanden mādhyaṃdine tṛtīyasavane naktaṃ tiroahnyeṣu vā devāṃ janam agan yajña ity etair yathāpūrvam abhimantrya mano jyotir juṣatām ity āhutiṃ juhuyāt
14.28.3	trayastriṃśat / drapsaś caskanda / yas te drapsaḥ / yo drapsaḥ / yas te drapsa ity etaiḥ pratimantram anusavanaṃ skanne pañcāhutīr juhotīty eke
14.28.4	yad ṛtugrahaiḥ pracarantau muhyeyātāṃ visṛṣṭadhenāḥ sarito ghṛtaścuto vasanto grīṣmo madhumanti varṣāḥ / śarad dhemanta ṛtavo mayobhuva udapruto nabhasī saṃvasantām // ā naḥ prajāṃ janayatu prajāpatir dhātā dadātu sumanasyamānaḥ / saṃvatsara ṛtubhiś cākupāno mayi puṣṭiṃ puṣṭipatir dadhātu // ā devānām / tvam agne vratapā asi / yad vo vayaṃ pramināma / madhuś cety etaiḥ pratimantraṃ juhoti
