1.1.1	The Dharma has been taught in the Vedas.
2.18.12-13	He should eat only what is given to him, not what he has asked for; he should eat only what he has received, not what he himself has stored up; he should eat at the proper time, not at the wrong time; he should eat what is suitable, not what is unsuitable; he should eat in moderation, not in excess; he should eat for the sake of maintaining his body, not for the sake of pleasure; he should eat with the intention of maintaining his body and not for the sake of pleasure; he should not eat for the sake  Translation: He should eat only as much as is given to him and not what he has requested for; he should only eat what is received and not what he himself stores up; he should only at the proper time and not at the wrong; he should only what is suitable and not what is unsuitable. He should only eat in moderation and not in excess; only for the sake of sustaining his body and not to please his palate; only for the purpose of maintaining his body. He should not eat for
2.18.14	Or alms from all castes, or one meal from twice-born people, or from all castes, but not one meal from twice born people.
2.18.15	Then, where the teachers speak of the Upanisads, they quote: "The observance of silence, the heroic posture, the bathing at the places of sacrifice, the observance of the fasts at the fourth, sixth, and eighth times, and the observance of the diet of barley, sesame, wheat, curd, and milk."
2.17.37	Taking the staff, the water-purifier, the water-pot, and the vessel, he goes to the place where there is water, bathes, sips water, and purifies himself with the verses "Surbhimatī," "Ablinga," "Varuṇī," "Hiranyavarṇā," and "Pāvamānī." Having purified himself, he enters the water and performs the sixteen Prāṇāyāmas while reciting the "Aghmarṣaṇa" mantra. Emerging, he presses his garment, puts on another clean garment, sips water again, and takes the water-purified with "Om Bhūr Bhuvah Suvar." He offers libations with "Om Bhūḥ, I offer libations. Om Bhuvah, I offer libatious. Om Suvar, I offer libation. Om Mah, I offer libatiou. Om Jan, I offer libatian. Om Tap, I offer libatien. Om Satya, I offer libatians."
2.18.16	There, one should be silent, or with the elders of the three Vedas, or with other sages, or with the ascetics, or with the learned, or with the teeth touching the teeth, speaking only as much as is necessary, not with women, where it is known that there is no loss.
2.18.17	One should practice either the posture of silence, heroism, or sitting, but not all three together.
2.17.38	Having offered libations to the gods and ancestors, he offers libations to the sun with the verses, "Om, Bhu, Svāhā. Om, Bhuva, Svāhā." "Om, Suva, Svāha. Om, Bhu, Bhuva, Suva, Mah, Namah."
2.17.39	Then he worships the sun with the two verses, "Ud utyaṃ citraṃ" and "Ud utyaḥ."
2.18.18	Where one goes and how much one follows, it is known that there is no loss in that.
2.18.19	For one who is engaged in the vow of silence, heroic posture, bathing, and the fourth, sixth, and eighth mealtimes, there are eight things that destroy vows: water, roots, ghee, milk, oblations, what is desired by Brahmins, the words of the Guru, and medicine.
2.17.40	"Om, this is Brahman. This is the light, this is the Veda, this is the one who shines. This is the Veda, the one who shines is the Veda. Thus he satisfies himself and pays homage to himself. The Self is Brahman, the Self is the light."
2.17.41	One should recite the Savitri verse a thousand times, or a hundred times, or an unlimited number of times.
2.18.20	In the evening and morning, one should recite the Agnihotra mantras.
2.18.21	Having performed the evening twilight with the Varuni mantras, one should perform the morning twilight with the Maitri mantras.
2.18.22	One should be without fire, without a dwelling, a sage without shelter or refuge, seeking alms in the village, or one should abandon speech in the study of the Vedas.
2.17.42	"Oṃ bhūr bhuvaḥ suvaḥ." Taking the water sanctifier, one takes water.
2.17.43	One should not take water that is not lifted up, not flowing, or not purified.
2.17.44	One should also not wear white clothes above this.
2.18.1	One should have either one staff or three staffs.
2.18.2	Now these are the vows: Non-violence, truthfulness, non-stealing, and abstention from sexual intercourse, and renunciation.
2.18.3	There are five subsidiary vows: Non-anger, service to the elders, diligence, cleanliness, and purity of diet.
2.18.4	Then, after the Vaishvadeva offering, the wandering mendicant Brahmins should seek alms with humility.
2.18.26	Prajapati said, "He who meditates on the Praṇava becomes fit for attaining Brahman."
2.18.27	One should wash the vessel of Brahman with the seven Vyāhrtis.
3.1.1	Now, for those who are seeking Dharma by following the nine modes of livelihood, which are the means of livelihood for those who are virtuous and follow the rules.
3.1.2	Their livelihood is called vrīti because they live by it.
2.18.5	He should recite the verse beginning with "Obeisance to the Supreme Being" and ending with "May you be pleased with me."
2.18.6	He should desire to beg for alms for the duration of a cow's milking.
2.18.7	Then, having returned from begging alms, placing his hands and feet in a clean place, washing them, he should offer salutations in front of the sun, reciting the verse "Obeisance, Obeisance to the Sun, the Supreme Being" (Udu tyam citram) and "Obeisance is offered to the Supreme Being, the Creator" (Brahma jjananam).
3.1.3	The name Śālinī is derived from the fact that she has her abode in a hut.
3.1.4	The name Yāyāvara is derived from the meaning of the word yāyāvara, which means one who goes by means of a staff.
3.1.5	The name Cakracara is derived from the word cakracara, which means one whose feet are in order.
3.1.6	We shall now explain them in detail.
3.1.7	There are nine kinds of livelihood: Śaṇṇivartani, Kauddāli, Dhruva, Samprakṣālani, Samūha, Pālani, Śilopchā, Kāpātinī, and Siddhecchā.
3.1.8	There is also a tenth kind of livelihood for them.
2.18.8	It is known that the sacrificer himself becomes the fires beginning with the Ādhāna. His Prāṇa is the Garhapatya, Apāna the Anvāhāryapacaniya, Vyāna the Āhavanīya, Udāna and Samāna the Sabhya and Avāsathya. These five fires are in the Self. He offers in the Self.
2.18.9	It is known that this is the Self-sacrifice, the Self-fulfillment, the Self-establishment, which leads the Self to safety.
2.18.10	Having distributed the remainder to the spirits with compassion, he should eat it, touching it with water like medicine.
2.18.11	Having eaten and sipped water, he stands facing the sun with the Jyotishmatī mantra, reciting "We rise from the darkness" and "Speech is my nose, breath is my mouth".
3.1.13	Then, when the sun has risen in the morning, having kindled the fires according to the Sutra, having melted the clarified butter over the Garhapatya fire, having purified it, having heated the ladle and spoon, having wiped them, having taken four spoonfuls of clarified butter in the ladle, he offers the Vastospatiya oblation on the Ahavaniya fire.
3.1.14	Having recited the Puronuvākyā, "O Vastospati, do thou know us," he offers with the Yājyā, "O Vāstospati, with thy auspicious company."
3.1.15	Some say that one who has not laid down the sacred fires.
3.1.16	Some say that a person who has gone to another village.
3.1.17	Having gone out, he stands at the edge of the village or at the boundary of the village. There he builds a hut or enters a built one.
2.18.12-13	He should eat only what is given to him, not what he has asked for; he should eat only what he has received, not what he himself has stored up; he should eat at the proper time, not at the wrong time; he should eat what is suitable, not what is unsuitable; he should eat in moderation, not in excess; he should eat for the sake of maintaining his body, not for the sake of pleasure; he should eat with the intention of maintaining his body and not for the sake of pleasure; he should not eat for the sake  Translation: He should eat only as much as is given to him and not what he has requested for; he should only eat what is received and not what he himself stores up; he should only at the proper time and not at the wrong; he should only what is suitable and not what is unsuitable. He should only eat in moderation and not in excess; only for the sake of sustaining his body and not to please his palate; only for the purpose of maintaining his body. He should not eat for
